G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Wed, Nov 1, 2006",7:00p,,Box Score,,Chicago Bulls,W,,109,94,1,0,W 1,17451,,,False,ORL,2007
2,"Fri, Nov 3, 2006",7:00p,,Box Score,,Philadelphia 76ers,L,,103,105,1,1,L 1,17451,,,False,ORL,2007
3,"Sun, Nov 5, 2006",2:00p,,Box Score,@,Atlanta Hawks,L,,82,95,1,2,L 2,14896,,,False,ORL,2007
4,"Mon, Nov 6, 2006",7:00p,,Box Score,,Washington Wizards,W,,106,103,2,2,W 1,15618,,,False,ORL,2007
5,"Wed, Nov 8, 2006",7:00p,,Box Score,,Seattle SuperSonics,W,,88,87,3,2,W 2,16312,,,False,ORL,2007
6,"Fri, Nov 10, 2006",7:00p,,Box Score,@,Indiana Pacers,L,,83,93,3,3,L 1,18165,,,False,ORL,2007
7,"Sat, Nov 11, 2006",8:00p,,Box Score,@,Minnesota Timberwolves,W,,109,98,4,3,W 1,18229,,,False,ORL,2007
8,"Mon, Nov 13, 2006",7:30p,,Box Score,@,Boston Celtics,W,,92,89,5,3,W 2,14379,2:22,,False,ORL,2007
9,"Wed, Nov 15, 2006",7:00p,,Box Score,,Denver Nuggets,W,,108,99,6,3,W 3,15463,,,False,ORL,2007
10,"Sat, Nov 18, 2006",7:00p,,Box Score,,Charlotte Bobcats,W,,97,83,7,3,W 4,17451,,,False,ORL,2007
11,"Mon, Nov 20, 2006",8:00p,,Box Score,@,Memphis Grizzlies,L,,86,95,7,4,L 1,13147,,,False,ORL,2007
12,"Wed, Nov 22, 2006",7:00p,,Box Score,,Indiana Pacers,W,,96,91,8,4,W 1,17451,,,False,ORL,2007
13,"Fri, Nov 24, 2006",7:30p,,Box Score,@,Miami Heat,W,,107,104,9,4,W 2,19600,,,False,ORL,2007
14,"Sat, Nov 25, 2006",7:00p,,Box Score,,Atlanta Hawks,W,,98,79,10,4,W 3,17451,,,False,ORL,2007
15,"Mon, Nov 27, 2006",9:00p,,Box Score,@,Utah Jazz,W,,88,75,11,4,W 4,16889,,,False,ORL,2007
16,"Wed, Nov 29, 2006",10:00p,,Box Score,@,Seattle SuperSonics,W,,94,84,12,4,W 5,14232,,,False,ORL,2007
17,"Fri, Dec 1, 2006",10:00p,,Box Score,@,Portland Trail Blazers,W,,91,89,13,4,W 6,13519,,,False,ORL,2007
18,"Sun, Dec 3, 2006",9:30p,,Box Score,@,Los Angeles Clippers,L,,91,116,13,5,L 1,17117,,,False,ORL,2007
19,"Mon, Dec 4, 2006",10:00p,,Box Score,@,Sacramento Kings,W,,92,89,14,5,W 1,17317,,,False,ORL,2007
20,"Wed, Dec 6, 2006",7:00p,,Box Score,@,Indiana Pacers,L,,80,94,14,6,L 1,15015,,,False,ORL,2007
21,"Fri, Dec 8, 2006",7:00p,,Box Score,,Detroit Pistons,L,,83,87,14,7,L 2,17451,,,False,ORL,2007
22,"Sat, Dec 9, 2006",7:00p,,Box Score,,Philadelphia 76ers,W,,86,84,15,7,W 1,17451,,,False,ORL,2007
23,"Mon, Dec 11, 2006",7:00p,,Box Score,,Phoenix Suns,L,,89,103,15,8,L 1,16533,,,False,ORL,2007
24,"Wed, Dec 13, 2006",7:00p,,Box Score,,Toronto Raptors,L,,84,91,15,9,L 2,15417,,,False,ORL,2007
25,"Thu, Dec 14, 2006",7:00p,,Box Score,@,Charlotte Bobcats,L,,89,99,15,10,L 3,17751,,,False,ORL,2007
26,"Sat, Dec 16, 2006",7:00p,,Box Score,,Cleveland Cavaliers,W,,81,74,16,10,W 1,17451,,,False,ORL,2007
27,"Wed, Dec 20, 2006",7:00p,,Box Score,,New Orleans/Oklahoma City Hornets,W,,86,83,17,10,W 2,17020,,,False,ORL,2007
28,"Fri, Dec 22, 2006",7:00p,,Box Score,,Golden State Warriors,L,,108,117,17,11,L 1,16563,,,False,ORL,2007
29,"Sat, Dec 23, 2006",7:30p,,Box Score,@,Cleveland Cavaliers,L,,83,86,17,12,L 2,20562,,,False,ORL,2007
30,"Wed, Dec 27, 2006",7:00p,,Box Score,,Los Angeles Lakers,L,,93,106,17,13,L 3,17451,,,False,ORL,2007
31,"Fri, Dec 29, 2006",7:00p,,Box Score,@,Washington Wizards,L,,111,112,17,14,L 4,20173,,,False,ORL,2007
32,"Sat, Dec 30, 2006",7:00p,,Box Score,,Miami Heat,W,,97,68,18,14,W 1,17451,,,False,ORL,2007
33,"Tue, Jan 2, 2007",7:00p,,Box Score,,Los Angeles Clippers,W,,91,86,19,14,W 2,17262,,,False,ORL,2007
34,"Fri, Jan 5, 2007",7:00p,,Box Score,,Charlotte Bobcats,W,,106,74,20,14,W 3,17154,,,False,ORL,2007
35,"Sun, Jan 7, 2007",6:00p,,Box Score,,Boston Celtics,W,,87,79,21,14,W 4,16868,2:32,,False,ORL,2007
36,"Wed, Jan 10, 2007",10:30p,,Box Score,@,Golden State Warriors,W,,91,76,22,14,W 5,16877,,,False,ORL,2007
