G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Wed, Oct 10, 1973",,Box Score,,Houston Rockets,L,,88,104,0,1,L 1,,,,False,PHI,1974
2,"Sat, Oct 13, 1973",,Box Score,,Boston Celtics,L,,106,111,0,2,L 2,5017,,,False,PHI,1974
3,"Tue, Oct 16, 1973",,Box Score,@,Houston Rockets,W,,106,101,1,2,W 1,,,,False,PHI,1974
4,"Fri, Oct 19, 1973",,Box Score,@,Boston Celtics,L,,102,133,1,3,L 1,10249,,,False,PHI,1974
5,"Sat, Oct 20, 1973",,Box Score,@,Buffalo Braves,L,,110,116,1,4,L 2,,,,False,PHI,1974
6,"Wed, Oct 24, 1973",,Box Score,,Portland Trail Blazers,W,,132,110,2,4,W 1,,,,False,PHI,1974
7,"Fri, Oct 26, 1973",,Box Score,,Milwaukee Bucks,L,,92,98,2,5,L 1,,,,False,PHI,1974
8,"Sat, Oct 27, 1973",,Box Score,@,New York Knicks,L,,90,96,2,6,L 2,,,,False,PHI,1974
9,"Sun, Oct 28, 1973",,Box Score,@,Capital Bullets,L,,99,119,2,7,L 3,,,,False,PHI,1974
10,"Sat, Nov 3, 1973",,Box Score,,Capital Bullets,L,,84,112,2,8,L 4,,,,False,PHI,1974
11,"Wed, Nov 7, 1973",,Box Score,,Phoenix Suns,W,,122,115,3,8,W 1,,,,False,PHI,1974
12,"Fri, Nov 9, 1973",,Box Score,,New York Knicks,W,,94,91,4,8,W 2,,,,False,PHI,1974
13,"Sat, Nov 10, 1973",,Box Score,@,Atlanta Hawks,L,,97,120,4,9,L 1,,,,False,PHI,1974
14,"Tue, Nov 13, 1973",,Box Score,@,Houston Rockets,L,,83,97,4,10,L 2,,,,False,PHI,1974
15,"Thu, Nov 15, 1973",,Box Score,@,Phoenix Suns,L,,94,116,4,11,L 3,,,,False,PHI,1974
16,"Sat, Nov 17, 1973",,Box Score,@,Golden State Warriors,W,,109,106,5,11,W 1,,,,False,PHI,1974
17,"Sun, Nov 18, 1973",,Box Score,@,Seattle SuperSonics,L,,91,95,5,12,L 1,,,,False,PHI,1974
18,"Tue, Nov 20, 1973",,Box Score,@,Kansas City-Omaha Kings,W,,109,103,6,12,W 1,,,,False,PHI,1974
19,"Wed, Nov 21, 1973",,Box Score,@,Kansas City-Omaha Kings,W,,103,90,7,12,W 2,,,"at Omaha, NE",False,PHI,1974
20,"Fri, Nov 23, 1973",,Box Score,N,Golden State Warriors,L,,106,111,7,13,L 1,,,"at Hershey, PA",False,PHI,1974
21,"Sun, Nov 25, 1973",,Box Score,@,Milwaukee Bucks,L,,96,105,7,14,L 2,,,,False,PHI,1974
22,"Wed, Nov 28, 1973",,Box Score,,Chicago Bulls,W,,101,96,8,14,W 1,,,,False,PHI,1974
23,"Fri, Nov 30, 1973",,Box Score,@,Cleveland Cavaliers,L,,110,112,8,15,L 1,,,,False,PHI,1974
24,"Sat, Dec 1, 1973",,Box Score,,Houston Rockets,W,OT,108,106,9,15,W 1,,,,False,PHI,1974
25,"Wed, Dec 5, 1973",,Box Score,,Cleveland Cavaliers,L,,75,89,9,16,L 1,,,,False,PHI,1974
26,"Thu, Dec 6, 1973",,Box Score,@,Chicago Bulls,L,,98,103,9,17,L 2,,,,False,PHI,1974
27,"Fri, Dec 7, 1973",,Box Score,,Kansas City-Omaha Kings,L,,102,113,9,18,L 3,,,,False,PHI,1974
28,"Sat, Dec 8, 1973",,Box Score,,Milwaukee Bucks,L,,92,105,9,19,L 4,,,,False,PHI,1974
29,"Wed, Dec 12, 1973",,Box Score,,Seattle SuperSonics,L,,93,100,9,20,L 5,,,,False,PHI,1974
30,"Fri, Dec 14, 1973",,Box Score,@,Detroit Pistons,W,,96,93,10,20,W 1,,,,False,PHI,1974
31,"Sat, Dec 15, 1973",,Box Score,,Detroit Pistons,L,,89,99,10,21,L 1,,,,False,PHI,1974
32,"Wed, Dec 19, 1973",,Box Score,@,Phoenix Suns,W,,101,98,11,21,W 1,,,,False,PHI,1974
33,"Fri, Dec 21, 1973",,Box Score,@,Los Angeles Lakers,L,,107,116,11,22,L 1,,,,False,PHI,1974
34,"Sat, Dec 22, 1973",,Box Score,@,Portland Trail Blazers,L,,105,110,11,23,L 2,,,,False,PHI,1974
35,"Wed, Dec 26, 1973",,Box Score,@,Atlanta Hawks,L,,118,145,11,24,L 3,,,,False,PHI,1974
36,"Thu, Dec 27, 1973",,Box Score,@,Milwaukee Bucks,L,,107,129,11,25,L 4,,,,False,PHI,1974
37,"Sat, Dec 29, 1973",,Box Score,@,New York Knicks,L,,92,112,11,26,L 5,,,,False,PHI,1974
38,"Mon, Dec 31, 1973",,Box Score,@,Boston Celtics,L,,97,106,11,27,L 6,9365,,,False,PHI,1974
39,"Wed, Jan 2, 1974",,Box Score,,Houston Rockets,L,,99,101,11,28,L 7,,,,False,PHI,1974
40,"Fri, Jan 4, 1974",,Box Score,,New York Knicks,W,,78,75,12,28,W 1,,,,False,PHI,1974
41,"Sat, Jan 5, 1974",,Box Score,N,Boston Celtics,L,OT,102,108,12,29,L 1,5310,,"at Providence, RI",False,PHI,1974
42,"Wed, Jan 9, 1974",,Box Score,,Cleveland Cavaliers,W,,90,86,13,29,W 1,,,,False,PHI,1974
43,"Fri, Jan 11, 1974",,Box Score,N,Atlanta Hawks,W,,121,100,14,29,W 2,,,"at Hershey, PA",False,PHI,1974
44,"Sat, Jan 12, 1974",,Box Score,,Los Angeles Lakers,L,,101,108,14,30,L 1,,,,False,PHI,1974
45,"Sun, Jan 13, 1974",,Box Score,@,Cleveland Cavaliers,L,,94,96,14,31,L 2,,,,False,PHI,1974
46,"Fri, Jan 18, 1974",,Box Score,,Seattle SuperSonics,L,,104,116,14,32,L 3,,,,False,PHI,1974
47,"Sun, Jan 20, 1974",,Box Score,,Buffalo Braves,W,,129,112,15,32,W 1,,,,False,PHI,1974
48,"Tue, Jan 22, 1974",,Box Score,@,Buffalo Braves,L,,109,119,15,33,L 1,,,,False,PHI,1974
49,"Fri, Jan 25, 1974",,Box Score,@,Boston Celtics,L,,97,112,15,34,L 2,10026,,,False,PHI,1974
50,"Sat, Jan 26, 1974",,Box Score,@,New York Knicks,L,,98,122,15,35,L 3,,,,False,PHI,1974
51,"Fri, Feb 1, 1974",,Box Score,N,Boston Celtics,L,,105,106,15,36,L 4,5347,,"at Hershey, PA",False,PHI,1974
52,"Sat, Feb 2, 1974",,Box Score,,Chicago Bulls,L,,89,105,15,37,L 5,,,,False,PHI,1974
53,"Sun, Feb 3, 1974",,Box Score,N,Buffalo Braves,L,,98,112,15,38,L 6,,,"at Toronto, Canada",False,PHI,1974
54,"Wed, Feb 6, 1974",,Box Score,,Buffalo Braves,L,,98,114,15,39,L 7,,,,False,PHI,1974
55,"Fri, Feb 8, 1974",,Box Score,,Atlanta Hawks,W,,104,84,16,39,W 1,,,,False,PHI,1974
56,"Sat, Feb 9, 1974",,Box Score,@,Capital Bullets,L,,75,108,16,40,L 1,,,,False,PHI,1974
57,"Sun, Feb 10, 1974",,Box Score,,Capital Bullets,W,,95,94,17,40,W 1,,,,False,PHI,1974
58,"Mon, Feb 11, 1974",,Box Score,@,Atlanta Hawks,W,,116,95,18,40,W 2,,,,False,PHI,1974
59,"Wed, Feb 13, 1974",,Box Score,,Buffalo Braves,L,,106,129,18,41,L 1,,,,False,PHI,1974
60,"Fri, Feb 15, 1974",,Box Score,,Kansas City-Omaha Kings,W,,92,89,19,41,W 1,,,,False,PHI,1974
61,"Sun, Feb 17, 1974",,Box Score,,Detroit Pistons,L,,107,118,19,42,L 1,,,,False,PHI,1974
62,"Wed, Feb 20, 1974",,Box Score,@,Houston Rockets,L,,98,115,19,43,L 2,,,,False,PHI,1974
63,"Fri, Feb 22, 1974",,Box Score,@,Los Angeles Lakers,L,,103,104,19,44,L 3,,,,False,PHI,1974
64,"Sat, Feb 23, 1974",,Box Score,@,Golden State Warriors,L,,106,125,19,45,L 4,,,,False,PHI,1974
65,"Sun, Feb 24, 1974",,Box Score,@,Seattle SuperSonics,L,,105,115,19,46,L 5,,,,False,PHI,1974
66,"Tue, Feb 26, 1974",,Box Score,@,Portland Trail Blazers,W,,118,110,20,46,W 1,,,,False,PHI,1974
67,"Fri, Mar 1, 1974",,Box Score,,Cleveland Cavaliers,L,,93,110,20,47,L 1,,,,False,PHI,1974
68,"Sat, Mar 2, 1974",,Box Score,,Buffalo Braves,L,,99,103,20,48,L 2,,,,False,PHI,1974
69,"Wed, Mar 6, 1974",,Box Score,,Capital Bullets,W,,112,99,21,48,W 1,,,,False,PHI,1974
70,"Fri, Mar 8, 1974",,Box Score,,Golden State Warriors,L,,96,106,21,49,L 1,,,,False,PHI,1974
71,"Sun, Mar 10, 1974",,Box Score,,New York Knicks,W,,109,108,22,49,W 1,,,,False,PHI,1974
72,"Tue, Mar 12, 1974",,Box Score,@,Capital Bullets,L,,101,112,22,50,L 1,,,,False,PHI,1974
73,"Wed, Mar 13, 1974",,Box Score,,Los Angeles Lakers,L,,100,121,22,51,L 2,,,,False,PHI,1974
