G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Fri, Oct 22, 1976",,Box Score,@,New Orleans Jazz,L,,98,111,0,1,L 1,,,,False,PHO,1977
2,"Sat, Oct 23, 1976",,Box Score,@,Houston Rockets,L,,126,129,0,2,L 2,,,,False,PHO,1977
3,"Wed, Oct 27, 1976",,Box Score,@,San Antonio Spurs,L,,106,115,0,3,L 3,,,,False,PHO,1977
4,"Fri, Oct 29, 1976",,Box Score,@,Chicago Bulls,W,,95,82,1,3,W 1,,,,False,PHO,1977
5,"Sat, Oct 30, 1976",,Box Score,@,Denver Nuggets,L,,107,113,1,4,L 1,,,,False,PHO,1977
6,"Fri, Nov 5, 1976",,Box Score,@,Seattle SuperSonics,L,,84,88,1,5,L 2,,,,False,PHO,1977
7,"Thu, Nov 11, 1976",,Box Score,,Indiana Pacers,W,,108,98,2,5,W 1,,,,False,PHO,1977
8,"Sat, Nov 13, 1976",,Box Score,,Cleveland Cavaliers,L,,90,103,2,6,L 1,,,,False,PHO,1977
9,"Wed, Nov 17, 1976",,Box Score,,Milwaukee Bucks,W,,103,95,3,6,W 1,,,,False,PHO,1977
10,"Thu, Nov 18, 1976",,Box Score,@,Golden State Warriors,L,,111,131,3,7,L 1,,,,False,PHO,1977
11,"Fri, Nov 19, 1976",,Box Score,,New York Nets,L,,88,90,3,8,L 2,,,,False,PHO,1977
12,"Sun, Nov 21, 1976",,Box Score,,Chicago Bulls,W,,101,96,4,8,W 1,,,,False,PHO,1977
13,"Thu, Nov 25, 1976",,Box Score,,Washington Bullets,W,,104,98,5,8,W 2,,,,False,PHO,1977
14,"Sat, Nov 27, 1976",,Box Score,,Seattle SuperSonics,W,,119,107,6,8,W 3,,,,False,PHO,1977
15,"Tue, Nov 30, 1976",,Box Score,@,Indiana Pacers,L,,97,103,6,9,L 1,,,,False,PHO,1977
16,"Wed, Dec 1, 1976",,Box Score,@,New York Nets,W,,106,96,7,9,W 1,,,,False,PHO,1977
17,"Fri, Dec 3, 1976",,Box Score,,Portland Trail Blazers,L,,99,113,7,10,L 1,,,,False,PHO,1977
