G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,Unnamed: 2,Unnamed: 6,team,season
1,"Fri, Oct 29, 1982",,,Box Score,@,San Diego Clippers,W,,113,99,1,0,W 1,5063,,,False,,,PHO,1983
2,"Sun, Oct 31, 1982",,,Box Score,@,Denver Nuggets,L,,110,114,1,1,L 1,8893,,,False,,,PHO,1983
3,"Tue, Nov 2, 1982",,,Box Score,,Portland Trail Blazers,W,,92,87,2,1,W 1,10274,,,False,,,PHO,1983
4,"Thu, Nov 4, 1982",,,Box Score,,Utah Jazz,W,,119,104,3,1,W 2,10095,,,False,,,PHO,1983
5,"Sat, Nov 6, 1982",,,Box Score,@,Dallas Mavericks,W,,112,100,4,1,W 3,12780,,,False,,,PHO,1983
6,"Sun, Nov 7, 1982",,,Box Score,@,San Antonio Spurs,L,,100,101,4,2,L 1,9448,,,False,,,PHO,1983
7,"Tue, Nov 9, 1982",,,Box Score,@,Houston Rockets,W,,119,91,5,2,W 1,7563,,,False,,,PHO,1983
8,"Wed, Nov 10, 1982",,,Box Score,,Kansas City Kings,W,,106,100,6,2,W 2,10148,,,False,,,PHO,1983
9,"Fri, Nov 12, 1982",,,Box Score,,Cleveland Cavaliers,W,,94,81,7,2,W 3,9876,,,False,,,PHO,1983
10,"Sun, Nov 14, 1982",,,Box Score,@,Portland Trail Blazers,W,,102,94,8,2,W 4,12666,,,False,,,PHO,1983
11,"Tue, Nov 16, 1982",,,Box Score,,Los Angeles Lakers,W,,113,105,9,2,W 5,13288,,,False,,,PHO,1983
12,"Thu, Nov 18, 1982",,,Box Score,,Denver Nuggets,L,,107,118,9,3,L 1,9640,,,False,,,PHO,1983
13,"Sat, Nov 20, 1982",,,Box Score,,Atlanta Hawks,W,,91,80,10,3,W 1,11009,,,False,,,PHO,1983
14,"Wed, Nov 24, 1982",,,Box Score,,Washington Bullets,L,,93,106,10,4,L 1,9764,,,False,,,PHO,1983
15,"Fri, Nov 26, 1982",,,Box Score,,New Jersey Nets,W,,110,99,11,4,W 1,11678,,,False,,,PHO,1983
16,"Sat, Nov 27, 1982",,,Box Score,@,Kansas City Kings,L,,99,105,11,5,L 1,8107,,,False,,,PHO,1983
17,"Tue, Nov 30, 1982",,,Box Score,@,Golden State Warriors,L,,98,110,11,6,L 2,6759,,,False,,,PHO,1983
18,"Thu, Dec 2, 1982",,,Box Score,,Philadelphia 76ers,L,,108,116,11,7,L 3,14660,2:09,,False,,,PHO,1983
19,"Sat, Dec 4, 1982",,,Box Score,,San Diego Clippers,L,,103,113,11,8,L 4,10527,,,False,,,PHO,1983
20,"Wed, Dec 8, 1982",,,Box Score,@,Los Angeles Lakers,L,,86,89,11,9,L 5,13763,2:07,,False,,,PHO,1983
21,"Fri, Dec 10, 1982",,,Box Score,,Houston Rockets,W,,97,83,12,9,W 1,9214,,,False,,,PHO,1983
22,"Sun, Dec 12, 1982",,,Box Score,@,Portland Trail Blazers,L,,94,99,12,10,L 1,12666,,,False,,,PHO,1983
23,"Tue, Dec 14, 1982",,,Box Score,@,Seattle SuperSonics,W,OT,114,109,13,10,W 1,12432,,,False,,,PHO,1983
24,"Thu, Dec 16, 1982",,,Box Score,,Golden State Warriors,L,,94,98,13,11,L 1,9141,,,False,,,PHO,1983
25,"Sat, Dec 18, 1982",,,Box Score,,Los Angeles Lakers,W,,126,100,14,11,W 1,12856,1:58,,False,,,PHO,1983
26,"Tue, Dec 21, 1982",,,Box Score,@,San Antonio Spurs,W,,114,113,15,11,W 2,8479,,,False,,,PHO,1983
27,"Thu, Dec 23, 1982",,,Box Score,,Dallas Mavericks,W,,125,106,16,11,W 3,10261,,,False,,,PHO,1983
28,"Sat, Dec 25, 1982",,,Box Score,@,Utah Jazz,W,,111,101,17,11,W 4,9416,,,False,,,PHO,1983
29,"Sun, Dec 26, 1982",,,Box Score,@,Seattle SuperSonics,L,,87,88,17,12,L 1,14412,,,False,,,PHO,1983
30,"Tue, Dec 28, 1982",,,Box Score,,Portland Trail Blazers,W,,116,94,18,12,W 1,11843,,,False,,,PHO,1983
31,"Thu, Dec 30, 1982",,,Box Score,,Detroit Pistons,W,,115,98,19,12,W 2,11343,,,False,,,PHO,1983
32,"Sat, Jan 1, 1983",,,Box Score,@,Denver Nuggets,L,,125,127,19,13,L 1,7814,,,False,,,PHO,1983
