G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,Unnamed: 2,Unnamed: 6,team,season
1,"Sat, Nov 4, 1950",,,Box Score,,Boston Celtics,W,,77,68,1,0,W 1,5603,,,False,,,PHW,1951
2,"Thu, Nov 9, 1950",,,Box Score,,Fort Wayne Pistons,W,,87,72,2,0,W 2,,,,False,,,PHW,1951
3,"Sun, Nov 12, 1950",,,Box Score,@,Minneapolis Lakers,L,,70,83,2,1,L 1,,,,False,,,PHW,1951
4,"Tue, Nov 14, 1950",,,Box Score,,Baltimore Bullets,W,,84,72,3,1,W 1,,,,False,,,PHW,1951
5,"Wed, Nov 15, 1950",,,Box Score,@,Baltimore Bullets,L,,72,80,3,2,L 1,,,,False,,,PHW,1951
6,"Thu, Nov 16, 1950",,,Box Score,,Indianapolis Olympians,W,,84,67,4,2,W 1,,,,False,,,PHW,1951
7,"Sat, Nov 18, 1950",,,Box Score,@,New York Knicks,L,,87,93,4,3,L 1,,,,False,,,PHW,1951
8,"Tue, Nov 21, 1950",,,Box Score,,Washington Capitols,W,,83,78,5,3,W 1,,,,False,,,PHW,1951
9,"Thu, Nov 23, 1950",,,Box Score,,Rochester Royals,W,,89,71,6,3,W 2,,,,False,,,PHW,1951
10,"Tue, Nov 28, 1950",,,Box Score,N,Boston Celtics,W,,76,74,7,3,W 3,12500,,"at New York, NY",False,,,PHW,1951
11,"Thu, Nov 30, 1950",,,Box Score,,Syracuse Nationals,W,,81,78,8,3,W 4,,,,False,,,PHW,1951
12,"Sun, Dec 3, 1950",,,Box Score,@,Minneapolis Lakers,L,,83,95,8,4,L 1,,,,False,,,PHW,1951
13,"Wed, Dec 6, 1950",,,Box Score,@,Fort Wayne Pistons,L,,73,92,8,5,L 2,,,,False,,,PHW,1951
14,"Thu, Dec 7, 1950",,,Box Score,,Indianapolis Olympians,W,,102,73,9,5,W 1,,,,False,,,PHW,1951
15,"Sat, Dec 9, 1950",,,Box Score,@,Baltimore Bullets,L,,75,76,9,6,L 1,,,,False,,,PHW,1951
16,"Sun, Dec 10, 1950",,,Box Score,@,Rochester Royals,L,,84,99,9,7,L 2,,,,False,,,PHW,1951
17,"Tue, Dec 12, 1950",,,Box Score,,New York Knicks,W,,101,91,10,7,W 1,,,,False,,,PHW,1951
18,"Thu, Dec 14, 1950",,,Box Score,,Fort Wayne Pistons,W,,94,82,11,7,W 2,,,,False,,,PHW,1951
19,"Sat, Dec 16, 1950",,,Box Score,@,Washington Capitols,W,,96,88,12,7,W 3,,,,False,,,PHW,1951
20,"Tue, Dec 19, 1950",,,Box Score,,Minneapolis Lakers,W,,71,67,13,7,W 4,,,,False,,,PHW,1951
21,"Sat, Dec 23, 1950",,,Box Score,@,New York Knicks,L,2OT,79,83,13,8,L 1,,,,False,,,PHW,1951
22,"Mon, Dec 25, 1950",,,Box Score,,New York Knicks,L,OT,84,86,13,9,L 2,,,,False,,,PHW,1951
23,"Wed, Dec 27, 1950",,,Box Score,N,New York Knicks,L,,74,79,13,10,L 3,,,"at Hershey, PA",False,,,PHW,1951
24,"Thu, Dec 28, 1950",,,Box Score,,Syracuse Nationals,W,OT,91,88,14,10,W 1,,,,False,,,PHW,1951
25,"Sun, Dec 31, 1950",,,Box Score,@,Minneapolis Lakers,L,,73,83,14,11,L 1,,,,False,,,PHW,1951
26,"Mon, Jan 1, 1951",,,Box Score,@,Tri-Cities Blackhawks,L,,92,109,14,12,L 2,,,,False,,,PHW,1951
27,"Tue, Jan 2, 1951",,,Box Score,@,Indianapolis Olympians,W,OT,87,86,15,12,W 1,,,,False,,,PHW,1951
