G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Fri, Oct 25, 1957",,Box Score,@,Syracuse Nationals,L,,85,103,0,1,L 1,,,,False,PHW,1958
2,"Sat, Oct 26, 1957",,Box Score,@,Detroit Pistons,W,,112,100,1,1,W 1,,,,False,PHW,1958
3,"Sat, Nov 2, 1957",,Box Score,,Minneapolis Lakers,W,,118,108,2,1,W 2,,,,False,PHW,1958
4,"Sun, Nov 3, 1957",,Box Score,@,New York Knicks,L,,105,123,2,2,L 1,,,,False,PHW,1958
5,"Thu, Nov 7, 1957",,Box Score,,New York Knicks,W,,113,101,3,2,W 1,,,,False,PHW,1958
6,"Fri, Nov 8, 1957",,Box Score,N,Minneapolis Lakers,W,,119,108,4,2,W 2,,,"at Hershey, PA",False,PHW,1958
7,"Sat, Nov 9, 1957",,Box Score,@,St. Louis Hawks,L,,100,105,4,3,L 1,,,,False,PHW,1958
8,"Sun, Nov 10, 1957",,Box Score,@,Cincinnati Royals,W,,106,101,5,3,W 1,,,,False,PHW,1958
9,"Thu, Nov 14, 1957",,Box Score,,Syracuse Nationals,L,,94,97,5,4,L 1,,,,False,PHW,1958
10,"Sat, Nov 16, 1957",,Box Score,@,Boston Celtics,L,,89,111,5,5,L 2,12916,,,False,PHW,1958
11,"Sun, Nov 17, 1957",,Box Score,,Detroit Pistons,L,,91,95,5,6,L 3,,,,False,PHW,1958
12,"Wed, Nov 20, 1957",,Box Score,,Cincinnati Royals,L,,89,99,5,7,L 4,,,,False,PHW,1958
13,"Sun, Nov 24, 1957",,Box Score,,Minneapolis Lakers,W,,105,98,6,7,W 1,,,"at Camden, NJ",False,PHW,1958
14,"Wed, Nov 27, 1957",,Box Score,@,Syracuse Nationals,L,,87,92,6,8,L 1,,,,False,PHW,1958
15,"Thu, Nov 28, 1957",,Box Score,,Syracuse Nationals,W,,102,98,7,8,W 1,,,,False,PHW,1958
16,"Sat, Nov 30, 1957",,Box Score,,New York Knicks,W,,111,83,8,8,W 2,,,,False,PHW,1958
17,"Tue, Dec 3, 1957",,Box Score,N,Syracuse Nationals,L,,96,119,8,9,L 1,,,"at New York, NY",False,PHW,1958
18,"Thu, Dec 5, 1957",,Box Score,,St. Louis Hawks,W,,124,109,9,9,W 1,,,,False,PHW,1958
19,"Sat, Dec 7, 1957",,Box Score,,Boston Celtics,L,,106,112,9,10,L 1,7576,,,False,PHW,1958
20,"Sun, Dec 8, 1957",,Box Score,@,Cincinnati Royals,L,,88,99,9,11,L 2,,,,False,PHW,1958
21,"Tue, Dec 10, 1957",,Box Score,@,Detroit Pistons,W,,100,97,10,11,W 1,,,,False,PHW,1958
22,"Thu, Dec 12, 1957",,Box Score,,Detroit Pistons,L,,96,101,10,12,L 1,,,,False,PHW,1958
23,"Sat, Dec 14, 1957",,Box Score,@,Boston Celtics,L,,94,112,10,13,L 2,8824,,,False,PHW,1958
24,"Wed, Dec 18, 1957",,Box Score,@,Minneapolis Lakers,L,,102,108,10,14,L 3,,,,False,PHW,1958
25,"Sun, Dec 22, 1957",,Box Score,@,New York Knicks,L,,100,126,10,15,L 4,,,,False,PHW,1958
