G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Sat, Oct 23, 1976",,Box Score,,New York Nets,W,,114,104,1,0,W 1,,,,False,POR,1977
2,"Tue, Oct 26, 1976",,Box Score,,Golden State Warriors,W,,110,96,2,0,W 2,,,,False,POR,1977
3,"Thu, Oct 28, 1976",,Box Score,@,Golden State Warriors,L,,92,112,2,1,L 1,,,,False,POR,1977
4,"Sat, Oct 30, 1976",,Box Score,,Detroit Pistons,W,,131,97,3,1,W 1,,,,False,POR,1977
5,"Tue, Nov 2, 1976",,Box Score,,Atlanta Hawks,W,,129,116,4,1,W 2,,,,False,POR,1977
6,"Fri, Nov 5, 1976",,Box Score,,Philadelphia 76ers,W,,146,104,5,1,W 3,,,,False,POR,1977
7,"Sun, Nov 7, 1976",,Box Score,,New York Knicks,W,,119,93,6,1,W 4,,,,False,POR,1977
8,"Tue, Nov 9, 1976",,Box Score,,Kansas City Kings,W,,119,102,7,1,W 5,,,,False,POR,1977
9,"Thu, Nov 11, 1976",,Box Score,@,Atlanta Hawks,L,,105,107,7,2,L 1,,,,False,POR,1977
10,"Sat, Nov 13, 1976",,Box Score,@,San Antonio Spurs,L,,101,113,7,3,L 2,,,,False,POR,1977
11,"Tue, Nov 16, 1976",,Box Score,@,New Orleans Jazz,L,,98,100,7,4,L 3,,,,False,POR,1977
12,"Fri, Nov 19, 1976",,Box Score,,Milwaukee Bucks,W,,124,111,8,4,W 1,,,,False,POR,1977
13,"Sun, Nov 21, 1976",,Box Score,,Buffalo Braves,W,,121,98,9,4,W 2,,,,False,POR,1977
14,"Wed, Nov 24, 1976",,Box Score,,Chicago Bulls,W,OT,117,115,10,4,W 3,,,,False,POR,1977
15,"Fri, Nov 26, 1976",,Box Score,@,Los Angeles Lakers,L,,96,99,10,5,L 1,,,,False,POR,1977
16,"Sat, Nov 27, 1976",,Box Score,,Washington Bullets,W,,103,95,11,5,W 1,,,,False,POR,1977
17,"Sun, Nov 28, 1976",,Box Score,,Indiana Pacers,W,,145,115,12,5,W 2,,,,False,POR,1977
18,"Tue, Nov 30, 1976",,Box Score,@,Milwaukee Bucks,L,,106,115,12,6,L 1,,,,False,POR,1977
19,"Wed, Dec 1, 1976",,Box Score,@,Indiana Pacers,W,,101,100,13,6,W 1,,,,False,POR,1977
20,"Fri, Dec 3, 1976",,Box Score,@,Phoenix Suns,W,,113,99,14,6,W 2,,,,False,POR,1977
21,"Sat, Dec 4, 1976",,Box Score,,Milwaukee Bucks,W,,112,108,15,6,W 3,,,,False,POR,1977
22,"Sun, Dec 5, 1976",,Box Score,,Cleveland Cavaliers,W,,93,89,16,6,W 4,,,,False,POR,1977
23,"Tue, Dec 7, 1976",,Box Score,@,New York Knicks,W,,111,94,17,6,W 5,,,,False,POR,1977
24,"Wed, Dec 8, 1976",,Box Score,@,Boston Celtics,L,,95,104,17,7,L 1,10204,,,False,POR,1977
25,"Fri, Dec 10, 1976",,Box Score,@,Buffalo Braves,W,,103,102,18,7,W 1,,,,False,POR,1977
26,"Sat, Dec 11, 1976",,Box Score,@,Philadelphia 76ers,L,,107,108,18,8,L 1,,,,False,POR,1977
27,"Tue, Dec 14, 1976",,Box Score,,Houston Rockets,W,,104,84,19,8,W 1,,,,False,POR,1977
28,"Fri, Dec 17, 1976",,Box Score,,Denver Nuggets,W,,127,105,20,8,W 2,,,,False,POR,1977
29,"Sat, Dec 18, 1976",,Box Score,,Los Angeles Lakers,L,OT,111,115,20,9,L 1,,,,False,POR,1977
