G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,Unnamed: 2,Unnamed: 6,team,season
1,"Fri, Oct 31, 1986",,,Box Score,,Seattle SuperSonics,L,,110,127,0,1,L 1,12666,,,False,,,POR,1987
2,"Sat, Nov 1, 1986",,,Box Score,@,Utah Jazz,L,,110,119,0,2,L 2,11013,,,False,,,POR,1987
3,"Tue, Nov 4, 1986",,,Box Score,@,Phoenix Suns,L,,120,126,0,3,L 3,11624,,,False,,,POR,1987
4,"Wed, Nov 5, 1986",,,Box Score,@,Golden State Warriors,L,,92,102,0,4,L 4,7717,,,False,,,POR,1987
5,"Fri, Nov 7, 1986",,,Box Score,,Dallas Mavericks,W,OT,120,113,1,4,W 1,12666,,,False,,,POR,1987
6,"Sun, Nov 9, 1986",,,Box Score,,Philadelphia 76ers,L,,119,125,1,5,L 1,12666,,,False,,,POR,1987
7,"Tue, Nov 11, 1986",,,Box Score,,Golden State Warriors,W,,126,108,2,5,W 1,12666,,,False,,,POR,1987
8,"Fri, Nov 14, 1986",,,Box Score,,Los Angeles Clippers,W,,119,109,3,5,W 2,12666,,,False,,,POR,1987
9,"Sun, Nov 16, 1986",,,Box Score,,Utah Jazz,W,,124,103,4,5,W 3,12666,,,False,,,POR,1987
10,"Tue, Nov 18, 1986",,,Box Score,@,Houston Rockets,W,OT,115,111,5,5,W 4,16016,,,False,,,POR,1987
11,"Thu, Nov 20, 1986",,,Box Score,@,Denver Nuggets,L,,128,142,5,6,L 1,8421,,,False,,,POR,1987
12,"Fri, Nov 21, 1986",,,Box Score,,San Antonio Spurs,W,,127,114,6,6,W 1,12666,,,False,,,POR,1987
13,"Sun, Nov 23, 1986",,,Box Score,,Indiana Pacers,W,,108,95,7,6,W 2,12666,,,False,,,POR,1987
14,"Tue, Nov 25, 1986",,,Box Score,@,Washington Bullets,L,,99,111,7,7,L 1,7821,,,False,,,POR,1987
