G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Wed, Oct 30, 2002",9:30p,,Box Score,,Los Angeles Lakers,W,,102,90,1,0,W 1,20225,,,False,POR,2003
2,"Thu, Oct 31, 2002",10:00p,,Box Score,@,Sacramento Kings,L,,72,100,1,1,L 1,17317,,,False,POR,2003
3,"Sat, Nov 2, 2002",10:00p,,Box Score,,Denver Nuggets,L,,79,96,1,2,L 2,19991,,,False,POR,2003
4,"Sun, Nov 3, 2002",9:30p,,Box Score,@,Los Angeles Lakers,L,OT,95,98,1,3,L 3,18997,,,False,POR,2003
5,"Wed, Nov 6, 2002",10:00p,,Box Score,,Memphis Grizzlies,W,,94,88,2,3,W 1,19067,,,False,POR,2003
6,"Fri, Nov 8, 2002",9:00p,,Box Score,@,Phoenix Suns,L,,75,86,2,4,L 1,15009,,,False,POR,2003
7,"Sat, Nov 9, 2002",8:30p,,Box Score,@,San Antonio Spurs,W,,95,76,3,4,W 1,18781,,,False,POR,2003
8,"Mon, Nov 11, 2002",8:30p,,Box Score,@,Dallas Mavericks,L,,73,82,3,5,L 1,19548,,,False,POR,2003
9,"Tue, Nov 12, 2002",8:30p,,Box Score,@,Houston Rockets,L,,83,86,3,6,L 2,9838,,,False,POR,2003
10,"Fri, Nov 15, 2002",10:00p,,Box Score,,Los Angeles Clippers,W,,112,88,4,6,W 1,18723,,,False,POR,2003
11,"Wed, Nov 20, 2002",10:00p,,Box Score,,Orlando Magic,W,,98,84,5,6,W 2,18153,,,False,POR,2003
12,"Thu, Nov 21, 2002",10:00p,,Box Score,@,Seattle SuperSonics,W,,89,85,6,6,W 3,14547,,,False,POR,2003
13,"Sat, Nov 23, 2002",10:00p,,Box Score,,Sacramento Kings,L,,94,95,6,7,L 1,18782,,,False,POR,2003
14,"Tue, Nov 26, 2002",10:00p,,Box Score,,Houston Rockets,W,,77,71,7,7,W 1,18088,,,False,POR,2003
15,"Sat, Nov 30, 2002",10:00p,,Box Score,,New Jersey Nets,L,,86,93,7,8,L 1,18614,,,False,POR,2003
16,"Wed, Dec 4, 2002",10:00p,,Box Score,,Dallas Mavericks,L,,88,103,7,9,L 2,18452,,,False,POR,2003
17,"Fri, Dec 6, 2002",10:00p,,Box Score,,Miami Heat,W,,88,69,8,9,W 1,18033,,,False,POR,2003
18,"Sun, Dec 8, 2002",3:30p,,Box Score,@,Toronto Raptors,W,,104,91,9,9,W 2,18645,,,False,POR,2003
19,"Tue, Dec 10, 2002",7:00p,,Box Score,@,Washington Wizards,W,,98,79,10,9,W 3,20173,,,False,POR,2003
20,"Wed, Dec 11, 2002",7:00p,,Box Score,@,New Jersey Nets,L,,104,105,10,10,L 1,11053,,,False,POR,2003
