G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Sat, Nov 1, 1952",,Box Score,,Fort Wayne Pistons,W,,94,82,1,0,W 1,,,,False,ROC,1953
2,"Thu, Nov 6, 1952",,Box Score,@,Fort Wayne Pistons,W,,84,64,2,0,W 2,,,,False,ROC,1953
3,"Fri, Nov 7, 1952",,Box Score,@,Indianapolis Olympians,W,,65,63,3,0,W 3,,,,False,ROC,1953
4,"Sat, Nov 8, 1952",,Box Score,,Indianapolis Olympians,W,4OT,99,96,4,0,W 4,,,,False,ROC,1953
5,"Sun, Nov 9, 1952",,Box Score,@,Milwaukee Hawks,L,,75,78,4,1,L 1,,,,False,ROC,1953
6,"Tue, Nov 11, 1952",,Box Score,,New York Knicks,W,,104,94,5,1,W 1,,,,False,ROC,1953
7,"Thu, Nov 13, 1952",,Box Score,N,Milwaukee Hawks,W,,97,79,6,1,W 2,,,"at New York, NY",False,ROC,1953
8,"Sat, Nov 15, 1952",,Box Score,,Minneapolis Lakers,W,,97,89,7,1,W 3,,,,False,ROC,1953
9,"Sun, Nov 16, 1952",,Box Score,@,Boston Celtics,L,,87,96,7,2,L 1,2723,,,False,ROC,1953
10,"Sat, Nov 22, 1952",,Box Score,,Milwaukee Hawks,W,,69,65,8,2,W 1,,,,False,ROC,1953
11,"Sun, Nov 23, 1952",,Box Score,,Boston Celtics,L,,100,102,8,3,L 1,2507,,,False,ROC,1953
12,"Tue, Nov 25, 1952",,Box Score,,Baltimore Bullets,W,,106,89,9,3,W 1,,,,False,ROC,1953
13,"Thu, Nov 27, 1952",,Box Score,@,Syracuse Nationals,L,,79,86,9,4,L 1,,,,False,ROC,1953
14,"Sat, Nov 29, 1952",,Box Score,,Minneapolis Lakers,W,,83,71,10,4,W 1,,,,False,ROC,1953
15,"Sun, Nov 30, 1952",,Box Score,@,Milwaukee Hawks,W,,91,88,11,4,W 2,,,,False,ROC,1953
16,"Tue, Dec 2, 1952",,Box Score,@,Indianapolis Olympians,L,,76,85,11,5,L 1,,,,False,ROC,1953
17,"Sat, Dec 6, 1952",,Box Score,,Indianapolis Olympians,W,,82,79,12,5,W 1,,,,False,ROC,1953
18,"Sun, Dec 7, 1952",,Box Score,,Philadelphia Warriors,W,,94,92,13,5,W 2,,,,False,ROC,1953
19,"Tue, Dec 9, 1952",,Box Score,@,New York Knicks,W,,77,75,14,5,W 3,,,,False,ROC,1953
20,"Wed, Dec 10, 1952",,Box Score,@,Baltimore Bullets,W,OT,99,97,15,5,W 4,,,,False,ROC,1953
21,"Thu, Dec 11, 1952",,Box Score,@,Philadelphia Warriors,L,,86,98,15,6,L 1,,,,False,ROC,1953
22,"Sat, Dec 13, 1952",,Box Score,,New York Knicks,L,OT,97,99,15,7,L 2,,,,False,ROC,1953
23,"Sun, Dec 14, 1952",,Box Score,@,Minneapolis Lakers,L,,77,95,15,8,L 3,,,,False,ROC,1953
24,"Tue, Dec 16, 1952",,Box Score,@,Indianapolis Olympians,W,,84,71,16,8,W 1,,,,False,ROC,1953
25,"Sat, Dec 20, 1952",,Box Score,,Fort Wayne Pistons,W,,92,89,17,8,W 2,,,,False,ROC,1953
26,"Sun, Dec 21, 1952",,Box Score,N,Indianapolis Olympians,W,,83,65,18,8,W 3,,,"at New York, NY",False,ROC,1953
27,"Thu, Dec 25, 1952",,Box Score,@,Philadelphia Warriors,W,,93,78,19,8,W 4,,,,False,ROC,1953
28,"Sat, Dec 27, 1952",,Box Score,,Indianapolis Olympians,W,,94,73,20,8,W 5,,,,False,ROC,1953
29,"Tue, Dec 30, 1952",,Box Score,,Syracuse Nationals,W,,106,93,21,8,W 6,,,,False,ROC,1953
30,"Wed, Dec 31, 1952",,Box Score,N,Milwaukee Hawks,W,,82,74,22,8,W 7,,,"at Fort Wayne, IN",False,ROC,1953
31,"Thu, Jan 1, 1953",,Box Score,,Boston Celtics,L,OT,81,83,22,9,L 1,2890,,,False,ROC,1953
32,"Sat, Jan 3, 1953",,Box Score,,Fort Wayne Pistons,W,,106,101,23,9,W 1,,,,False,ROC,1953
33,"Sun, Jan 4, 1953",,Box Score,@,Minneapolis Lakers,L,OT,80,83,23,10,L 1,,,,False,ROC,1953
34,"Tue, Jan 6, 1953",,Box Score,N,Minneapolis Lakers,W,,85,69,24,10,W 1,,,"at Milwaukee, WI",False,ROC,1953
35,"Thu, Jan 8, 1953",,Box Score,N,Boston Celtics,L,OT,85,88,24,11,L 1,9000,,"at New York, NY",False,ROC,1953
36,"Sat, Jan 10, 1953",,Box Score,,Milwaukee Hawks,W,,89,81,25,11,W 1,,,,False,ROC,1953
37,"Sun, Jan 11, 1953",,Box Score,@,Milwaukee Hawks,L,2OT,79,83,25,12,L 1,,,,False,ROC,1953
38,"Thu, Jan 15, 1953",,Box Score,@,Syracuse Nationals,L,,85,109,25,13,L 2,,,,False,ROC,1953
39,"Sat, Jan 17, 1953",,Box Score,,Minneapolis Lakers,W,,109,101,26,13,W 1,,,,False,ROC,1953
40,"Sun, Jan 18, 1953",,Box Score,@,Fort Wayne Pistons,L,,87,90,26,14,L 1,,,,False,ROC,1953
41,"Tue, Jan 20, 1953",,Box Score,@,Indianapolis Olympians,L,,59,70,26,15,L 2,,,,False,ROC,1953
42,"Wed, Jan 21, 1953",,Box Score,@,Baltimore Bullets,W,,89,82,27,15,W 1,,,,False,ROC,1953
43,"Sat, Jan 24, 1953",,Box Score,,Syracuse Nationals,L,,82,107,27,16,L 1,,,,False,ROC,1953
44,"Tue, Jan 27, 1953",,Box Score,,New York Knicks,L,,72,74,27,17,L 2,,,,False,ROC,1953
45,"Fri, Jan 30, 1953",,Box Score,N,Fort Wayne Pistons,W,OT,70,68,28,17,W 1,,,"at Milwaukee, WI",False,ROC,1953
46,"Sat, Jan 31, 1953",,Box Score,,Philadelphia Warriors,W,,103,83,29,17,W 2,,,,False,ROC,1953
47,"Sun, Feb 1, 1953",,Box Score,@,Boston Celtics,W,,109,86,30,17,W 3,9736,,,False,ROC,1953
48,"Mon, Feb 2, 1953",,Box Score,N,Milwaukee Hawks,W,OT,80,78,31,17,W 4,,,"at Buffalo, NY",False,ROC,1953
49,"Tue, Feb 3, 1953",,Box Score,,Baltimore Bullets,W,,109,82,32,17,W 5,,,,False,ROC,1953
50,"Thu, Feb 5, 1953",,Box Score,@,Syracuse Nationals,L,OT,79,83,32,18,L 1,,,,False,ROC,1953
51,"Sat, Feb 7, 1953",,Box Score,,Minneapolis Lakers,W,,87,72,33,18,W 1,,,,False,ROC,1953
52,"Sun, Feb 8, 1953",,Box Score,@,Milwaukee Hawks,L,OT,82,85,33,19,L 1,,,,False,ROC,1953
53,"Tue, Feb 10, 1953",,Box Score,,Philadelphia Warriors,W,,101,85,34,19,W 1,,,,False,ROC,1953
54,"Sat, Feb 14, 1953",,Box Score,,Milwaukee Hawks,W,,81,72,35,19,W 2,,,,False,ROC,1953
55,"Sun, Feb 15, 1953",,Box Score,@,Fort Wayne Pistons,W,,84,72,36,19,W 3,,,,False,ROC,1953
56,"Tue, Feb 17, 1953",,Box Score,,Fort Wayne Pistons,L,,78,88,36,20,L 1,,,,False,ROC,1953
57,"Thu, Feb 19, 1953",,Box Score,@,Minneapolis Lakers,L,,87,107,36,21,L 2,,,,False,ROC,1953
58,"Sat, Feb 21, 1953",,Box Score,,Syracuse Nationals,W,,84,73,37,21,W 1,,,,False,ROC,1953
59,"Tue, Feb 24, 1953",,Box Score,,Fort Wayne Pistons,L,,80,91,37,22,L 1,,,,False,ROC,1953
60,"Wed, Feb 25, 1953",,Box Score,N,New York Knicks,W,OT,79,71,38,22,W 1,,,"at Boston, MA",False,ROC,1953
61,"Sat, Feb 28, 1953",,Box Score,,Boston Celtics,W,,92,85,39,22,W 2,4061,,,False,ROC,1953
62,"Tue, Mar 3, 1953",,Box Score,@,New York Knicks,L,,88,109,39,23,L 1,,,,False,ROC,1953
63,"Wed, Mar 4, 1953",,Box Score,@,Baltimore Bullets,W,,81,77,40,23,W 1,,,,False,ROC,1953
64,"Thu, Mar 5, 1953",,Box Score,@,Philadelphia Warriors,L,,69,78,40,24,L 1,,,"at Trenton, NJ",False,ROC,1953
65,"Sat, Mar 7, 1953",,Box Score,,Minneapolis Lakers,W,,84,82,41,24,W 1,,,,False,ROC,1953
66,"Sun, Mar 8, 1953",,Box Score,@,Fort Wayne Pistons,W,,71,69,42,24,W 2,,,,False,ROC,1953
67,"Tue, Mar 10, 1953",,Box Score,@,Indianapolis Olympians,W,,61,59,43,24,W 3,,,,False,ROC,1953
68,"Thu, Mar 12, 1953",,Box Score,@,Minneapolis Lakers,L,,77,89,43,25,L 1,,,,False,ROC,1953
69,"Sat, Mar 14, 1953",,Box Score,,Indianapolis Olympians,L,,82,90,43,26,L 2,,,,False,ROC,1953
70,"Sun, Mar 15, 1953",,Box Score,,Baltimore Bullets,W,,105,87,44,26,W 1,,,,False,ROC,1953
1,"Fri, Mar 20, 1953",,Box Score,,Fort Wayne Pistons,L,,77,84,0,1,L 1,,,,True,ROC,1953
2,"Sun, Mar 22, 1953",,Box Score,@,Fort Wayne Pistons,W,,83,71,1,1,W 1,,,,True,ROC,1953
3,"Tue, Mar 24, 1953",,Box Score,,Fort Wayne Pistons,L,,65,67,1,2,L 1,,,,True,ROC,1953
