G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,Unnamed: 2,Unnamed: 6,team,season
1,"Fri, Oct 25, 1985",,,Box Score,,Los Angeles Clippers,L,,104,108,0,1,L 1,10333,2:20,,False,,,SAC,1986
2,"Sat, Oct 26, 1985",,,Box Score,@,Denver Nuggets,L,,112,123,0,2,L 2,9309,2:04,,False,,,SAC,1986
3,"Thu, Oct 31, 1985",,,Box Score,,Houston Rockets,W,,122,116,1,2,W 1,10333,2:13,,False,,,SAC,1986
4,"Sat, Nov 2, 1985",,,Box Score,@,Dallas Mavericks,L,,113,119,1,3,L 1,16373,2:04,,False,,,SAC,1986
5,"Thu, Nov 7, 1985",,,Box Score,,Cleveland Cavaliers,L,,94,95,1,4,L 2,10333,2:09,,False,,,SAC,1986
6,"Sat, Nov 9, 1985",,,Box Score,,Seattle SuperSonics,W,,98,93,2,4,W 1,10333,2:22,,False,,,SAC,1986
7,"Sun, Nov 10, 1985",,,Box Score,@,Golden State Warriors,L,,111,117,2,5,L 1,11568,2:10,,False,,,SAC,1986
8,"Tue, Nov 12, 1985",,,Box Score,@,Portland Trail Blazers,L,,115,126,2,6,L 2,12666,2:11,,False,,,SAC,1986
9,"Thu, Nov 14, 1985",,,Box Score,,Golden State Warriors,W,,112,103,3,6,W 1,10333,2:09,,False,,,SAC,1986
10,"Sat, Nov 16, 1985",,,Box Score,,Utah Jazz,L,,96,100,3,7,L 1,10333,2:08,,False,,,SAC,1986
11,"Tue, Nov 19, 1985",,,Box Score,@,San Antonio Spurs,W,,103,99,4,7,W 1,5486,2:16,,False,,,SAC,1986
12,"Thu, Nov 21, 1985",,,Box Score,,Milwaukee Bucks,L,,97,131,4,8,L 1,10333,1:56,,False,,,SAC,1986
13,"Sat, Nov 23, 1985",,,Box Score,@,Denver Nuggets,L,,118,122,4,9,L 2,11793,2:11,,False,,,SAC,1986
