G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Fri, Oct 31, 1986",,,Box Score,,Los Angeles Clippers,W,,107,106,1,0,W 1,10333,,,False,SAC,1987
2,"Sat, Nov 1, 1986",,,Box Score,@,Seattle SuperSonics,L,,103,114,1,1,L 1,6296,,,False,SAC,1987
3,"Tue, Nov 4, 1986",,,Box Score,,Houston Rockets,L,,84,100,1,2,L 2,10333,,,False,SAC,1987
4,"Thu, Nov 6, 1986",,,Box Score,,New York Knicks,L,,95,106,1,3,L 3,10333,,,False,SAC,1987
5,"Sat, Nov 8, 1986",,,Box Score,@,Houston Rockets,L,,90,102,1,4,L 4,16016,,,False,SAC,1987
6,"Tue, Nov 11, 1986",,,Box Score,,Cleveland Cavaliers,W,,119,114,2,4,W 1,10333,,,False,SAC,1987
7,"Wed, Nov 12, 1986",,,Box Score,@,Denver Nuggets,W,,110,108,3,4,W 2,7225,,,False,SAC,1987
8,"Sun, Nov 16, 1986",,,Box Score,@,Los Angeles Lakers,L,,111,113,3,5,L 1,13421,,,False,SAC,1987
9,"Tue, Nov 18, 1986",,,Box Score,@,Seattle SuperSonics,L,,105,119,3,6,L 2,5411,,,False,SAC,1987
10,"Thu, Nov 20, 1986",,,Box Score,,Indiana Pacers,W,,92,83,4,6,W 1,10333,,,False,SAC,1987
11,"Sat, Nov 22, 1986",,,Box Score,,Milwaukee Bucks,L,,99,107,4,7,L 1,10333,,,False,SAC,1987
12,"Tue, Nov 25, 1986",,,Box Score,,Phoenix Suns,W,,123,102,5,7,W 1,10333,,,False,SAC,1987
13,"Wed, Nov 26, 1986",,,Box Score,@,Dallas Mavericks,L,,117,129,5,8,L 1,16954,,,False,SAC,1987
14,"Fri, Nov 28, 1986",,,Box Score,,Golden State Warriors,L,,97,103,5,9,L 2,10333,,,False,SAC,1987
15,"Sun, Nov 30, 1986",,,Box Score,,Atlanta Hawks,L,,109,113,5,10,L 3,10333,,,False,SAC,1987
16,"Tue, Dec 2, 1986",,,Box Score,,Dallas Mavericks,L,,124,127,5,11,L 4,10333,,,False,SAC,1987
17,"Thu, Dec 4, 1986",,,Box Score,,Portland Trail Blazers,L,,102,106,5,12,L 5,10333,,,False,SAC,1987
18,"Sat, Dec 6, 1986",,,Box Score,,Utah Jazz,L,,111,114,5,13,L 6,10333,,,False,SAC,1987
19,"Tue, Dec 9, 1986",7:42p,,Box Score,@,New Jersey Nets,W,,120,107,6,13,W 1,7521,2:11,,False,SAC,1987
20,"Wed, Dec 10, 1986",,,Box Score,@,Detroit Pistons,L,,101,108,6,14,L 1,10344,,,False,SAC,1987
21,"Fri, Dec 12, 1986",,,Box Score,@,Atlanta Hawks,L,,120,130,6,15,L 2,11808,,,False,SAC,1987
22,"Sat, Dec 13, 1986",,,Box Score,@,Houston Rockets,L,,106,119,6,16,L 3,16016,,,False,SAC,1987
23,"Tue, Dec 16, 1986",,,Box Score,,Denver Nuggets,L,,119,120,6,17,L 4,10333,,,False,SAC,1987
24,"Thu, Dec 18, 1986",,,Box Score,@,Los Angeles Clippers,W,,117,113,7,17,W 1,6825,,,False,SAC,1987
25,"Sat, Dec 20, 1986",,,Box Score,,Phoenix Suns,W,,122,114,8,17,W 2,10333,,,False,SAC,1987
26,"Tue, Dec 23, 1986",,,Box Score,,Los Angeles Lakers,L,OT,117,127,8,18,L 1,10333,,,False,SAC,1987
27,"Sat, Dec 27, 1986",,,Box Score,,Philadelphia 76ers,L,,95,99,8,19,L 2,10333,,,False,SAC,1987
28,"Mon, Dec 29, 1986",,,Box Score,,Boston Celtics,L,,102,119,8,20,L 3,10333,1:55,,False,SAC,1987
29,"Fri, Jan 2, 1987",,,Box Score,@,Golden State Warriors,L,,109,115,8,21,L 4,11726,,,False,SAC,1987
30,"Sun, Jan 4, 1987",,,Box Score,@,Portland Trail Blazers,L,,111,128,8,22,L 5,12666,,,False,SAC,1987
31,"Tue, Jan 6, 1987",,,Box Score,,Denver Nuggets,W,,112,104,9,22,W 1,10333,,,False,SAC,1987
