G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Fri, Nov 6, 1987",,Box Score,,Golden State Warriors,W,,134,106,1,0,W 1,10333,,,False,SAC,1988
2,"Sat, Nov 7, 1987",,Box Score,@,Utah Jazz,L,,100,121,1,1,L 1,12212,,,False,SAC,1988
3,"Tue, Nov 10, 1987",,Box Score,,Denver Nuggets,W,,134,123,2,1,W 1,10333,,,False,SAC,1988
4,"Thu, Nov 12, 1987",,Box Score,,Houston Rockets,L,,114,116,2,2,L 1,10333,,,False,SAC,1988
5,"Sat, Nov 14, 1987",,Box Score,@,Denver Nuggets,L,,109,130,2,3,L 2,11007,,,False,SAC,1988
6,"Tue, Nov 17, 1987",,Box Score,,Indiana Pacers,L,,111,126,2,4,L 3,10333,,,False,SAC,1988
7,"Thu, Nov 19, 1987",,Box Score,,Milwaukee Bucks,L,OT,113,117,2,5,L 4,10333,,,False,SAC,1988
8,"Sat, Nov 21, 1987",,Box Score,,Dallas Mavericks,L,,96,103,2,6,L 5,10333,,,False,SAC,1988
9,"Tue, Nov 24, 1987",,Box Score,@,Portland Trail Blazers,L,,94,98,2,7,L 6,12666,,,False,SAC,1988
10,"Thu, Nov 26, 1987",,Box Score,,New Jersey Nets,W,,110,102,3,7,W 1,10333,,,False,SAC,1988
11,"Sat, Nov 28, 1987",,Box Score,,Philadelphia 76ers,W,OT,115,114,4,7,W 2,10333,,,False,SAC,1988
12,"Tue, Dec 1, 1987",,Box Score,,Los Angeles Lakers,L,OT,120,125,4,8,L 1,10333,,,False,SAC,1988
13,"Wed, Dec 2, 1987",,Box Score,@,Denver Nuggets,L,,120,147,4,9,L 2,7779,,,False,SAC,1988
14,"Fri, Dec 4, 1987",,Box Score,@,Los Angeles Clippers,L,,84,98,4,10,L 3,3205,,,False,SAC,1988
15,"Sat, Dec 5, 1987",,Box Score,,Utah Jazz,L,,117,126,4,11,L 4,10333,,,False,SAC,1988
16,"Tue, Dec 8, 1987",,Box Score,@,Houston Rockets,L,,97,106,4,12,L 5,16611,,,False,SAC,1988
17,"Wed, Dec 9, 1987",,Box Score,@,Dallas Mavericks,L,,98,125,4,13,L 6,16393,,,False,SAC,1988
18,"Fri, Dec 11, 1987",,Box Score,,Cleveland Cavaliers,L,,113,115,4,14,L 7,10333,,,False,SAC,1988
19,"Sun, Dec 13, 1987",,Box Score,,Atlanta Hawks,L,,100,106,4,15,L 8,10333,,,False,SAC,1988
20,"Tue, Dec 15, 1987",,Box Score,,Los Angeles Clippers,W,,128,108,5,15,W 1,10333,,,False,SAC,1988
21,"Thu, Dec 17, 1987",,Box Score,@,Seattle SuperSonics,L,,109,114,5,16,L 1,10238,,,False,SAC,1988
22,"Sun, Dec 20, 1987",,Box Score,,Phoenix Suns,L,,109,120,5,17,L 2,10333,,,False,SAC,1988
23,"Tue, Dec 22, 1987",,Box Score,,San Antonio Spurs,W,,120,96,6,17,W 1,10333,,,False,SAC,1988
24,"Wed, Dec 23, 1987",,Box Score,@,Los Angeles Lakers,L,,103,117,6,18,L 1,17505,,,False,SAC,1988
25,"Sat, Dec 26, 1987",,Box Score,@,Phoenix Suns,W,,112,110,7,18,W 1,10328,,,False,SAC,1988
26,"Sun, Dec 27, 1987",,Box Score,,Boston Celtics,L,,102,114,7,19,L 1,10333,1:54,,False,SAC,1988
27,"Tue, Dec 29, 1987",,Box Score,@,Dallas Mavericks,L,,117,126,7,20,L 2,17007,,,False,SAC,1988
28,"Wed, Dec 30, 1987",,Box Score,@,San Antonio Spurs,L,,108,140,7,21,L 3,7294,,,False,SAC,1988
29,"Sat, Jan 2, 1988",,Box Score,,Utah Jazz,W,,107,105,8,21,W 1,10333,,,False,SAC,1988
30,"Thu, Jan 7, 1988",,Box Score,,San Antonio Spurs,L,,119,124,8,22,L 1,10333,,,False,SAC,1988
31,"Fri, Jan 8, 1988",,Box Score,@,Portland Trail Blazers,L,,91,98,8,23,L 2,12666,,,False,SAC,1988
32,"Sun, Jan 10, 1988",,Box Score,,Seattle SuperSonics,W,,109,108,9,23,W 1,10333,,,False,SAC,1988
33,"Thu, Jan 14, 1988",,Box Score,@,New Jersey Nets,L,,87,90,9,24,L 1,7940,,,False,SAC,1988
34,"Fri, Jan 15, 1988",,Box Score,@,Boston Celtics,L,,86,122,9,25,L 2,14890,1:46,,False,SAC,1988
35,"Sun, Jan 17, 1988",,Box Score,@,Washington Bullets,L,,113,130,9,26,L 3,3863,,,False,SAC,1988
36,"Tue, Jan 19, 1988",,Box Score,,Houston Rockets,W,,107,104,10,26,W 1,10333,,,False,SAC,1988
37,"Sat, Jan 23, 1988",,Box Score,,New York Knicks,W,,97,94,11,26,W 2,10333,,,False,SAC,1988
38,"Tue, Jan 26, 1988",,Box Score,,Seattle SuperSonics,L,,100,116,11,27,L 1,10333,,,False,SAC,1988
39,"Thu, Jan 28, 1988",,Box Score,,Los Angeles Lakers,L,,94,115,11,28,L 2,10333,,,False,SAC,1988
40,"Sat, Jan 30, 1988",,Box Score,@,Phoenix Suns,W,,126,120,12,28,W 1,14471,,,False,SAC,1988
41,"Mon, Feb 1, 1988",,Box Score,,Chicago Bulls,W,,97,95,13,28,W 2,10333,,,False,SAC,1988
42,"Wed, Feb 3, 1988",,Box Score,@,Utah Jazz,L,,91,123,13,29,L 1,12212,,,False,SAC,1988
43,"Thu, Feb 4, 1988",,Box Score,,Dallas Mavericks,W,,118,101,14,29,W 1,10333,,,False,SAC,1988
44,"Tue, Feb 9, 1988",,Box Score,@,Golden State Warriors,L,,99,117,14,30,L 1,11358,,,False,SAC,1988
45,"Thu, Feb 11, 1988",,Box Score,,Portland Trail Blazers,W,,123,113,15,30,W 1,10333,,,False,SAC,1988
46,"Sat, Feb 13, 1988",,Box Score,,Phoenix Suns,L,,114,116,15,31,L 1,10333,,,False,SAC,1988
47,"Mon, Feb 15, 1988",,Box Score,@,Cleveland Cavaliers,L,,95,104,15,32,L 2,13342,,,False,SAC,1988
48,"Tue, Feb 16, 1988",,Box Score,@,Atlanta Hawks,W,,118,115,16,32,W 1,9162,,,False,SAC,1988
49,"Thu, Feb 18, 1988",,Box Score,@,New York Knicks,L,,104,108,16,33,L 1,11702,,,False,SAC,1988
50,"Fri, Feb 19, 1988",,Box Score,@,Chicago Bulls,L,,90,111,16,34,L 2,17822,,,False,SAC,1988
51,"Sun, Feb 21, 1988",,Box Score,@,Indiana Pacers,L,,112,130,16,35,L 3,13201,,,False,SAC,1988
52,"Tue, Feb 23, 1988",,Box Score,,Detroit Pistons,L,,105,121,16,36,L 4,10333,,,False,SAC,1988
53,"Thu, Feb 25, 1988",,Box Score,,Washington Bullets,L,,110,129,16,37,L 5,10333,,,False,SAC,1988
54,"Fri, Feb 26, 1988",,Box Score,@,Seattle SuperSonics,L,,130,133,16,38,L 6,11632,,,False,SAC,1988
