G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,Unnamed: 2,Unnamed: 6,team,season
1,"Sat, Oct 26, 1985",,,Box Score,,Los Angeles Lakers,L,2OT,116,121,0,1,L 1,10875,2:48,,False,,,SAS,1986
2,"Tue, Oct 29, 1985",,,Box Score,,Utah Jazz,W,,124,112,1,1,W 1,5213,2:17,,False,,,SAS,1986
3,"Wed, Oct 30, 1985",,,Box Score,@,Utah Jazz,L,,100,102,1,2,L 1,9376,2:13,,False,,,SAS,1986
4,"Fri, Nov 1, 1985",,,Box Score,,Dallas Mavericks,W,,116,107,2,2,W 1,7064,2:10,,False,,,SAS,1986
5,"Sat, Nov 2, 1985",,,Box Score,@,Houston Rockets,L,,98,111,2,3,L 1,12747,2:04,,False,,,SAS,1986
6,"Tue, Nov 5, 1985",,,Box Score,@,Milwaukee Bucks,L,,97,126,2,4,L 2,10107,2:07,,False,,,SAS,1986
7,"Wed, Nov 6, 1985",,,Box Score,@,Washington Bullets,W,,81,80,3,4,W 1,4254,2:02,,False,,,SAS,1986
8,"Fri, Nov 8, 1985",,,Box Score,@,Philadelphia 76ers,W,,107,95,4,4,W 2,13212,2:03,,False,,,SAS,1986
9,"Mon, Nov 11, 1985",,,Box Score,,New Jersey Nets,W,,111,104,5,4,W 3,6196,2:26,,False,,,SAS,1986
10,"Thu, Nov 14, 1985",,,Box Score,@,Denver Nuggets,L,,109,112,5,5,L 1,7946,2:18,,False,,,SAS,1986
11,"Sat, Nov 16, 1985",,,Box Score,,Seattle SuperSonics,W,OT,97,95,6,5,W 1,8036,2:36,,False,,,SAS,1986
12,"Tue, Nov 19, 1985",,,Box Score,,Sacramento Kings,L,,99,103,6,6,L 1,5486,2:16,,False,,,SAS,1986
13,"Wed, Nov 20, 1985",,,Box Score,@,Phoenix Suns,L,,100,121,6,7,L 2,8984,2:14,,False,,,SAS,1986
14,"Fri, Nov 22, 1985",,,Box Score,,Indiana Pacers,W,,108,96,7,7,W 1,7054,2:07,,False,,,SAS,1986
15,"Sun, Nov 24, 1985",,,Box Score,@,Los Angeles Lakers,L,,102,118,7,8,L 1,15259,2:08,,False,,,SAS,1986
16,"Wed, Nov 27, 1985",,,Box Score,,Washington Bullets,W,,104,97,8,8,W 1,7742,2:13,,False,,,SAS,1986
17,"Fri, Nov 29, 1985",,,Box Score,,Los Angeles Clippers,W,,134,106,9,8,W 2,7266,2:01,,False,,,SAS,1986
18,"Sun, Dec 1, 1985",,,Box Score,@,Portland Trail Blazers,W,,117,106,10,8,W 3,12666,2:04,,False,,,SAS,1986
19,"Tue, Dec 3, 1985",,,Box Score,@,Seattle SuperSonics,L,,103,123,10,9,L 1,7754,2:10,,False,,,SAS,1986
20,"Thu, Dec 5, 1985",,,Box Score,@,Dallas Mavericks,W,,120,116,11,9,W 1,16897,2:08,,False,,,SAS,1986
21,"Fri, Dec 6, 1985",,,Box Score,,Chicago Bulls,L,,123,131,11,10,L 1,13960,2:23,,False,,,SAS,1986
22,"Sun, Dec 8, 1985",,,Box Score,,Golden State Warriors,W,,121,114,12,10,W 1,5572,2:07,,False,,,SAS,1986
23,"Tue, Dec 10, 1985",,,Box Score,@,Chicago Bulls,W,,109,107,13,10,W 2,7892,2:12,,False,,,SAS,1986
24,"Wed, Dec 11, 1985",,,Box Score,@,Indiana Pacers,L,,101,114,13,11,L 1,6605,2:10,,False,,,SAS,1986
25,"Fri, Dec 13, 1985",,,Box Score,@,Detroit Pistons,W,,119,113,14,11,W 1,11142,2:17,,False,,,SAS,1986
26,"Sat, Dec 14, 1985",,,Box Score,@,New York Knicks,L,,98,108,14,12,L 1,12279,2:09,,False,,,SAS,1986
27,"Tue, Dec 17, 1985",,,Box Score,,Portland Trail Blazers,W,,126,118,15,12,W 1,5955,2:10,,False,,,SAS,1986
28,"Fri, Dec 20, 1985",,,Box Score,@,Los Angeles Clippers,W,,119,104,16,12,W 2,5790,2:06,,False,,,SAS,1986
29,"Sat, Dec 21, 1985",,,Box Score,@,Denver Nuggets,W,,128,118,17,12,W 3,11002,2:18,,False,,,SAS,1986
30,"Thu, Dec 26, 1985",,,Box Score,,Los Angeles Lakers,W,,109,91,18,12,W 4,15786,2:05,,False,,,SAS,1986
31,"Sat, Dec 28, 1985",,,Box Score,,Denver Nuggets,W,,116,112,19,12,W 5,12812,2:09,,False,,,SAS,1986
32,"Mon, Dec 30, 1985",,,Box Score,@,Portland Trail Blazers,L,,110,125,19,13,L 1,12666,2:04,,False,,,SAS,1986
33,"Thu, Jan 2, 1986",,,Box Score,@,Sacramento Kings,L,,106,114,19,14,L 2,10333,2:18,,False,,,SAS,1986
34,"Sat, Jan 4, 1986",,,Box Score,@,Golden State Warriors,W,,122,116,20,14,W 1,9526,2:14,,False,,,SAS,1986
35,"Mon, Jan 6, 1986",,,Box Score,,Philadelphia 76ers,L,,102,108,20,15,L 1,11513,2:06,,False,,,SAS,1986
36,"Thu, Jan 9, 1986",,,Box Score,@,Houston Rockets,L,,110,120,20,16,L 2,14983,2:00,,False,,,SAS,1986
37,"Fri, Jan 10, 1986",,,Box Score,,Golden State Warriors,W,,124,97,21,16,W 1,7326,2:09,,False,,,SAS,1986
38,"Sun, Jan 12, 1986",,,Box Score,,Utah Jazz,L,,102,106,21,17,L 1,6510,2:19,,False,,,SAS,1986
39,"Mon, Jan 13, 1986",,,Box Score,@,Phoenix Suns,L,,98,121,21,18,L 2,11024,2:07,,False,,,SAS,1986
40,"Wed, Jan 15, 1986",,,Box Score,,Houston Rockets,L,,113,119,21,19,L 3,9398,2:05,,False,,,SAS,1986
41,"Fri, Jan 17, 1986",,,Box Score,,New York Knicks,W,,113,100,22,19,W 1,9631,2:29,,False,,,SAS,1986
42,"Sun, Jan 19, 1986",,,Box Score,@,Portland Trail Blazers,W,,116,105,23,19,W 2,12666,2:00,,False,,,SAS,1986
43,"Tue, Jan 21, 1986",,,Box Score,,Los Angeles Clippers,L,,96,97,23,20,L 1,5585,2:09,,False,,,SAS,1986
44,"Fri, Jan 24, 1986",,,Box Score,@,Denver Nuggets,W,,113,98,24,20,W 1,15790,2:06,,False,,,SAS,1986
45,"Sat, Jan 25, 1986",,,Box Score,,Dallas Mavericks,L,,107,123,24,21,L 1,9599,2:04,,False,,,SAS,1986
46,"Mon, Jan 27, 1986",,,Box Score,,Detroit Pistons,L,,117,118,24,22,L 2,6092,2:20,,False,,,SAS,1986
47,"Wed, Jan 29, 1986",,,Box Score,@,Dallas Mavericks,L,,114,126,24,23,L 3,16649,2:11,,False,,,SAS,1986
48,"Thu, Jan 30, 1986",,,Box Score,,Cleveland Cavaliers,W,,112,99,25,23,W 1,5093,2:04,,False,,,SAS,1986
