G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Fri, Nov 1, 1996",,Box Score,@,Minnesota Timberwolves,L,,78,82,0,1,L 1,18109,,,False,SAS,1997
2,"Sun, Nov 3, 1996",,Box Score,,Denver Nuggets,L,,79,88,0,2,L 2,20791,,,False,SAS,1997
3,"Tue, Nov 5, 1996",,Box Score,@,Cleveland Cavaliers,W,,74,68,1,2,W 1,15587,,,False,SAS,1997
4,"Wed, Nov 6, 1996",,Box Score,@,Washington Bullets,L,,86,96,1,3,L 1,17110,,,False,SAS,1997
5,"Fri, Nov 8, 1996",,Box Score,,Seattle SuperSonics,L,,75,87,1,4,L 2,15027,,,False,SAS,1997
6,"Sun, Nov 10, 1996",,Box Score,@,Portland Trail Blazers,L,,81,94,1,5,L 3,20112,,,False,SAS,1997
7,"Wed, Nov 13, 1996",,Box Score,,Los Angeles Lakers,W,,95,83,2,5,W 1,26002,,,False,SAS,1997
8,"Fri, Nov 15, 1996",,Box Score,,Indiana Pacers,L,,78,93,2,6,L 1,14395,,,False,SAS,1997
9,"Sun, Nov 17, 1996",,Box Score,,Golden State Warriors,L,,92,102,2,7,L 2,13334,,,False,SAS,1997
10,"Wed, Nov 20, 1996",,Box Score,,Los Angeles Clippers,L,,81,93,2,8,L 3,13386,,,False,SAS,1997
11,"Fri, Nov 22, 1996",,Box Score,@,Los Angeles Lakers,L,,86,96,2,9,L 4,17505,,,False,SAS,1997
12,"Sun, Nov 24, 1996",,Box Score,@,Vancouver Grizzlies,L,,91,96,2,10,L 5,15874,,,False,SAS,1997
13,"Tue, Nov 26, 1996",,Box Score,@,Dallas Mavericks,L,,101,105,2,11,L 6,14567,,,False,SAS,1997
14,"Wed, Nov 27, 1996",,Box Score,,Portland Trail Blazers,L,,109,120,2,12,L 7,13797,,,False,SAS,1997
15,"Sat, Nov 30, 1996",,Box Score,,Chicago Bulls,L,,88,97,2,13,L 8,37058,,,False,SAS,1997
16,"Wed, Dec 4, 1996",,Box Score,,Philadelphia 76ers,W,,113,103,3,13,W 1,12968,,,False,SAS,1997
17,"Fri, Dec 6, 1996",,Box Score,,Vancouver Grizzlies,L,,89,105,3,14,L 1,13646,,,False,SAS,1997
18,"Sun, Dec 8, 1996",,Box Score,@,Golden State Warriors,L,,88,114,3,15,L 2,13057,,,False,SAS,1997
19,"Tue, Dec 10, 1996",,Box Score,@,Phoenix Suns,L,,76,93,3,16,L 3,19023,,,False,SAS,1997
20,"Thu, Dec 12, 1996",,Box Score,@,Los Angeles Clippers,L,,94,97,3,17,L 4,11349,,,False,SAS,1997
21,"Sat, Dec 14, 1996",,Box Score,,Dallas Mavericks,W,,106,105,4,17,W 1,16548,,,False,SAS,1997
22,"Thu, Dec 19, 1996",,Box Score,@,Houston Rockets,W,,115,101,5,17,W 2,16285,,,False,SAS,1997
23,"Sat, Dec 21, 1996",,Box Score,,Phoenix Suns,W,,101,88,6,17,W 3,16053,,,False,SAS,1997
24,"Mon, Dec 23, 1996",,Box Score,,Miami Heat,L,,79,90,6,18,L 1,24702,,,False,SAS,1997
25,"Thu, Dec 26, 1996",,Box Score,@,Seattle SuperSonics,L,,86,94,6,19,L 2,17072,,,False,SAS,1997
26,"Sun, Dec 29, 1996",,Box Score,@,Portland Trail Blazers,L,,86,110,6,20,L 3,20049,,,False,SAS,1997
27,"Mon, Dec 30, 1996",,Box Score,@,Vancouver Grizzlies,W,,95,88,7,20,W 1,15749,,,False,SAS,1997
28,"Thu, Jan 2, 1997",,Box Score,,Utah Jazz,W,,83,80,8,20,W 2,15220,,,False,SAS,1997
29,"Fri, Jan 3, 1997",,Box Score,@,Denver Nuggets,W,,93,91,9,20,W 3,10504,,,False,SAS,1997
30,"Sun, Jan 5, 1997",,Box Score,,Los Angeles Clippers,L,,84,93,9,21,L 1,12891,,,False,SAS,1997
31,"Tue, Jan 7, 1997",,Box Score,@,New Jersey Nets,L,,74,90,9,22,L 2,13860,,,False,SAS,1997
32,"Wed, Jan 8, 1997",,Box Score,@,Boston Celtics,L,,83,107,9,23,L 3,14490,1:56,,False,SAS,1997
33,"Fri, Jan 10, 1997",,Box Score,@,Detroit Pistons,L,,78,84,9,24,L 4,19733,,,False,SAS,1997
34,"Sat, Jan 11, 1997",,Box Score,@,Atlanta Hawks,L,OT,82,87,9,25,L 5,15877,,,False,SAS,1997
35,"Wed, Jan 15, 1997",,Box Score,,New York Knicks,L,,77,94,9,26,L 6,14541,,,False,SAS,1997
36,"Fri, Jan 17, 1997",,Box Score,,Sacramento Kings,W,,96,76,10,26,W 1,13938,,,False,SAS,1997
37,"Mon, Jan 20, 1997",,Box Score,@,Minnesota Timberwolves,L,,83,96,10,27,L 1,17113,,,False,SAS,1997
38,"Wed, Jan 22, 1997",,Box Score,,New Jersey Nets,L,,95,103,10,28,L 2,12802,,,False,SAS,1997
39,"Fri, Jan 24, 1997",,Box Score,,Dallas Mavericks,W,,97,87,11,28,W 1,13695,,,False,SAS,1997
40,"Sun, Jan 26, 1997",,Box Score,@,Milwaukee Bucks,L,,76,94,11,29,L 1,13179,,,False,SAS,1997
41,"Wed, Jan 29, 1997",,Box Score,,Los Angeles Lakers,L,,92,99,11,30,L 2,25570,,,False,SAS,1997
42,"Fri, Jan 31, 1997",,Box Score,,Minnesota Timberwolves,L,,95,97,11,31,L 3,13564,,,False,SAS,1997
43,"Mon, Feb 3, 1997",,Box Score,,Sacramento Kings,L,,79,85,11,32,L 4,12764,,,False,SAS,1997
44,"Wed, Feb 5, 1997",,Box Score,@,Philadelphia 76ers,L,,97,113,11,33,L 5,13845,,,False,SAS,1997
45,"Thu, Feb 6, 1997",,Box Score,@,New York Knicks,L,,84,96,11,34,L 6,19763,,,False,SAS,1997
46,"Tue, Feb 11, 1997",,Box Score,@,Dallas Mavericks,W,,111,97,12,34,W 1,13172,,,False,SAS,1997
47,"Wed, Feb 12, 1997",,Box Score,,Vancouver Grizzlies,L,,101,106,12,35,L 1,12463,,,False,SAS,1997
48,"Fri, Feb 14, 1997",,Box Score,,Golden State Warriors,L,,94,108,12,36,L 2,14501,,,False,SAS,1997
49,"Sat, Feb 15, 1997",,Box Score,,Atlanta Hawks,L,,89,109,12,37,L 3,26809,,,False,SAS,1997
50,"Tue, Feb 18, 1997",,Box Score,@,Utah Jazz,L,,105,113,12,38,L 4,19911,,,False,SAS,1997
51,"Wed, Feb 19, 1997",,Box Score,,Toronto Raptors,L,,92,125,12,39,L 5,13179,,,False,SAS,1997
52,"Fri, Feb 21, 1997",,Box Score,,Milwaukee Bucks,W,,98,93,13,39,W 1,13829,,,False,SAS,1997
53,"Sun, Feb 23, 1997",,Box Score,@,Houston Rockets,L,,85,95,13,40,L 1,16285,,,False,SAS,1997
54,"Mon, Feb 24, 1997",,Box Score,,Charlotte Hornets,L,,84,96,13,41,L 2,13092,,,False,SAS,1997
55,"Wed, Feb 26, 1997",,Box Score,,Minnesota Timberwolves,L,,89,108,13,42,L 3,14153,,,False,SAS,1997
56,"Fri, Feb 28, 1997",,Box Score,@,Orlando Magic,L,,73,94,13,43,L 4,17248,,,False,SAS,1997
57,"Sun, Mar 2, 1997",,Box Score,@,Miami Heat,L,,72,79,13,44,L 5,15200,,,False,SAS,1997
58,"Tue, Mar 4, 1997",,Box Score,@,Charlotte Hornets,L,,98,105,13,45,L 6,24042,,,False,SAS,1997
59,"Wed, Mar 5, 1997",,Box Score,@,Chicago Bulls,L,,69,111,13,46,L 7,23841,,,False,SAS,1997
60,"Fri, Mar 7, 1997",,Box Score,@,Toronto Raptors,W,,106,103,14,46,W 1,16178,,,False,SAS,1997
61,"Sat, Mar 8, 1997",,Box Score,@,Indiana Pacers,W,,102,98,15,46,W 2,16621,,,False,SAS,1997
62,"Tue, Mar 11, 1997",,Box Score,,Houston Rockets,L,,79,103,15,47,L 1,27855,,,False,SAS,1997
63,"Fri, Mar 14, 1997",,Box Score,,Boston Celtics,W,,103,92,16,47,W 1,16618,2:02,,False,SAS,1997
