G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Wed, Oct 31, 2012",8:00p,,Box Score,@,New Orleans Hornets,W,,99,95,1,0,W 1,15358,2:11,,False,SAS,2013
2,"Thu, Nov 1, 2012",9:30p,,Box Score,,Oklahoma City Thunder,W,,86,84,2,0,W 2,18581,2:26,,False,SAS,2013
3,"Sat, Nov 3, 2012",8:30p,,Box Score,,Utah Jazz,W,,110,100,3,0,W 3,18581,2:08,,False,SAS,2013
4,"Mon, Nov 5, 2012",8:30p,,Box Score,,Indiana Pacers,W,,101,79,4,0,W 4,17158,2:02,,False,SAS,2013
5,"Wed, Nov 7, 2012",10:30p,,Box Score,@,Los Angeles Clippers,L,,84,106,4,1,L 1,19060,2:11,,False,SAS,2013
6,"Fri, Nov 9, 2012",10:00p,,Box Score,@,Sacramento Kings,W,,97,86,5,1,W 1,13505,2:09,,False,SAS,2013
7,"Sat, Nov 10, 2012",10:00p,,Box Score,@,Portland Trail Blazers,W,,112,109,6,1,W 2,20447,2:12,,False,SAS,2013
8,"Tue, Nov 13, 2012",10:30p,,Box Score,@,Los Angeles Lakers,W,,84,82,7,1,W 3,18997,2:08,,False,SAS,2013
9,"Thu, Nov 15, 2012",8:30p,,Box Score,,New York Knicks,L,,100,104,7,2,L 1,18581,2:08,,False,SAS,2013
10,"Sat, Nov 17, 2012",8:30p,,Box Score,,Denver Nuggets,W,,126,100,8,2,W 1,18581,2:05,,False,SAS,2013
11,"Mon, Nov 19, 2012",8:30p,,Box Score,,Los Angeles Clippers,L,,87,92,8,3,L 1,17920,2:22,,False,SAS,2013
12,"Wed, Nov 21, 2012",7:30p,,Box Score,@,Boston Celtics,W,,112,100,9,3,W 1,18624,2:03,,False,SAS,2013
13,"Fri, Nov 23, 2012",8:00p,,Box Score,@,Indiana Pacers,W,,104,97,10,3,W 2,17082,2:11,,False,SAS,2013
14,"Sun, Nov 25, 2012",1:00p,,Box Score,@,Toronto Raptors,W,2OT,111,106,11,3,W 3,19800,2:45,,False,SAS,2013
15,"Mon, Nov 26, 2012",7:00p,,Box Score,@,Washington Wizards,W,,118,92,12,3,W 4,13879,1:56,,False,SAS,2013
