G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Fri, Oct 29, 1982",,,Box Score,,Phoenix Suns,L,,99,113,0,1,L 1,5063,,,False,SDC,1983
2,"Sun, Oct 31, 1982",,,Box Score,,Seattle SuperSonics,L,,109,127,0,2,L 2,3507,,,False,SDC,1983
3,"Tue, Nov 2, 1982",7:42p,,Box Score,@,New Jersey Nets,L,,100,110,0,3,L 3,10220,2:05,,False,SDC,1983
4,"Wed, Nov 3, 1982",,,Box Score,@,Philadelphia 76ers,L,,111,130,0,4,L 4,13674,1:56,,False,SDC,1983
5,"Fri, Nov 5, 1982",,,Box Score,@,Milwaukee Bucks,L,,99,130,0,5,L 5,10685,,,False,SDC,1983
6,"Sat, Nov 6, 1982",,,Box Score,@,Chicago Bulls,L,,124,129,0,6,L 6,11162,,,False,SDC,1983
7,"Tue, Nov 9, 1982",,,Box Score,@,Indiana Pacers,L,,95,100,0,7,L 7,3402,,,False,SDC,1983
8,"Thu, Nov 11, 1982",,,Box Score,,San Antonio Spurs,W,,109,105,1,7,W 1,4157,,,False,SDC,1983
9,"Sat, Nov 13, 1982",,,Box Score,,Kansas City Kings,L,,111,112,1,8,L 1,6437,,,False,SDC,1983
10,"Tue, Nov 16, 1982",,,Box Score,,Denver Nuggets,L,,130,136,1,9,L 2,3039,,,False,SDC,1983
11,"Thu, Nov 18, 1982",,,Box Score,,Cleveland Cavaliers,W,,107,98,2,9,W 1,2923,,,False,SDC,1983
12,"Sat, Nov 20, 1982",,,Box Score,,Washington Bullets,L,,87,95,2,10,L 1,4745,,,False,SDC,1983
13,"Wed, Nov 24, 1982",,,Box Score,,New Jersey Nets,W,,114,109,3,10,W 1,3064,,,False,SDC,1983
14,"Fri, Nov 26, 1982",,,Box Score,,Los Angeles Lakers,L,,115,117,3,11,L 1,12077,,,False,SDC,1983
15,"Sat, Nov 27, 1982",,,Box Score,@,Denver Nuggets,L,,125,141,3,12,L 2,10813,,,False,SDC,1983
16,"Tue, Nov 30, 1982",,,Box Score,@,Portland Trail Blazers,L,,114,121,3,13,L 3,12666,,,False,SDC,1983
17,"Wed, Dec 1, 1982",,,Box Score,@,Seattle SuperSonics,L,,110,131,3,14,L 4,,,,False,SDC,1983
18,"Fri, Dec 3, 1982",,,Box Score,,Philadelphia 76ers,L,,110,127,3,15,L 5,13873,2:03,,False,SDC,1983
19,"Sat, Dec 4, 1982",,,Box Score,@,Phoenix Suns,W,,113,103,4,15,W 1,10527,,,False,SDC,1983
20,"Tue, Dec 7, 1982",,,Box Score,@,Golden State Warriors,L,,114,121,4,16,L 1,6587,,,False,SDC,1983
21,"Fri, Dec 10, 1982",,,Box Score,@,Kansas City Kings,L,,106,118,4,17,L 2,5435,,,False,SDC,1983
22,"Sat, Dec 11, 1982",,,Box Score,@,Dallas Mavericks,L,,118,124,4,18,L 3,9139,,,False,SDC,1983
23,"Wed, Dec 15, 1982",,,Box Score,@,Utah Jazz,L,,113,119,4,19,L 4,7448,,,False,SDC,1983
24,"Thu, Dec 16, 1982",,,Box Score,,Portland Trail Blazers,L,,103,111,4,20,L 5,3006,,,False,SDC,1983
25,"Sat, Dec 18, 1982",,,Box Score,,Seattle SuperSonics,L,,107,121,4,21,L 6,3594,,,False,SDC,1983
26,"Tue, Dec 21, 1982",,,Box Score,,Dallas Mavericks,L,,118,121,4,22,L 7,2436,,,False,SDC,1983
27,"Thu, Dec 23, 1982",,,Box Score,,Los Angeles Lakers,L,,115,120,4,23,L 8,8160,,,False,SDC,1983
28,"Sun, Dec 26, 1982",,,Box Score,,Portland Trail Blazers,W,,112,105,5,23,W 1,3170,,,False,SDC,1983
29,"Tue, Dec 28, 1982",,,Box Score,@,Atlanta Hawks,L,,113,123,5,24,L 1,7532,,,False,SDC,1983
30,"Wed, Dec 29, 1982",,,Box Score,@,San Antonio Spurs,L,,115,124,5,25,L 2,10247,,,False,SDC,1983
31,"Thu, Dec 30, 1982",,,Box Score,@,Houston Rockets,W,,108,93,6,25,W 1,7736,,,False,SDC,1983
32,"Sat, Jan 1, 1983",,,Box Score,,Detroit Pistons,L,,105,117,6,26,L 1,3068,,,False,SDC,1983
33,"Wed, Jan 5, 1983",,,Box Score,@,Utah Jazz,W,OT,122,115,7,26,W 1,7769,,,False,SDC,1983
34,"Thu, Jan 6, 1983",,,Box Score,,Houston Rockets,L,,107,109,7,27,L 1,2700,,,False,SDC,1983
35,"Sat, Jan 8, 1983",,,Box Score,,Denver Nuggets,W,,122,120,8,27,W 1,3715,,,False,SDC,1983
36,"Tue, Jan 11, 1983",,,Box Score,@,Houston Rockets,W,,105,97,9,27,W 2,6079,,,False,SDC,1983
37,"Wed, Jan 12, 1983",,,Box Score,@,Dallas Mavericks,L,,110,112,9,28,L 1,8019,,,False,SDC,1983
38,"Fri, Jan 14, 1983",,,Box Score,,Kansas City Kings,W,,127,120,10,28,W 1,3012,,,False,SDC,1983
39,"Sat, Jan 15, 1983",,,Box Score,@,Phoenix Suns,L,,101,114,10,29,L 1,12697,,,False,SDC,1983
40,"Sun, Jan 16, 1983",,,Box Score,,Utah Jazz,L,,111,115,10,30,L 2,2728,,,False,SDC,1983
41,"Wed, Jan 19, 1983",,,Box Score,@,Los Angeles Lakers,L,,104,107,10,31,L 3,,,,False,SDC,1983
42,"Thu, Jan 20, 1983",,,Box Score,,Indiana Pacers,W,,100,95,11,31,W 1,3177,,,False,SDC,1983
43,"Sat, Jan 22, 1983",,,Box Score,,Golden State Warriors,W,,99,89,12,31,W 2,4229,,,False,SDC,1983
44,"Tue, Jan 25, 1983",,,Box Score,,Milwaukee Bucks,L,,102,115,12,32,L 1,5063,,,False,SDC,1983
45,"Thu, Jan 27, 1983",,,Box Score,,Atlanta Hawks,W,,110,100,13,32,W 1,4122,,,False,SDC,1983
46,"Sat, Jan 29, 1983",,,Box Score,@,New York Knicks,W,,106,97,14,32,W 2,11024,,,False,SDC,1983
47,"Wed, Feb 2, 1983",,,Box Score,@,Boston Celtics,L,,110,120,14,33,L 1,15320,2:05,,False,SDC,1983
48,"Thu, Feb 3, 1983",,,Box Score,@,Detroit Pistons,W,,115,108,15,33,W 1,5291,,,False,SDC,1983
49,"Fri, Feb 4, 1983",,,Box Score,@,Washington Bullets,L,,93,100,15,34,L 1,5807,,,False,SDC,1983
50,"Sun, Feb 6, 1983",,,Box Score,@,Cleveland Cavaliers,L,,107,110,15,35,L 2,3042,,,False,SDC,1983
51,"Tue, Feb 8, 1983",,,Box Score,,Denver Nuggets,W,,125,98,16,35,W 1,3341,,,False,SDC,1983
52,"Thu, Feb 10, 1983",,,Box Score,,Phoenix Suns,W,,101,100,17,35,W 2,4813,,,False,SDC,1983
53,"Tue, Feb 15, 1983",,,Box Score,@,Portland Trail Blazers,L,,106,115,17,36,L 1,12666,,,False,SDC,1983
54,"Thu, Feb 17, 1983",,,Box Score,@,Golden State Warriors,W,,112,102,18,36,W 1,8061,,,False,SDC,1983
55,"Sun, Feb 20, 1983",,,Box Score,,Utah Jazz,W,,107,97,19,36,W 2,4377,,,False,SDC,1983
56,"Tue, Feb 22, 1983",,,Box Score,@,Seattle SuperSonics,L,,101,117,19,37,L 1,19732,,,False,SDC,1983
57,"Thu, Feb 24, 1983",,,Box Score,,Boston Celtics,W,,122,107,20,37,W 1,13838,2:08,,False,SDC,1983
58,"Sat, Feb 26, 1983",,,Box Score,@,Houston Rockets,L,,108,120,20,38,L 1,10316,,,False,SDC,1983
59,"Tue, Mar 1, 1983",,,Box Score,@,Utah Jazz,L,,105,127,20,39,L 2,8003,,,False,SDC,1983
60,"Wed, Mar 2, 1983",,,Box Score,,Portland Trail Blazers,L,,102,104,20,40,L 3,4037,,,False,SDC,1983
61,"Fri, Mar 4, 1983",,,Box Score,,San Antonio Spurs,L,,99,107,20,41,L 4,4585,,,False,SDC,1983
62,"Sun, Mar 6, 1983",,,Box Score,@,Kansas City Kings,L,,105,144,20,42,L 5,5566,,,False,SDC,1983
63,"Wed, Mar 9, 1983",,,Box Score,@,Los Angeles Lakers,L,,114,119,20,43,L 6,17505,,,False,SDC,1983
64,"Fri, Mar 11, 1983",,,Box Score,,Chicago Bulls,W,2OT,130,123,21,43,W 1,3722,,,False,SDC,1983
65,"Sun, Mar 13, 1983",,,Box Score,@,Dallas Mavericks,L,,102,111,21,44,L 1,10976,,,False,SDC,1983
66,"Tue, Mar 15, 1983",,,Box Score,@,San Antonio Spurs,L,,109,130,21,45,L 2,8278,,,False,SDC,1983
67,"Thu, Mar 17, 1983",,,Box Score,,San Antonio Spurs,L,,101,111,21,46,L 3,4076,,,False,SDC,1983
68,"Sat, Mar 19, 1983",,,Box Score,,Los Angeles Lakers,W,,107,99,22,46,W 1,13075,,,False,SDC,1983
69,"Tue, Mar 22, 1983",,,Box Score,,Houston Rockets,W,,128,98,23,46,W 2,2856,,,False,SDC,1983
70,"Thu, Mar 24, 1983",,,Box Score,,Dallas Mavericks,L,,113,118,23,47,L 1,3103,,,False,SDC,1983
71,"Sat, Mar 26, 1983",,,Box Score,,Golden State Warriors,W,OT,121,117,24,47,W 1,4039,,,False,SDC,1983
72,"Tue, Mar 29, 1983",,,Box Score,@,Los Angeles Lakers,L,,109,127,24,48,L 1,16581,,,False,SDC,1983
73,"Wed, Mar 30, 1983",,,Box Score,,New York Knicks,W,,103,97,25,48,W 1,4570,,,False,SDC,1983
74,"Fri, Apr 1, 1983",,,Box Score,,Kansas City Kings,L,,119,135,25,49,L 1,3267,,,False,SDC,1983
75,"Sat, Apr 2, 1983",,,Box Score,@,Denver Nuggets,L,,99,107,25,50,L 2,12011,,,False,SDC,1983
76,"Tue, Apr 5, 1983",,,Box Score,,Seattle SuperSonics,L,2OT,109,115,25,51,L 3,4228,,,False,SDC,1983
77,"Thu, Apr 7, 1983",,,Box Score,@,Seattle SuperSonics,L,,96,102,25,52,L 4,9601,,,False,SDC,1983
78,"Sun, Apr 10, 1983",,,Box Score,@,Golden State Warriors,L,,93,102,25,53,L 5,3474,,,False,SDC,1983
79,"Wed, Apr 13, 1983",,,Box Score,,Golden State Warriors,L,,92,113,25,54,L 6,3842,,,False,SDC,1983
80,"Thu, Apr 14, 1983",,,Box Score,@,Portland Trail Blazers,L,,83,120,25,55,L 7,12666,,,False,SDC,1983
81,"Fri, Apr 15, 1983",,,Box Score,,Phoenix Suns,L,,101,113,25,56,L 8,3049,,,False,SDC,1983
82,"Sun, Apr 17, 1983",,,Box Score,@,Phoenix Suns,L,,101,110,25,57,L 9,12062,,,False,SDC,1983
