G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Tue, Oct 12, 1971",,Box Score,@,Buffalo Braves,W,,123,90,1,0,W 1,,,,False,SEA,1972
2,"Fri, Oct 15, 1971",,Box Score,@,Portland Trail Blazers,W,,119,88,2,0,W 2,,,,False,SEA,1972
3,"Sat, Oct 16, 1971",,Box Score,,Milwaukee Bucks,L,,91,98,2,1,L 1,,,,False,SEA,1972
4,"Tue, Oct 19, 1971",,Box Score,@,Cincinnati Royals,W,,101,100,3,1,W 1,,,,False,SEA,1972
5,"Wed, Oct 20, 1971",,Box Score,@,Philadelphia 76ers,L,,93,100,3,2,L 1,,,,False,SEA,1972
6,"Fri, Oct 22, 1971",,Box Score,,Houston Rockets,W,,110,91,4,2,W 1,,,,False,SEA,1972
7,"Sun, Oct 24, 1971",,Box Score,,Cincinnati Royals,W,,119,101,5,2,W 2,,,,False,SEA,1972
8,"Thu, Oct 28, 1971",,Box Score,,Buffalo Braves,W,,106,96,6,2,W 3,,,,False,SEA,1972
9,"Sat, Oct 30, 1971",,Box Score,,Los Angeles Lakers,W,,115,106,7,2,W 4,,,,False,SEA,1972
10,"Thu, Nov 4, 1971",,Box Score,@,Golden State Warriors,L,,96,98,7,3,L 1,,,"at Oakland, CA",False,SEA,1972
11,"Fri, Nov 5, 1971",,Box Score,,New York Knicks,W,,101,97,8,3,W 1,,,,False,SEA,1972
12,"Sun, Nov 7, 1971",,Box Score,,Golden State Warriors,L,,102,109,8,4,L 1,,,,False,SEA,1972
13,"Thu, Nov 11, 1971",,Box Score,,Cleveland Cavaliers,W,,110,91,9,4,W 1,,,,False,SEA,1972
14,"Fri, Nov 12, 1971",,Box Score,@,Los Angeles Lakers,L,,107,115,9,5,L 1,,,,False,SEA,1972
15,"Sat, Nov 13, 1971",,Box Score,,Boston Celtics,W,,116,112,10,5,W 1,12738,,,False,SEA,1972
16,"Tue, Nov 16, 1971",,Box Score,@,Chicago Bulls,L,,87,95,10,6,L 1,,,,False,SEA,1972
17,"Wed, Nov 17, 1971",,Box Score,@,Atlanta Hawks,W,,112,104,11,6,W 1,,,,False,SEA,1972
18,"Fri, Nov 19, 1971",,Box Score,,Milwaukee Bucks,L,,107,108,11,7,L 1,,,,False,SEA,1972
19,"Sat, Nov 20, 1971",,Box Score,@,Portland Trail Blazers,W,,104,100,12,7,W 1,,,,False,SEA,1972
20,"Sun, Nov 21, 1971",,Box Score,,Philadelphia 76ers,W,,127,117,13,7,W 2,,,,False,SEA,1972
21,"Thu, Nov 25, 1971",,Box Score,,Los Angeles Lakers,L,,115,139,13,8,L 1,,,,False,SEA,1972
22,"Sat, Nov 27, 1971",,Box Score,,Detroit Pistons,W,,124,102,14,8,W 1,,,,False,SEA,1972
23,"Sun, Nov 28, 1971",,Box Score,@,Los Angeles Lakers,L,,121,138,14,9,L 1,,,,False,SEA,1972
24,"Tue, Nov 30, 1971",,Box Score,@,New York Knicks,W,,110,109,15,9,W 1,,,,False,SEA,1972
