G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,Unnamed: 2,Unnamed: 6,team,season
1,"Fri, Oct 31, 1986",,,Box Score,@,Portland Trail Blazers,W,,127,110,1,0,W 1,12666,,,False,,,SEA,1987
2,"Sat, Nov 1, 1986",,,Box Score,,Sacramento Kings,W,,114,103,2,0,W 2,6296,,,False,,,SEA,1987
3,"Tue, Nov 4, 1986",,,Box Score,,Los Angeles Lakers,L,,96,110,2,1,L 1,10426,,,False,,,SEA,1987
4,"Thu, Nov 6, 1986",,,Box Score,,Dallas Mavericks,L,,124,147,2,2,L 2,8363,,,False,,,SEA,1987
5,"Sat, Nov 8, 1986",,,Box Score,,New York Knicks,W,,105,102,3,2,W 1,9280,,,False,,,SEA,1987
6,"Tue, Nov 11, 1986",,,Box Score,,Philadelphia 76ers,L,,114,121,3,3,L 1,12600,,,False,,,SEA,1987
7,"Wed, Nov 12, 1986",,,Box Score,@,Los Angeles Lakers,L,,97,122,3,4,L 2,13694,,,False,,,SEA,1987
8,"Sat, Nov 15, 1986",,,Box Score,@,Golden State Warriors,W,,127,121,4,4,W 1,7655,,,False,,,SEA,1987
9,"Tue, Nov 18, 1986",,,Box Score,,Sacramento Kings,W,,119,105,5,4,W 2,5411,,,False,,,SEA,1987
10,"Thu, Nov 20, 1986",,,Box Score,,Milwaukee Bucks,L,,105,116,5,5,L 1,8790,,,False,,,SEA,1987
11,"Sat, Nov 22, 1986",,,Box Score,,Indiana Pacers,W,,121,111,6,5,W 1,6399,,,False,,,SEA,1987
12,"Tue, Nov 25, 1986",,,Box Score,,Los Angeles Clippers,W,,113,103,7,5,W 2,4702,,,False,,,SEA,1987
13,"Wed, Nov 26, 1986",,,Box Score,@,Utah Jazz,L,,91,127,7,6,L 1,10512,,,False,,,SEA,1987
14,"Fri, Nov 28, 1986",,,Box Score,@,Phoenix Suns,W,,117,104,8,6,W 1,10462,,,False,,,SEA,1987
15,"Tue, Dec 2, 1986",,,Box Score,,Chicago Bulls,L,OT,109,115,8,7,L 1,13438,,,False,,,SEA,1987
16,"Thu, Dec 4, 1986",,,Box Score,@,San Antonio Spurs,W,,109,102,9,7,W 1,5893,,,False,,,SEA,1987
17,"Sat, Dec 6, 1986",,,Box Score,@,Houston Rockets,W,,136,80,10,7,W 2,16016,,,False,,,SEA,1987
18,"Wed, Dec 10, 1986",,,Box Score,@,Los Angeles Clippers,L,,94,101,10,8,L 1,5573,,,False,,,SEA,1987
19,"Thu, Dec 11, 1986",,,Box Score,,San Antonio Spurs,W,,113,107,11,8,W 1,5056,,,False,,,SEA,1987
20,"Sat, Dec 13, 1986",,,Box Score,,Dallas Mavericks,L,,109,126,11,9,L 1,9789,,,False,,,SEA,1987
21,"Tue, Dec 16, 1986",,,Box Score,@,Portland Trail Blazers,L,,118,126,11,10,L 2,12666,,,False,,,SEA,1987
22,"Thu, Dec 18, 1986",,,Box Score,,Houston Rockets,W,,114,100,12,10,W 1,7696,,,False,,,SEA,1987
23,"Fri, Dec 19, 1986",,,Box Score,@,Phoenix Suns,W,,108,106,13,10,W 2,10433,,,False,,,SEA,1987
24,"Sun, Dec 21, 1986",,,Box Score,,Golden State Warriors,L,,112,121,13,11,L 1,5228,,,False,,,SEA,1987
25,"Tue, Dec 23, 1986",,,Box Score,,Denver Nuggets,W,,127,116,14,11,W 1,7459,,,False,,,SEA,1987
26,"Fri, Dec 26, 1986",,,Box Score,,Los Angeles Clippers,W,,113,107,15,11,W 2,6353,,,False,,,SEA,1987
27,"Sun, Dec 28, 1986",,,Box Score,,Portland Trail Blazers,L,,118,127,15,12,L 1,9365,,,False,,,SEA,1987
28,"Tue, Dec 30, 1986",,,Box Score,,Boston Celtics,L,,102,104,15,13,L 2,14600,2:13,,False,,,SEA,1987
29,"Fri, Jan 2, 1987",,,Box Score,@,Dallas Mavericks,L,,107,117,15,14,L 3,17007,,,False,,,SEA,1987
30,"Sat, Jan 3, 1987",,,Box Score,@,Houston Rockets,L,,114,138,15,15,L 4,16016,,,False,,,SEA,1987
31,"Tue, Jan 6, 1987",,,Box Score,,Phoenix Suns,W,,138,108,16,15,W 1,5764,,,False,,,SEA,1987
32,"Thu, Jan 8, 1987",,,Box Score,@,Golden State Warriors,W,,115,108,17,15,W 2,7790,,,False,,,SEA,1987
33,"Sun, Jan 11, 1987",,,Box Score,,Utah Jazz,W,,127,111,18,15,W 3,7594,,,False,,,SEA,1987
34,"Tue, Jan 13, 1987",,,Box Score,@,Denver Nuggets,L,,109,117,18,16,L 1,8981,,,False,,,SEA,1987
35,"Wed, Jan 14, 1987",,,Box Score,,San Antonio Spurs,W,,130,104,19,16,W 1,5068,,,False,,,SEA,1987
36,"Fri, Jan 16, 1987",,,Box Score,,Denver Nuggets,W,,134,100,20,16,W 2,8544,,,False,,,SEA,1987
37,"Sat, Jan 17, 1987",,,Box Score,@,Sacramento Kings,L,,115,125,20,17,L 1,10333,,,False,,,SEA,1987
38,"Wed, Jan 21, 1987",,,Box Score,@,Philadelphia 76ers,L,OT,123,129,20,18,L 2,11891,,,False,,,SEA,1987
39,"Fri, Jan 23, 1987",7:40p,,Box Score,@,New Jersey Nets,W,,125,120,21,18,W 1,9182,,,False,,,SEA,1987
40,"Sat, Jan 24, 1987",,,Box Score,@,Atlanta Hawks,L,,87,97,21,19,L 1,13842,,,False,,,SEA,1987
41,"Mon, Jan 26, 1987",,,Box Score,@,Utah Jazz,W,,108,95,22,19,W 1,12212,,,False,,,SEA,1987
42,"Wed, Jan 28, 1987",,,Box Score,,Los Angeles Lakers,W,,125,101,23,19,W 2,14634,,,False,,,SEA,1987
43,"Fri, Jan 30, 1987",,,Box Score,@,Golden State Warriors,L,,119,127,23,20,L 1,9276,,,False,,,SEA,1987
44,"Sat, Jan 31, 1987",,,Box Score,,Phoenix Suns,W,OT,118,112,24,20,W 1,9344,,,False,,,SEA,1987
45,"Mon, Feb 2, 1987",,,Box Score,,New Jersey Nets,W,,108,100,25,20,W 2,6132,,,False,,,SEA,1987
46,"Wed, Feb 4, 1987",,,Box Score,@,Dallas Mavericks,L,,94,124,25,21,L 1,17007,,,False,,,SEA,1987
47,"Thu, Feb 5, 1987",,,Box Score,@,San Antonio Spurs,L,,111,117,25,22,L 2,7548,,,False,,,SEA,1987
48,"Tue, Feb 10, 1987",,,Box Score,,Atlanta Hawks,L,,113,125,25,23,L 3,12004,,,False,,,SEA,1987
49,"Thu, Feb 12, 1987",,,Box Score,@,Milwaukee Bucks,L,,104,106,25,24,L 4,11052,,,False,,,SEA,1987
50,"Fri, Feb 13, 1987",,,Box Score,@,Chicago Bulls,L,,98,106,25,25,L 5,16251,,,False,,,SEA,1987
51,"Mon, Feb 16, 1987",,,Box Score,@,Cleveland Cavaliers,L,,94,105,25,26,L 6,12163,,,False,,,SEA,1987
52,"Wed, Feb 18, 1987",,,Box Score,@,Indiana Pacers,L,,88,105,25,27,L 7,9077,,,False,,,SEA,1987
53,"Thu, Feb 19, 1987",,,Box Score,@,Detroit Pistons,L,,105,117,25,28,L 8,14482,,,False,,,SEA,1987
54,"Sat, Feb 21, 1987",,,Box Score,,Washington Bullets,W,,110,93,26,28,W 1,11637,,,False,,,SEA,1987
55,"Mon, Feb 23, 1987",,,Box Score,,Los Angeles Clippers,W,,124,112,27,28,W 2,5528,,,False,,,SEA,1987
56,"Tue, Feb 24, 1987",,,Box Score,@,Utah Jazz,L,,103,133,27,29,L 1,12212,,,False,,,SEA,1987
57,"Thu, Feb 26, 1987",,,Box Score,,Denver Nuggets,W,,106,100,28,29,W 1,7691,,,False,,,SEA,1987
58,"Sat, Feb 28, 1987",,,Box Score,@,Phoenix Suns,W,,112,105,29,29,W 2,13338,,,False,,,SEA,1987
59,"Mon, Mar 2, 1987",,,Box Score,,Cleveland Cavaliers,W,,123,107,30,29,W 3,6488,,,False,,,SEA,1987
60,"Wed, Mar 4, 1987",,,Box Score,@,Los Angeles Lakers,L,,124,138,30,30,L 1,17505,,,False,,,SEA,1987
61,"Thu, Mar 5, 1987",,,Box Score,,Portland Trail Blazers,W,,127,122,31,30,W 1,10205,,,False,,,SEA,1987
62,"Sat, Mar 7, 1987",,,Box Score,,Houston Rockets,W,,118,115,32,30,W 2,14474,,,False,,,SEA,1987
63,"Tue, Mar 10, 1987",,,Box Score,@,Houston Rockets,W,2OT,136,127,33,30,W 3,16279,,,False,,,SEA,1987
64,"Wed, Mar 11, 1987",,,Box Score,@,Dallas Mavericks,L,,117,130,33,31,L 1,17007,,,False,,,SEA,1987
65,"Fri, Mar 13, 1987",,,Box Score,@,Los Angeles Clippers,L,,104,108,33,32,L 2,6522,,,False,,,SEA,1987
66,"Sun, Mar 15, 1987",,,Box Score,@,Sacramento Kings,L,,106,107,33,33,L 3,10333,,,False,,,SEA,1987
67,"Mon, Mar 16, 1987",,,Box Score,,San Antonio Spurs,W,,122,111,34,33,W 1,5934,,,False,,,SEA,1987
68,"Thu, Mar 19, 1987",,,Box Score,@,Washington Bullets,L,,106,110,34,34,L 1,5987,,,False,,,SEA,1987
69,"Fri, Mar 20, 1987",,,Box Score,@,Boston Celtics,L,,108,112,34,35,L 2,14890,1:51,,False,,,SEA,1987
70,"Mon, Mar 23, 1987",,,Box Score,@,New York Knicks,W,OT,126,121,35,35,W 1,9038,,,False,,,SEA,1987
71,"Thu, Mar 26, 1987",,,Box Score,@,Denver Nuggets,L,,113,123,35,36,L 1,10183,,,False,,,SEA,1987
72,"Fri, Mar 27, 1987",,,Box Score,,Golden State Warriors,L,,105,106,35,37,L 2,9091,,,False,,,SEA,1987
73,"Sun, Mar 29, 1987",,,Box Score,,Detroit Pistons,L,,107,108,35,38,L 3,8717,,,False,,,SEA,1987
74,"Tue, Mar 31, 1987",,,Box Score,,Sacramento Kings,W,,132,129,36,38,W 1,6095,,,False,,,SEA,1987
75,"Thu, Apr 2, 1987",,,Box Score,,Los Angeles Lakers,L,,114,117,36,39,L 1,14739,,,False,,,SEA,1987
76,"Sat, Apr 4, 1987",,,Box Score,,Portland Trail Blazers,L,,123,126,36,40,L 2,12227,,,False,,,SEA,1987
77,"Tue, Apr 7, 1987",,,Box Score,,Phoenix Suns,L,OT,125,127,36,41,L 3,6585,,,False,,,SEA,1987
78,"Fri, Apr 10, 1987",,,Box Score,@,Portland Trail Blazers,L,,115,121,36,42,L 4,12666,,,False,,,SEA,1987
79,"Tue, Apr 14, 1987",,,Box Score,,Utah Jazz,W,,103,102,37,42,W 1,7178,,,False,,,SEA,1987
80,"Thu, Apr 16, 1987",,,Box Score,@,Los Angeles Clippers,W,,118,87,38,42,W 2,6517,,,False,,,SEA,1987
