G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Tue, Oct 31, 2000",10:30p,,Box Score,@,Vancouver Grizzlies,L,,88,94,0,1,L 1,15779,,,False,SEA,2001
2,"Wed, Nov 1, 2000",10:00p,,Box Score,,Denver Nuggets,W,,112,99,1,1,W 1,17072,,,False,SEA,2001
3,"Sat, Nov 4, 2000",10:00p,,Box Score,,Portland Trail Blazers,L,,90,97,1,2,L 1,17072,,,False,SEA,2001
4,"Mon, Nov 6, 2000",7:30p,,Box Score,@,Orlando Magic,L,,99,110,1,3,L 2,12460,,,False,SEA,2001
5,"Wed, Nov 8, 2000",7:30p,,Box Score,@,Miami Heat,L,,81,87,1,4,L 3,15083,,,False,SEA,2001
6,"Thu, Nov 9, 2000",7:30p,,Box Score,@,Charlotte Hornets,W,,102,94,2,4,W 1,17054,,,False,SEA,2001
7,"Sat, Nov 11, 2000",1:00p,,Box Score,@,New Jersey Nets,L,,91,126,2,5,L 1,14443,,,False,SEA,2001
8,"Sun, Nov 12, 2000",6:00p,,Box Score,@,Detroit Pistons,L,,92,101,2,6,L 2,14289,,,False,SEA,2001
9,"Tue, Nov 14, 2000",10:30p,,Box Score,,New York Knicks,W,,96,75,3,6,W 1,17072,,,False,SEA,2001
10,"Fri, Nov 17, 2000",10:00p,,Box Score,,Dallas Mavericks,L,,95,99,3,7,L 1,12285,,,False,SEA,2001
11,"Sat, Nov 18, 2000",10:30p,,Box Score,@,Los Angeles Clippers,W,,86,83,4,7,W 1,12271,,,False,SEA,2001
12,"Tue, Nov 21, 2000",8:00p,,Box Score,@,Dallas Mavericks,W,,116,110,5,7,W 2,15100,,,False,SEA,2001
13,"Wed, Nov 22, 2000",8:30p,,Box Score,@,San Antonio Spurs,L,,85,112,5,8,L 1,22828,,,False,SEA,2001
14,"Fri, Nov 24, 2000",10:00p,,Box Score,,Los Angeles Clippers,W,,98,81,6,8,W 1,13282,,,False,SEA,2001
15,"Sat, Nov 25, 2000",10:30p,,Box Score,@,Sacramento Kings,L,,101,125,6,9,L 1,17317,,,False,SEA,2001
16,"Tue, Nov 28, 2000",10:00p,,Box Score,@,Portland Trail Blazers,W,,105,93,7,9,W 1,19980,,,False,SEA,2001
17,"Thu, Nov 30, 2000",10:00p,,Box Score,,Los Angeles Lakers,W,,121,88,8,9,W 2,17072,,,False,SEA,2001
18,"Sat, Dec 2, 2000",9:00p,,Box Score,@,Denver Nuggets,L,,92,103,8,10,L 1,14234,,,False,SEA,2001
19,"Sun, Dec 3, 2000",9:00p,,Box Score,,Golden State Warriors,W,,118,102,9,10,W 1,11669,,,False,SEA,2001
20,"Wed, Dec 6, 2000",10:00p,,Box Score,,Detroit Pistons,L,,99,112,9,11,L 1,14795,,,False,SEA,2001
21,"Fri, Dec 8, 2000",10:30p,,Box Score,@,Los Angeles Lakers,W,,103,95,10,11,W 1,18997,,,False,SEA,2001
22,"Sat, Dec 9, 2000",10:00p,,Box Score,,Houston Rockets,L,,104,111,10,12,L 1,15730,,,False,SEA,2001
23,"Tue, Dec 12, 2000",10:00p,,Box Score,,Orlando Magic,W,,97,92,11,12,W 1,17072,,,False,SEA,2001
24,"Wed, Dec 13, 2000",10:00p,,Box Score,@,Vancouver Grizzlies,W,,94,93,12,12,W 2,15102,,,False,SEA,2001
25,"Fri, Dec 15, 2000",10:00p,,Box Score,,Miami Heat,W,,99,81,13,12,W 3,17072,,,False,SEA,2001
26,"Wed, Dec 20, 2000",10:00p,,Box Score,,Sacramento Kings,W,,89,85,14,12,W 4,17072,,,False,SEA,2001
27,"Fri, Dec 22, 2000",10:00p,,Box Score,,Washington Wizards,W,,107,87,15,12,W 5,12705,,,False,SEA,2001
28,"Sat, Dec 23, 2000",10:30p,,Box Score,@,Sacramento Kings,L,,92,97,15,13,L 1,17317,,,False,SEA,2001
29,"Tue, Dec 26, 2000",8:00p,,Box Score,@,Dallas Mavericks,L,,93,114,15,14,L 2,13755,,,False,SEA,2001
30,"Wed, Dec 27, 2000",8:30p,,Box Score,@,Houston Rockets,W,,107,92,16,14,W 1,13975,,,False,SEA,2001
31,"Sat, Dec 30, 2000",3:30p,,Box Score,,Charlotte Hornets,W,,104,102,17,14,W 2,15832,,,False,SEA,2001
32,"Tue, Jan 2, 2001",10:00p,,Box Score,,Indiana Pacers,L,,83,91,17,15,L 1,17072,,,False,SEA,2001
33,"Thu, Jan 4, 2001",8:00p,,Box Score,@,Minnesota Timberwolves,L,,92,105,17,16,L 2,16045,,,False,SEA,2001
34,"Fri, Jan 5, 2001",7:00p,,Box Score,@,Philadelphia 76ers,L,,89,121,17,17,L 3,20240,,,False,SEA,2001
35,"Sun, Jan 7, 2001",1:00p,,Box Score,@,Toronto Raptors,L,,92,94,17,18,L 4,19800,,,False,SEA,2001
36,"Tue, Jan 9, 2001",7:30p,,Box Score,@,Atlanta Hawks,W,,95,86,18,18,W 1,10477,,,False,SEA,2001
37,"Wed, Jan 10, 2001",7:00p,,Box Score,@,Washington Wizards,W,,104,101,19,18,W 2,11591,,,False,SEA,2001
