G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Tue, Nov 1, 1949",,Box Score,@,Rochester Royals,L,,75,108,0,1,L 1,,,,False,SHE,1950
2,"Thu, Nov 3, 1949",,Box Score,,Boston Celtics,W,,98,83,1,1,W 1,2200,,,False,SHE,1950
3,"Sun, Nov 6, 1949",,Box Score,,New York Knicks,W,,99,93,2,1,W 2,,,,False,SHE,1950
4,"Thu, Nov 10, 1949",,Box Score,,Rochester Royals,W,,97,87,3,1,W 3,,,,False,SHE,1950
5,"Sun, Nov 13, 1949",,Box Score,,Indianapolis Olympians,W,,104,101,4,1,W 4,,,,False,SHE,1950
6,"Wed, Nov 16, 1949",,Box Score,@,Waterloo Hawks,W,,76,73,5,1,W 5,,,,False,SHE,1950
7,"Thu, Nov 17, 1949",,Box Score,,Waterloo Hawks,W,,97,95,6,1,W 6,,,,False,SHE,1950
8,"Sun, Nov 20, 1949",,Box Score,,Baltimore Bullets,L,,92,97,6,2,L 1,,,,False,SHE,1950
9,"Thu, Nov 24, 1949",,Box Score,,Tri-Cities Blackhawks,W,,120,113,7,2,W 1,,,,False,SHE,1950
10,"Sat, Nov 26, 1949",,Box Score,@,Indianapolis Olympians,L,,59,85,7,3,L 1,,,,False,SHE,1950
11,"Sun, Nov 27, 1949",,Box Score,,Anderson Packers,L,,91,111,7,4,L 2,,,,False,SHE,1950
12,"Thu, Dec 1, 1949",,Box Score,,Chicago Stags,L,,78,80,7,5,L 3,,,,False,SHE,1950
13,"Sat, Dec 3, 1949",,Box Score,,St. Louis Bombers,L,,72,75,7,6,L 4,,,,False,SHE,1950
14,"Mon, Dec 5, 1949",,Box Score,@,Anderson Packers,L,,81,88,7,7,L 5,,,,False,SHE,1950
15,"Wed, Dec 7, 1949",,Box Score,@,Waterloo Hawks,L,,67,77,7,8,L 6,,,,False,SHE,1950
16,"Thu, Dec 8, 1949",,Box Score,,Syracuse Nationals,L,,72,86,7,9,L 7,,,,False,SHE,1950
17,"Sat, Dec 10, 1949",,Box Score,N,Boston Celtics,L,,78,83,7,10,L 8,1485,,"at Providence, RI",False,SHE,1950
18,"Sun, Dec 11, 1949",,Box Score,@,Syracuse Nationals,L,,72,89,7,11,L 9,,,,False,SHE,1950
19,"Thu, Dec 15, 1949",,Box Score,,Tri-Cities Blackhawks,W,,89,74,8,11,W 1,,,,False,SHE,1950
20,"Sat, Dec 17, 1949",,Box Score,,Anderson Packers,W,,110,91,9,11,W 2,,,,False,SHE,1950
21,"Thu, Dec 22, 1949",,Box Score,,Syracuse Nationals,L,,74,83,9,12,L 1,,,,False,SHE,1950
22,"Sun, Dec 25, 1949",,Box Score,@,Denver Nuggets,W,,76,72,10,12,W 1,,,,False,SHE,1950
23,"Thu, Dec 29, 1949",,Box Score,,Waterloo Hawks,W,,94,92,11,12,W 2,,,,False,SHE,1950
24,"Sun, Jan 1, 1950",,Box Score,,Indianapolis Olympians,L,,75,89,11,13,L 1,,,,False,SHE,1950
25,"Tue, Jan 3, 1950",,Box Score,@,Waterloo Hawks,W,,73,69,12,13,W 1,,,,False,SHE,1950
26,"Thu, Jan 5, 1950",,Box Score,,Minneapolis Lakers,W,,85,82,13,13,W 2,,,,False,SHE,1950
27,"Sat, Jan 7, 1950",,Box Score,@,Tri-Cities Blackhawks,L,,86,98,13,14,L 1,,,,False,SHE,1950
28,"Sun, Jan 8, 1950",,Box Score,@,Fort Wayne Pistons,L,,69,83,13,15,L 2,,,,False,SHE,1950
29,"Mon, Jan 9, 1950",,Box Score,@,Anderson Packers,L,,89,112,13,16,L 3,,,,False,SHE,1950
30,"Tue, Jan 10, 1950",,Box Score,@,Indianapolis Olympians,L,,77,107,13,17,L 4,,,,False,SHE,1950
31,"Thu, Jan 12, 1950",,Box Score,,Denver Nuggets,W,,115,92,14,17,W 1,,,,False,SHE,1950
32,"Sat, Jan 14, 1950",,Box Score,,Denver Nuggets,L,,80,94,14,18,L 1,,,,False,SHE,1950
33,"Sun, Jan 15, 1950",,Box Score,,Anderson Packers,W,,81,76,15,18,W 1,,,,False,SHE,1950
34,"Mon, Jan 16, 1950",,Box Score,N,Philadelphia Warriors,L,,72,89,15,19,L 1,,,"at Chicago, IL",False,SHE,1950
35,"Wed, Jan 18, 1950",,Box Score,,Fort Wayne Pistons,L,,72,73,15,20,L 2,,,,False,SHE,1950
36,"Sat, Jan 21, 1950",,Box Score,@,Washington Capitols,W,,88,82,16,20,W 1,,,,False,SHE,1950
37,"Sun, Jan 22, 1950",,Box Score,N,Baltimore Bullets,L,,69,76,16,21,L 1,,,"at New York, NY",False,SHE,1950
38,"Tue, Jan 24, 1950",,Box Score,N,New York Knicks,L,,68,101,16,22,L 2,,,"at Philadelphia, PA",False,SHE,1950
39,"Sun, Jan 29, 1950",,Box Score,@,Syracuse Nationals,L,,70,85,16,23,L 3,,,,False,SHE,1950
40,"Mon, Jan 30, 1950",,Box Score,@,Anderson Packers,L,,74,91,16,24,L 4,,,,False,SHE,1950
41,"Thu, Feb 2, 1950",,Box Score,,Washington Capitols,W,,68,65,17,24,W 1,,,,False,SHE,1950
42,"Sun, Feb 5, 1950",,Box Score,@,Tri-Cities Blackhawks,L,,71,86,17,25,L 1,,,,False,SHE,1950
43,"Wed, Feb 8, 1950",,Box Score,@,Syracuse Nationals,L,,81,106,17,26,L 2,,,,False,SHE,1950
44,"Thu, Feb 9, 1950",,Box Score,,Tri-Cities Blackhawks,W,,104,82,18,26,W 1,,,,False,SHE,1950
45,"Sat, Feb 11, 1950",,Box Score,@,Denver Nuggets,L,,78,108,18,27,L 1,,,,False,SHE,1950
46,"Mon, Feb 13, 1950",,Box Score,@,Denver Nuggets,L,,67,79,18,28,L 2,,,,False,SHE,1950
47,"Wed, Feb 15, 1950",,Box Score,,Philadelphia Warriors,L,,61,66,18,29,L 3,,,,False,SHE,1950
48,"Sun, Feb 19, 1950",,Box Score,@,St. Louis Bombers,L,,65,72,18,30,L 4,,,,False,SHE,1950
49,"Tue, Feb 21, 1950",,Box Score,@,Indianapolis Olympians,W,,83,78,19,30,W 1,,,,False,SHE,1950
50,"Thu, Feb 23, 1950",,Box Score,,Waterloo Hawks,L,,81,86,19,31,L 1,,,,False,SHE,1950
51,"Sat, Feb 25, 1950",,Box Score,@,Tri-Cities Blackhawks,L,,66,74,19,32,L 2,,,,False,SHE,1950
52,"Sun, Feb 26, 1950",,Box Score,,Indianapolis Olympians,L,,86,107,19,33,L 3,,,,False,SHE,1950
53,"Thu, Mar 2, 1950",,Box Score,,Syracuse Nationals,W,,95,85,20,33,W 1,,,,False,SHE,1950
54,"Sun, Mar 5, 1950",,Box Score,,Indianapolis Olympians,L,,87,92,20,34,L 1,,,,False,SHE,1950
55,"Tue, Mar 7, 1950",,Box Score,@,Minneapolis Lakers,L,,73,90,20,35,L 2,,,,False,SHE,1950
56,"Thu, Mar 9, 1950",,Box Score,,Denver Nuggets,W,,115,92,21,35,W 1,,,,False,SHE,1950
57,"Fri, Mar 10, 1950",,Box Score,,Denver Nuggets,W,,141,104,22,35,W 2,,,,False,SHE,1950
58,"Sat, Mar 11, 1950",,Box Score,@,Tri-Cities Blackhawks,L,,79,97,22,36,L 1,,,,False,SHE,1950
59,"Mon, Mar 13, 1950",,Box Score,@,Anderson Packers,L,,86,98,22,37,L 2,,,,False,SHE,1950
60,"Wed, Mar 15, 1950",,Box Score,@,Waterloo Hawks,L,,69,87,22,38,L 3,,,,False,SHE,1950
61,"Thu, Mar 16, 1950",,Box Score,,Syracuse Nationals,L,,75,88,22,39,L 4,,,,False,SHE,1950
62,"Sat, Mar 18, 1950",,Box Score,@,Chicago Stags,L,,63,66,22,40,L 5,,,,False,SHE,1950
