G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Fri, Nov 3, 1995",,Box Score,,New Jersey Nets,W,,94,79,1,0,W 1,33306,2:45,,False,TOR,1996
2,"Sat, Nov 4, 1995",,Box Score,@,Indiana Pacers,L,,89,97,1,1,L 1,16640,2:17,,False,TOR,1996
3,"Tue, Nov 7, 1995",,Box Score,@,Chicago Bulls,L,,108,117,1,2,L 2,23102,,,False,TOR,1996
4,"Wed, Nov 8, 1995",,Box Score,,Sacramento Kings,L,,90,109,1,3,L 3,16793,2:17,,False,TOR,1996
5,"Fri, Nov 10, 1995",,Box Score,,Phoenix Suns,L,,108,112,1,4,L 4,25207,,,False,TOR,1996
6,"Sat, Nov 11, 1995",,Box Score,@,Charlotte Hornets,L,OT,117,123,1,5,L 5,24042,,,False,TOR,1996
7,"Mon, Nov 13, 1995",,Box Score,,Utah Jazz,L,,100,103,1,6,L 6,18351,,,False,TOR,1996
8,"Wed, Nov 15, 1995",,Box Score,,Houston Rockets,L,,93,96,1,7,L 7,20831,,,False,TOR,1996
9,"Fri, Nov 17, 1995",,Box Score,,Minnesota Timberwolves,W,,114,96,2,7,W 1,18401,,,False,TOR,1996
10,"Sat, Nov 18, 1995",,Box Score,@,Washington Bullets,W,,103,102,3,7,W 2,18756,,,False,TOR,1996
11,"Tue, Nov 21, 1995",,Box Score,,Seattle SuperSonics,W,,102,97,4,7,W 3,21836,,,False,TOR,1996
12,"Wed, Nov 22, 1995",,Box Score,@,Milwaukee Bucks,L,,86,96,4,8,L 1,14959,,,False,TOR,1996
13,"Sat, Nov 25, 1995",,Box Score,@,Atlanta Hawks,L,,102,114,4,9,L 2,10253,,,False,TOR,1996
14,"Mon, Nov 27, 1995",,Box Score,,Golden State Warriors,W,,101,98,5,9,W 1,19563,,,False,TOR,1996
15,"Tue, Nov 28, 1995",,Box Score,@,Cleveland Cavaliers,L,,89,93,5,10,L 1,15188,,,False,TOR,1996
16,"Fri, Dec 1, 1995",,Box Score,,Philadelphia 76ers,W,,105,102,6,10,W 1,19789,,,False,TOR,1996
17,"Sun, Dec 3, 1995",,Box Score,,Miami Heat,L,,94,112,6,11,L 1,21238,,,False,TOR,1996
18,"Tue, Dec 5, 1995",,Box Score,@,Seattle SuperSonics,L,,89,119,6,12,L 2,17072,,,False,TOR,1996
19,"Thu, Dec 7, 1995",,Box Score,@,Portland Trail Blazers,L,,88,96,6,13,L 3,20039,,,False,TOR,1996
20,"Fri, Dec 8, 1995",,Box Score,@,Los Angeles Lakers,L,,103,120,6,14,L 4,12982,,,False,TOR,1996
21,"Sun, Dec 10, 1995",,Box Score,@,Vancouver Grizzlies,W,,93,81,7,14,W 1,17438,,,False,TOR,1996
22,"Tue, Dec 12, 1995",,Box Score,,Boston Celtics,L,,96,116,7,15,L 1,21875,2:13,,False,TOR,1996
23,"Thu, Dec 14, 1995",,Box Score,,Indiana Pacers,L,,100,102,7,16,L 2,19763,,,False,TOR,1996
24,"Fri, Dec 15, 1995",,Box Score,@,Boston Celtics,L,,103,122,7,17,L 3,17580,2:07,,False,TOR,1996
25,"Sun, Dec 17, 1995",,Box Score,,Orlando Magic,W,,110,93,8,17,W 1,25820,,,False,TOR,1996
