G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Tue, Oct 30, 2001",7:30p,,Box Score,@,Orlando Magic,L,,85,114,0,1,L 1,16088,,,False,TOR,2002
2,"Wed, Oct 31, 2001",8:00p,,Box Score,@,Miami Heat,L,,92,97,0,2,L 2,16500,,,False,TOR,2002
3,"Fri, Nov 2, 2001",7:00p,,Box Score,,Dallas Mavericks,W,,109,92,1,2,W 1,19800,,,False,TOR,2002
4,"Sun, Nov 4, 2001",5:30p,,Box Score,,Indiana Pacers,W,,113,100,2,2,W 2,18825,,,False,TOR,2002
5,"Wed, Nov 7, 2001",7:00p,,Box Score,,Golden State Warriors,W,,109,92,3,2,W 3,18887,,,False,TOR,2002
6,"Sat, Nov 10, 2001",9:00p,,Box Score,@,Utah Jazz,W,,117,96,4,2,W 4,18194,,,False,TOR,2002
7,"Sun, Nov 11, 2001",9:00p,,Box Score,@,Denver Nuggets,L,,85,96,4,3,L 1,13735,,,False,TOR,2002
8,"Tue, Nov 13, 2001",8:00p,,Box Score,@,Sacramento Kings,L,,86,95,4,4,L 2,17317,,,False,TOR,2002
9,"Wed, Nov 14, 2001",10:30p,,Box Score,@,Golden State Warriors,W,,89,82,5,4,W 1,18269,,,False,TOR,2002
10,"Fri, Nov 16, 2001",10:30p,,Box Score,@,Los Angeles Clippers,W,,94,85,6,4,W 2,18964,,,False,TOR,2002
11,"Sun, Nov 18, 2001",8:00p,,Box Score,@,Phoenix Suns,W,,87,81,7,4,W 3,14823,,,False,TOR,2002
12,"Tue, Nov 20, 2001",6:30p,,Box Score,,Detroit Pistons,L,,84,88,7,5,L 1,19800,,,False,TOR,2002
13,"Thu, Nov 22, 2001",8:00p,,Box Score,,Milwaukee Bucks,L,,75,78,7,6,L 2,19800,,,False,TOR,2002
14,"Fri, Nov 23, 2001",7:30p,,Box Score,@,Boston Celtics,W,,91,89,8,6,W 1,18624,2:11,,False,TOR,2002
15,"Sun, Nov 25, 2001",12:30p,,Box Score,,Philadelphia 76ers,W,,107,88,9,6,W 2,19800,,,False,TOR,2002
16,"Thu, Nov 29, 2001",6:30p,,Box Score,,Memphis Grizzlies,W,,91,88,10,6,W 3,19800,,,False,TOR,2002
17,"Sat, Dec 1, 2001",2:00p,,Box Score,@,Atlanta Hawks,W,,104,103,11,6,W 4,18628,,,False,TOR,2002
18,"Sun, Dec 2, 2001",3:00p,,Box Score,,Boston Celtics,L,,69,85,11,7,L 1,19800,2:12,,False,TOR,2002
19,"Thu, Dec 6, 2001",9:00p,,Box Score,@,Milwaukee Bucks,L,,89,95,11,8,L 2,18717,,,False,TOR,2002
20,"Fri, Dec 7, 2001",7:00p,,Box Score,,Denver Nuggets,W,OT,98,96,12,8,W 1,19800,,,False,TOR,2002
