G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Sat, Oct 29, 1949",,Box Score,,Denver Nuggets,W,,93,85,1,0,W 1,,,,False,TRI,1950
2,"Tue, Nov 1, 1949",,Box Score,N,St. Louis Bombers,L,,51,72,1,1,L 1,,,"at Chicago, IL",False,TRI,1950
3,"Thu, Nov 3, 1949",,Box Score,@,Anderson Packers,L,,87,110,1,2,L 2,,,,False,TRI,1950
4,"Sat, Nov 5, 1949",,Box Score,,New York Knicks,L,,72,76,1,3,L 3,,,,False,TRI,1950
5,"Wed, Nov 9, 1949",,Box Score,N,Anderson Packers,L,3OT,99,102,1,4,L 4,,,"at Chicago, IL",False,TRI,1950
6,"Sat, Nov 12, 1949",,Box Score,,Waterloo Hawks,W,,99,89,2,4,W 1,,,,False,TRI,1950
7,"Tue, Nov 15, 1949",,Box Score,@,Rochester Royals,L,,81,93,2,5,L 1,,,,False,TRI,1950
8,"Thu, Nov 17, 1949",,Box Score,@,Syracuse Nationals,L,,76,79,2,6,L 2,,,,False,TRI,1950
9,"Sat, Nov 19, 1949",,Box Score,,Fort Wayne Pistons,L,,85,88,2,7,L 3,,,,False,TRI,1950
10,"Sun, Nov 20, 1949",,Box Score,@,Waterloo Hawks,L,,62,75,2,8,L 4,,,,False,TRI,1950
11,"Tue, Nov 22, 1949",,Box Score,,Boston Celtics,W,,80,72,3,8,W 1,3700,,,False,TRI,1950
12,"Thu, Nov 24, 1949",,Box Score,@,Sheboygan Red Skins,L,,113,120,3,9,L 1,,,,False,TRI,1950
13,"Sun, Nov 27, 1949",,Box Score,,Indianapolis Olympians,W,,104,88,4,9,W 1,,,,False,TRI,1950
14,"Tue, Nov 29, 1949",,Box Score,@,Indianapolis Olympians,L,,76,92,4,10,L 1,,,,False,TRI,1950
15,"Wed, Nov 30, 1949",,Box Score,,St. Louis Bombers,L,,82,89,4,11,L 2,,,,False,TRI,1950
16,"Thu, Dec 1, 1949",,Box Score,@,Anderson Packers,L,,72,81,4,12,L 3,,,,False,TRI,1950
17,"Sat, Dec 3, 1949",,Box Score,,Boston Celtics,W,,87,82,5,12,W 1,4625,,,False,TRI,1950
18,"Wed, Dec 7, 1949",,Box Score,,Syracuse Nationals,L,,69,77,5,13,L 1,,,,False,TRI,1950
19,"Sun, Dec 11, 1949",,Box Score,,Denver Nuggets,W,,98,66,6,13,W 1,,,,False,TRI,1950
