G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Fri, Oct 12, 1979",,Box Score,@,Portland Trail Blazers,L,,85,101,0,1,L 1,,,,False,UTA,1980
2,"Mon, Oct 15, 1979",,Box Score,,Milwaukee Bucks,L,,107,131,0,2,L 2,7721,,,False,UTA,1980
3,"Thu, Oct 18, 1979",,Box Score,,Portland Trail Blazers,L,,92,107,0,3,L 3,,,,False,UTA,1980
4,"Sat, Oct 20, 1979",,Box Score,@,Golden State Warriors,L,,96,101,0,4,L 4,,,,False,UTA,1980
5,"Mon, Oct 22, 1979",,Box Score,,San Diego Clippers,W,,110,109,1,4,W 1,,,,False,UTA,1980
6,"Tue, Oct 23, 1979",,Box Score,@,Los Angeles Lakers,L,,87,102,1,5,L 1,,,,False,UTA,1980
7,"Thu, Oct 25, 1979",,Box Score,,Chicago Bulls,W,,113,105,2,5,W 1,,,,False,UTA,1980
8,"Sat, Oct 27, 1979",,Box Score,@,Denver Nuggets,L,,96,116,2,6,L 1,,,,False,UTA,1980
9,"Wed, Oct 31, 1979",,Box Score,@,Kansas City Kings,L,,108,125,2,7,L 2,,,,False,UTA,1980
10,"Thu, Nov 1, 1979",,Box Score,,New York Knicks,L,,118,134,2,8,L 3,,,,False,UTA,1980
11,"Sat, Nov 3, 1979",,Box Score,@,San Diego Clippers,L,,109,126,2,9,L 4,,,,False,UTA,1980
12,"Tue, Nov 6, 1979",,Box Score,,Phoenix Suns,L,,107,120,2,10,L 5,,,,False,UTA,1980
13,"Thu, Nov 8, 1979",,Box Score,,Denver Nuggets,L,,92,96,2,11,L 6,,,,False,UTA,1980
14,"Sat, Nov 10, 1979",,Box Score,,Seattle SuperSonics,L,,87,88,2,12,L 7,,,,False,UTA,1980
15,"Mon, Nov 12, 1979",,Box Score,,Indiana Pacers,L,OT,105,113,2,13,L 8,,,,False,UTA,1980
16,"Wed, Nov 14, 1979",,Box Score,@,Atlanta Hawks,L,,97,108,2,14,L 9,,,,False,UTA,1980
17,"Fri, Nov 16, 1979",,Box Score,@,Boston Celtics,L,,97,113,2,15,L 10,15320,1:54,,False,UTA,1980
18,"Sat, Nov 17, 1979",,Box Score,@,Washington Bullets,L,,103,111,2,16,L 11,,,,False,UTA,1980
19,"Tue, Nov 20, 1979",,Box Score,@,Cleveland Cavaliers,L,,107,119,2,17,L 12,,,,False,UTA,1980
20,"Wed, Nov 21, 1979",,Box Score,@,Detroit Pistons,L,,93,98,2,18,L 13,,,,False,UTA,1980
21,"Tue, Nov 27, 1979",,Box Score,,Los Angeles Lakers,L,,118,122,2,19,L 14,,,,False,UTA,1980
22,"Fri, Nov 30, 1979",,Box Score,@,Golden State Warriors,W,,112,104,3,19,W 1,,,,False,UTA,1980
23,"Sat, Dec 1, 1979",,Box Score,,Seattle SuperSonics,W,,97,95,4,19,W 2,,,,False,UTA,1980
24,"Mon, Dec 3, 1979",,Box Score,,Milwaukee Bucks,L,,89,96,4,20,L 1,,,,False,UTA,1980
25,"Wed, Dec 5, 1979",,Box Score,@,Seattle SuperSonics,L,,96,115,4,21,L 2,,,,False,UTA,1980
