G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Fri, Oct 29, 1982",,,Box Score,,San Antonio Spurs,L,,114,120,0,1,L 1,8436,,,False,UTA,1983
2,"Sat, Oct 30, 1982",,,Box Score,@,Dallas Mavericks,W,,128,123,1,1,W 1,9203,,,False,UTA,1983
3,"Tue, Nov 2, 1982",,,Box Score,,Seattle SuperSonics,L,,92,120,1,2,L 1,7378,,,False,UTA,1983
4,"Thu, Nov 4, 1982",,,Box Score,@,Phoenix Suns,L,,104,119,1,3,L 2,10095,,,False,UTA,1983
5,"Sat, Nov 6, 1982",,,Box Score,,Los Angeles Lakers,L,,101,104,1,4,L 3,11869,,,False,UTA,1983
6,"Tue, Nov 9, 1982",,,Box Score,@,San Antonio Spurs,L,,104,118,1,5,L 4,10780,,,False,UTA,1983
7,"Wed, Nov 10, 1982",,,Box Score,,Denver Nuggets,W,,125,119,2,5,W 1,8314,,,False,UTA,1983
8,"Fri, Nov 12, 1982",,,Box Score,,Atlanta Hawks,L,,98,106,2,6,L 1,8697,,,False,UTA,1983
9,"Wed, Nov 17, 1982",,,Box Score,,New Jersey Nets,W,,101,97,3,6,W 1,7627,,,False,UTA,1983
10,"Fri, Nov 19, 1982",,,Box Score,@,Chicago Bulls,L,,111,127,3,7,L 1,5789,,,False,UTA,1983
11,"Tue, Nov 23, 1982",,,Box Score,@,Cleveland Cavaliers,W,,121,99,4,7,W 1,2163,,,False,UTA,1983
12,"Wed, Nov 24, 1982",,,Box Score,@,Milwaukee Bucks,L,,106,119,4,8,L 1,9385,,,False,UTA,1983
13,"Fri, Nov 26, 1982",,,Box Score,@,Boston Celtics,L,,103,137,4,9,L 2,15320,1:56,,False,UTA,1983
14,"Sat, Nov 27, 1982",,,Box Score,@,Philadelphia 76ers,L,,113,126,4,10,L 3,13008,2:03,,False,UTA,1983
15,"Tue, Nov 30, 1982",,,Box Score,@,New York Knicks,L,,93,124,4,11,L 4,7634,,,False,UTA,1983
16,"Thu, Dec 2, 1982",,,Box Score,,Portland Trail Blazers,W,,119,112,5,11,W 1,7075,,,False,UTA,1983
17,"Sat, Dec 4, 1982",,,Box Score,,Chicago Bulls,W,,131,124,6,11,W 2,7709,,,False,UTA,1983
18,"Sun, Dec 5, 1982",,,Box Score,@,Golden State Warriors,L,,111,119,6,12,L 1,5911,,,False,UTA,1983
19,"Tue, Dec 7, 1982",,,Box Score,@,Portland Trail Blazers,L,,121,137,6,13,L 2,,,,False,UTA,1983
20,"Wed, Dec 8, 1982",,,Box Score,,Houston Rockets,W,,101,93,7,13,W 1,7016,,,False,UTA,1983
21,"Fri, Dec 10, 1982",,,Box Score,,Los Angeles Lakers,L,,122,128,7,14,L 1,9023,,,False,UTA,1983
22,"Sat, Dec 11, 1982",,,Box Score,@,Houston Rockets,W,,101,94,8,14,W 1,4892,,,False,UTA,1983
23,"Wed, Dec 15, 1982",,,Box Score,,San Diego Clippers,W,,119,113,9,14,W 2,7448,,,False,UTA,1983
24,"Fri, Dec 17, 1982",,,Box Score,@,San Antonio Spurs,L,,103,110,9,15,L 1,7031,,,False,UTA,1983
25,"Sat, Dec 18, 1982",,,Box Score,,Houston Rockets,W,,116,97,10,15,W 1,7256,,,False,UTA,1983
26,"Mon, Dec 20, 1982",,,Box Score,,Kansas City Kings,W,OT,119,117,11,15,W 2,7082,,,False,UTA,1983
27,"Wed, Dec 22, 1982",,,Box Score,@,Los Angeles Lakers,L,,100,124,11,16,L 1,12358,,,False,UTA,1983
28,"Sat, Dec 25, 1982",,,Box Score,,Phoenix Suns,L,,101,111,11,17,L 2,9416,,,False,UTA,1983
29,"Sun, Dec 26, 1982",,,Box Score,@,Kansas City Kings,L,,118,120,11,18,L 3,6059,,,False,UTA,1983
30,"Tue, Dec 28, 1982",,,Box Score,,Detroit Pistons,W,OT,105,98,12,18,W 1,7894,,,False,UTA,1983
31,"Wed, Dec 29, 1982",,,Box Score,@,Seattle SuperSonics,L,,92,109,12,19,L 1,14223,,,False,UTA,1983
32,"Thu, Dec 30, 1982",,,Box Score,,Indiana Pacers,L,,114,115,12,20,L 2,8220,,,False,UTA,1983
33,"Sat, Jan 1, 1983",,,Box Score,,Boston Celtics,L,,112,127,12,21,L 3,12491,2:05,,False,UTA,1983
34,"Tue, Jan 4, 1983",,,Box Score,@,Golden State Warriors,W,,100,88,13,21,W 1,5403,,,False,UTA,1983
35,"Wed, Jan 5, 1983",,,Box Score,,San Diego Clippers,L,OT,115,122,13,22,L 1,7769,,,False,UTA,1983
36,"Fri, Jan 7, 1983",,,Box Score,@,Kansas City Kings,L,,117,139,13,23,L 2,7818,,,False,UTA,1983
37,"Sat, Jan 8, 1983",,,Box Score,@,Houston Rockets,W,,87,82,14,23,W 1,6177,,,False,UTA,1983
38,"Tue, Jan 11, 1983",,,Box Score,,Kansas City Kings,W,,106,98,15,23,W 2,8595,,,False,UTA,1983
39,"Wed, Jan 12, 1983",,,Box Score,@,Denver Nuggets,L,,118,126,15,24,L 1,8817,,,False,UTA,1983
40,"Sat, Jan 15, 1983",,,Box Score,,Dallas Mavericks,W,,107,105,16,24,W 1,7541,,,False,UTA,1983
41,"Sun, Jan 16, 1983",,,Box Score,@,San Diego Clippers,W,,115,111,17,24,W 2,2728,,,False,UTA,1983
