G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,Unnamed: 2,Unnamed: 6,team,season
1,"Fri, Oct 25, 1985",,,Box Score,,Houston Rockets,L,,108,112,0,1,L 1,12431,2:15,,False,,,UTA,1986
2,"Tue, Oct 29, 1985",,,Box Score,@,San Antonio Spurs,L,,112,124,0,2,L 2,5213,2:17,,False,,,UTA,1986
3,"Wed, Oct 30, 1985",,,Box Score,,San Antonio Spurs,W,,102,100,1,2,W 1,9376,2:13,,False,,,UTA,1986
4,"Fri, Nov 1, 1985",,,Box Score,,Phoenix Suns,W,,121,110,2,2,W 2,11124,2:23,,False,,,UTA,1986
5,"Sat, Nov 2, 1985",,,Box Score,@,Portland Trail Blazers,L,,108,128,2,3,L 1,12666,2:14,,False,,,UTA,1986
6,"Tue, Nov 5, 1985",,,Box Score,,Golden State Warriors,W,,118,99,3,3,W 1,9794,1:59,,False,,,UTA,1986
7,"Thu, Nov 7, 1985",,,Box Score,,Los Angeles Lakers,L,,106,116,3,4,L 1,12631,2:18,,False,,,UTA,1986
8,"Sat, Nov 9, 1985",,,Box Score,,Cleveland Cavaliers,W,,121,114,4,4,W 1,10573,2:06,,False,,,UTA,1986
9,"Tue, Nov 12, 1985",,,Box Score,@,Los Angeles Lakers,L,,110,119,4,5,L 1,14496,2:13,,False,,,UTA,1986
10,"Wed, Nov 13, 1985",,,Box Score,,Dallas Mavericks,L,,100,115,4,6,L 2,9430,2:07,,False,,,UTA,1986
11,"Fri, Nov 15, 1985",,,Box Score,,Portland Trail Blazers,W,,133,118,5,6,W 1,11935,2:11,,False,,,UTA,1986
12,"Sat, Nov 16, 1985",,,Box Score,@,Sacramento Kings,W,,100,96,6,6,W 2,10333,2:08,,False,,,UTA,1986
13,"Wed, Nov 20, 1985",,,Box Score,@,Boston Celtics,L,OT,106,115,6,7,L 1,14890,2:15,,False,,,UTA,1986
14,"Fri, Nov 22, 1985",,,Box Score,@,Cleveland Cavaliers,W,,121,113,7,7,W 1,10357,2:09,,False,,,UTA,1986
15,"Sat, Nov 23, 1985",,,Box Score,@,Atlanta Hawks,W,,116,106,8,7,W 2,6115,2:05,,False,,,UTA,1986
16,"Mon, Nov 25, 1985",,,Box Score,@,Indiana Pacers,W,,102,101,9,7,W 3,6597,2:02,,False,,,UTA,1986
17,"Wed, Nov 27, 1985",,,Box Score,,Chicago Bulls,W,,114,96,10,7,W 4,11920,2:11,,False,,,UTA,1986
18,"Fri, Nov 29, 1985",,,Box Score,,Denver Nuggets,L,,114,129,10,8,L 1,12580,2:04,,False,,,UTA,1986
19,"Sat, Nov 30, 1985",,,Box Score,@,Golden State Warriors,W,,89,88,11,8,W 1,12309,2:08,,False,,,UTA,1986
20,"Mon, Dec 2, 1985",,,Box Score,,Golden State Warriors,W,,103,100,12,8,W 2,9376,2:10,,False,,,UTA,1986
21,"Wed, Dec 4, 1985",,,Box Score,,Los Angeles Lakers,L,OT,127,131,12,9,L 1,12287,2:46,,False,,,UTA,1986
22,"Fri, Dec 6, 1985",,,Box Score,@,Phoenix Suns,L,,92,111,12,10,L 2,9821,2:02,,False,,,UTA,1986
23,"Sat, Dec 7, 1985",,,Box Score,@,Los Angeles Clippers,W,,131,91,13,10,W 1,7273,1:56,,False,,,UTA,1986
24,"Tue, Dec 10, 1985",,,Box Score,@,Houston Rockets,L,,105,134,13,11,L 1,12839,2:09,,False,,,UTA,1986
25,"Wed, Dec 11, 1985",,,Box Score,,Portland Trail Blazers,W,,119,111,14,11,W 1,10037,2:08,,False,,,UTA,1986
26,"Sat, Dec 14, 1985",,,Box Score,,Houston Rockets,W,,114,100,15,11,W 2,12251,2:20,,False,,,UTA,1986
27,"Tue, Dec 17, 1985",,,Box Score,@,Washington Bullets,W,,106,98,16,11,W 3,4981,2:05,,False,,,UTA,1986
