G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Tue, Oct 31, 2000",10:30p,,Box Score,,Seattle SuperSonics,W,,94,88,1,0,W 1,15779,,,False,VAN,2001
2,"Thu, Nov 2, 2000",10:30p,,Box Score,@,Los Angeles Clippers,W,,99,91,2,0,W 2,15546,,,False,VAN,2001
3,"Sat, Nov 4, 2000",3:30p,,Box Score,,Los Angeles Lakers,L,,89,98,2,1,L 1,18183,,,False,VAN,2001
4,"Mon, Nov 6, 2000",10:00p,,Box Score,,Atlanta Hawks,W,,97,87,3,1,W 1,11639,,,False,VAN,2001
5,"Wed, Nov 8, 2000",8:00p,,Box Score,@,Dallas Mavericks,W,,101,74,4,1,W 2,11500,,,False,VAN,2001
6,"Thu, Nov 9, 2000",8:30p,,Box Score,@,Houston Rockets,L,,78,85,4,2,L 1,10906,,,False,VAN,2001
7,"Sat, Nov 11, 2000",8:30p,,Box Score,@,San Antonio Spurs,L,,78,91,4,3,L 2,18556,,,False,VAN,2001
8,"Thu, Nov 16, 2000",10:00p,,Box Score,,Los Angeles Clippers,L,,72,76,4,4,L 3,12210,,,False,VAN,2001
9,"Sat, Nov 18, 2000",10:00p,,Box Score,,Dallas Mavericks,L,,88,91,4,5,L 4,13301,,,False,VAN,2001
10,"Mon, Nov 20, 2000",10:00p,,Box Score,,Denver Nuggets,L,,92,95,4,6,L 5,11809,,,False,VAN,2001
11,"Wed, Nov 22, 2000",8:00p,,Box Score,@,Minnesota Timberwolves,L,,100,101,4,7,L 6,16783,,,False,VAN,2001
12,"Fri, Nov 24, 2000",8:00p,,Box Score,@,Detroit Pistons,L,,96,118,4,8,L 7,14709,,,False,VAN,2001
13,"Sun, Nov 26, 2000",12:30p,,Box Score,@,Boston Celtics,W,,98,87,5,8,W 1,11551,2:27,,False,VAN,2001
14,"Mon, Nov 27, 2000",7:30p,,Box Score,@,New York Knicks,L,,72,97,5,9,L 1,19763,,,False,VAN,2001
15,"Wed, Nov 29, 2000",10:00p,,Box Score,,Phoenix Suns,W,2OT,109,106,6,9,W 1,12314,,,False,VAN,2001
16,"Fri, Dec 1, 2000",10:00p,,Box Score,,Indiana Pacers,L,OT,76,86,6,10,L 1,11758,,,False,VAN,2001
17,"Sun, Dec 3, 2000",3:30p,,Box Score,,San Antonio Spurs,L,,79,97,6,11,L 2,11655,,,False,VAN,2001
18,"Tue, Dec 5, 2000",10:00p,,Box Score,,Detroit Pistons,W,,91,83,7,11,W 1,12578,,,False,VAN,2001
19,"Thu, Dec 7, 2000",9:00p,,Box Score,@,Utah Jazz,L,,87,98,7,12,L 1,17958,,,False,VAN,2001
20,"Sat, Dec 9, 2000",10:00p,,Box Score,,Philadelphia 76ers,L,,79,83,7,13,L 2,15671,,,False,VAN,2001
21,"Mon, Dec 11, 2000",10:00p,,Box Score,,Houston Rockets,L,,75,82,7,14,L 3,12145,,,False,VAN,2001
22,"Wed, Dec 13, 2000",10:00p,,Box Score,,Seattle SuperSonics,L,,93,94,7,15,L 4,15102,,,False,VAN,2001
23,"Fri, Dec 15, 2000",10:30p,,Box Score,@,Los Angeles Lakers,L,,76,98,7,16,L 5,18211,,,False,VAN,2001
24,"Sun, Dec 17, 2000",3:30p,,Box Score,,Orlando Magic,L,,91,101,7,17,L 6,13729,,,False,VAN,2001
25,"Wed, Dec 20, 2000",10:00p,,Box Score,,Washington Wizards,W,,118,104,8,17,W 1,11510,,,False,VAN,2001
26,"Fri, Dec 22, 2000",10:00p,,Box Score,,Sacramento Kings,L,,93,95,8,18,L 1,14656,,,False,VAN,2001
27,"Sat, Dec 23, 2000",10:30p,,Box Score,@,Los Angeles Clippers,L,,90,92,8,19,L 2,12001,,,False,VAN,2001
28,"Tue, Dec 26, 2000",10:30p,,Box Score,,Phoenix Suns,L,,95,97,8,20,L 3,16110,,,False,VAN,2001
29,"Fri, Dec 29, 2000",10:00p,,Box Score,@,Portland Trail Blazers,L,,81,104,8,21,L 4,20309,,,False,VAN,2001
30,"Sat, Dec 30, 2000",10:00p,,Box Score,,Golden State Warriors,L,,101,102,8,22,L 5,14485,,,False,VAN,2001
31,"Wed, Jan 3, 2001",10:00p,,Box Score,,Charlotte Hornets,W,,99,89,9,22,W 1,11873,,,False,VAN,2001
32,"Fri, Jan 5, 2001",9:00p,,Box Score,@,Phoenix Suns,L,,76,108,9,23,L 1,18359,,,False,VAN,2001
33,"Sun, Jan 7, 2001",3:30p,,Box Score,,Milwaukee Bucks,W,,120,117,10,23,W 1,11771,,,False,VAN,2001
34,"Tue, Jan 9, 2001",10:00p,,Box Score,,Denver Nuggets,L,,105,112,10,24,L 1,12417,,,False,VAN,2001
35,"Fri, Jan 12, 2001",10:00p,,Box Score,@,Seattle SuperSonics,L,,102,115,10,25,L 2,13196,,,False,VAN,2001
36,"Sat, Jan 13, 2001",10:00p,,Box Score,,Cleveland Cavaliers,W,,119,107,11,25,W 1,12540,,,False,VAN,2001
37,"Mon, Jan 15, 2001",8:00p,,Box Score,@,Los Angeles Lakers,L,OT,112,113,11,26,L 1,18318,,,False,VAN,2001
38,"Wed, Jan 17, 2001",9:00p,,Box Score,@,Denver Nuggets,L,,97,121,11,27,L 2,12117,,,False,VAN,2001
39,"Fri, Jan 19, 2001",10:00p,,Box Score,,Miami Heat,L,,86,97,11,28,L 3,14281,,,False,VAN,2001
40,"Sun, Jan 21, 2001",3:30p,,Box Score,,Minnesota Timberwolves,L,,94,96,11,29,L 4,13108,,,False,VAN,2001
41,"Tue, Jan 23, 2001",8:30p,,Box Score,@,San Antonio Spurs,L,,77,110,11,30,L 5,14764,,,False,VAN,2001
42,"Thu, Jan 25, 2001",8:00p,,Box Score,@,Dallas Mavericks,L,,83,120,11,31,L 6,12690,,,False,VAN,2001
43,"Fri, Jan 26, 2001",8:30p,,Box Score,@,Houston Rockets,L,,89,106,11,32,L 7,12316,,,False,VAN,2001
44,"Mon, Jan 29, 2001",10:00p,,Box Score,,New Jersey Nets,W,,97,86,12,32,W 1,15475,,,False,VAN,2001
45,"Wed, Jan 31, 2001",9:00p,,Box Score,@,Phoenix Suns,L,,92,101,12,33,L 1,16502,,,False,VAN,2001
46,"Fri, Feb 2, 2001",10:30p,,Box Score,@,Sacramento Kings,L,,95,105,12,34,L 2,17317,,,False,VAN,2001
47,"Sat, Feb 3, 2001",10:00p,,Box Score,,Chicago Bulls,W,,91,84,13,34,W 1,16845,,,False,VAN,2001
48,"Mon, Feb 5, 2001",10:00p,,Box Score,@,Seattle SuperSonics,L,,82,95,13,35,L 1,15082,,,False,VAN,2001
49,"Wed, Feb 7, 2001",10:30p,,Box Score,,Utah Jazz,L,,82,92,13,36,L 2,13240,,,False,VAN,2001
50,"Tue, Feb 13, 2001",10:00p,,Box Score,,Boston Celtics,W,,99,98,14,36,W 1,11735,2:19,,False,VAN,2001
51,"Thu, Feb 15, 2001",10:00p,,Box Score,,Golden State Warriors,W,,99,89,15,36,W 2,10612,,,False,VAN,2001
52,"Fri, Feb 16, 2001",10:30p,,Box Score,@,Golden State Warriors,W,,92,79,16,36,W 3,13173,,,False,VAN,2001
53,"Sun, Feb 18, 2001",3:30p,,Box Score,@,Minnesota Timberwolves,W,,110,102,17,36,W 4,18693,,,False,VAN,2001
54,"Tue, Feb 20, 2001",7:00p,,Box Score,@,Washington Wizards,W,,116,104,18,36,W 5,12240,,,False,VAN,2001
55,"Wed, Feb 21, 2001",7:00p,,Box Score,@,Philadelphia 76ers,L,,91,107,18,37,L 1,17944,,,False,VAN,2001
56,"Fri, Feb 23, 2001",8:30p,,Box Score,@,Milwaukee Bucks,L,,81,93,18,38,L 2,17682,,,False,VAN,2001
57,"Sat, Feb 24, 2001",8:30p,,Box Score,@,Chicago Bulls,L,,75,90,18,39,L 3,21496,,,False,VAN,2001
58,"Tue, Feb 27, 2001",10:00p,,Box Score,,Dallas Mavericks,L,,112,116,18,40,L 4,12977,,,False,VAN,2001
59,"Wed, Feb 28, 2001",9:00p,,Box Score,@,Utah Jazz,L,,83,101,18,41,L 5,19452,,,False,VAN,2001
60,"Sat, Mar 3, 2001",3:30p,,Box Score,,Los Angeles Lakers,L,,88,98,18,42,L 6,19193,,,False,VAN,2001
61,"Mon, Mar 5, 2001",10:00p,,Box Score,,San Antonio Spurs,L,,77,91,18,43,L 7,10798,,,False,VAN,2001
62,"Tue, Mar 6, 2001",10:00p,,Box Score,@,Portland Trail Blazers,W,,105,97,19,43,W 1,20580,,,False,VAN,2001
63,"Fri, Mar 9, 2001",10:00p,,Box Score,,Portland Trail Blazers,W,,95,85,20,43,W 2,15512,,,False,VAN,2001
64,"Sun, Mar 11, 2001",3:30p,,Box Score,,Toronto Raptors,L,,84,101,20,44,L 1,19193,,,False,VAN,2001
65,"Tue, Mar 13, 2001",7:30p,,Box Score,@,Atlanta Hawks,L,,99,109,20,45,L 2,9664,,,False,VAN,2001
