G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Fri, Feb 5, 1999",,Box Score,@,Indiana Pacers,L,,81,96,0,1,L 1,16621,,,False,WAS,1999
2,"Sat, Feb 6, 1999",,Box Score,,Toronto Raptors,W,,98,97,1,1,W 1,19335,,,False,WAS,1999
3,"Mon, Feb 8, 1999",,Box Score,@,Detroit Pistons,L,,103,106,1,2,L 1,14210,,,False,WAS,1999
4,"Wed, Feb 10, 1999",,Box Score,@,New York Knicks,L,,88,101,1,3,L 2,19763,,,False,WAS,1999
5,"Wed, Feb 17, 1999",,Box Score,@,Orlando Magic,L,,85,96,1,4,L 3,15147,,,False,WAS,1999
6,"Thu, Feb 18, 1999",,Box Score,@,Toronto Raptors,W,,95,88,2,4,W 1,14292,,"at Toronto, Canada (SkyDome)",False,WAS,1999
7,"Fri, Feb 19, 1999",,Box Score,,Chicago Bulls,W,,93,91,3,4,W 2,19220,,,False,WAS,1999
8,"Sun, Feb 21, 1999",,Box Score,,Boston Celtics,W,,86,75,4,4,W 3,20674,2:15,,False,WAS,1999
9,"Tue, Feb 23, 1999",,Box Score,,Miami Heat,L,,80,96,4,5,L 1,12879,,,False,WAS,1999
10,"Thu, Feb 25, 1999",,Box Score,,Sacramento Kings,L,,105,115,4,6,L 2,16813,,,False,WAS,1999
11,"Sat, Feb 27, 1999",,Box Score,,Portland Trail Blazers,L,,81,82,4,7,L 3,18550,,,False,WAS,1999
12,"Mon, Mar 1, 1999",,Box Score,,Philadelphia 76ers,L,,91,104,4,8,L 4,13814,,,False,WAS,1999
13,"Tue, Mar 2, 1999",,Box Score,@,Atlanta Hawks,W,,97,77,5,8,W 1,8139,,"at Atlanta, GA (Alexander Memorial Coliseum at McDonald's Center)",False,WAS,1999
14,"Wed, Mar 3, 1999",,Box Score,,Indiana Pacers,L,,95,106,5,9,L 1,12912,,,False,WAS,1999
