G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Wed, Oct 30, 2002",7:00p,,Box Score,@,Toronto Raptors,L,,68,74,0,1,L 1,20165,,,False,WAS,2003
2,"Thu, Oct 31, 2002",7:30p,,Box Score,,Boston Celtics,W,,114,69,1,1,W 1,20173,2:19,,False,WAS,2003
3,"Sat, Nov 2, 2002",7:00p,,Box Score,,New Jersey Nets,L,,79,87,1,2,L 1,20173,,,False,WAS,2003
4,"Tue, Nov 5, 2002",8:00p,,Box Score,@,Minnesota Timberwolves,L,,86,90,1,3,L 2,18009,,,False,WAS,2003
5,"Wed, Nov 6, 2002",7:00p,,Box Score,,Cleveland Cavaliers,W,,107,100,2,3,W 1,20173,,,False,WAS,2003
6,"Fri, Nov 8, 2002",8:00p,,Box Score,,Los Angeles Lakers,W,,100,99,3,3,W 2,20173,,,False,WAS,2003
7,"Sat, Nov 9, 2002",7:30p,,Box Score,@,Cleveland Cavaliers,W,,93,79,4,3,W 3,20562,,,False,WAS,2003
8,"Tue, Nov 12, 2002",7:00p,,Box Score,,Seattle SuperSonics,L,,95,101,4,4,L 1,20173,,,False,WAS,2003
9,"Thu, Nov 14, 2002",7:30p,,Box Score,,Utah Jazz,W,,105,102,5,4,W 1,20173,,,False,WAS,2003
10,"Sat, Nov 16, 2002",7:00p,,Box Score,,Miami Heat,W,,95,65,6,4,W 2,20173,,,False,WAS,2003
11,"Sun, Nov 17, 2002",7:00p,,Box Score,@,Philadelphia 76ers,L,,84,100,6,5,L 1,20437,,,False,WAS,2003
12,"Fri, Nov 22, 2002",8:30p,,Box Score,@,Houston Rockets,L,,86,93,6,6,L 2,16285,,,False,WAS,2003
13,"Sat, Nov 23, 2002",8:00p,,Box Score,@,Memphis Grizzlies,L,,74,85,6,7,L 3,19351,,,False,WAS,2003
14,"Tue, Nov 26, 2002",7:00p,,Box Score,,Indiana Pacers,L,,84,88,6,8,L 4,20173,,,False,WAS,2003
15,"Fri, Nov 29, 2002",8:00p,,Box Score,@,Indiana Pacers,L,,84,100,6,9,L 5,18345,,,False,WAS,2003
16,"Sat, Nov 30, 2002",7:00p,,Box Score,,Philadelphia 76ers,L,,94,95,6,10,L 6,20173,,,False,WAS,2003
17,"Tue, Dec 3, 2002",7:00p,,Box Score,,Milwaukee Bucks,W,,103,78,7,10,W 1,20173,,,False,WAS,2003
18,"Wed, Dec 4, 2002",7:30p,,Box Score,@,Detroit Pistons,W,,88,83,8,10,W 2,20887,,,False,WAS,2003
19,"Fri, Dec 6, 2002",7:00p,,Box Score,@,Orlando Magic,L,,78,88,8,11,L 1,17283,,,False,WAS,2003
20,"Sat, Dec 7, 2002",8:00p,,Box Score,,New York Knicks,W,,100,97,9,11,W 1,20173,,,False,WAS,2003
