G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Wed, Nov 2, 1949",,Box Score,,New York Knicks,L,,60,68,0,1,L 1,,,,False,WAT,1950
2,"Sun, Nov 6, 1949",,Box Score,,Boston Celtics,W,,80,66,1,1,W 1,3586,,,False,WAT,1950
3,"Wed, Nov 9, 1949",,Box Score,,Denver Nuggets,W,,80,65,2,1,W 2,,,,False,WAT,1950
4,"Thu, Nov 10, 1949",,Box Score,@,Fort Wayne Pistons,L,,59,89,2,2,L 1,,,,False,WAT,1950
5,"Sat, Nov 12, 1949",,Box Score,@,Tri-Cities Blackhawks,L,,89,99,2,3,L 2,,,,False,WAT,1950
6,"Sun, Nov 13, 1949",,Box Score,,Anderson Packers,L,,69,81,2,4,L 3,,,,False,WAT,1950
7,"Wed, Nov 16, 1949",,Box Score,,Sheboygan Red Skins,L,,73,76,2,5,L 4,,,,False,WAT,1950
8,"Thu, Nov 17, 1949",,Box Score,@,Sheboygan Red Skins,L,,95,97,2,6,L 5,,,,False,WAT,1950
9,"Sat, Nov 19, 1949",,Box Score,@,Indianapolis Olympians,L,,74,106,2,7,L 6,,,,False,WAT,1950
10,"Sun, Nov 20, 1949",,Box Score,,Tri-Cities Blackhawks,W,,75,62,3,7,W 1,,,,False,WAT,1950
11,"Wed, Nov 23, 1949",,Box Score,,Rochester Royals,L,,71,90,3,8,L 1,,,,False,WAT,1950
12,"Sat, Nov 26, 1949",,Box Score,@,Rochester Royals,L,,95,120,3,9,L 2,,,,False,WAT,1950
13,"Sun, Nov 27, 1949",,Box Score,@,Syracuse Nationals,L,,62,80,3,10,L 3,,,,False,WAT,1950
14,"Mon, Nov 28, 1949",,Box Score,@,Anderson Packers,L,,87,101,3,11,L 4,,,,False,WAT,1950
15,"Wed, Nov 30, 1949",,Box Score,,Fort Wayne Pistons,W,,95,71,4,11,W 1,,,,False,WAT,1950
16,"Fri, Dec 2, 1949",,Box Score,@,Denver Nuggets,L,,63,74,4,12,L 1,,,,False,WAT,1950
17,"Sun, Dec 4, 1949",,Box Score,@,Denver Nuggets,L,,76,86,4,13,L 2,,,,False,WAT,1950
18,"Wed, Dec 7, 1949",,Box Score,,Sheboygan Red Skins,W,,77,67,5,13,W 1,,,,False,WAT,1950
19,"Sat, Dec 10, 1949",,Box Score,,Anderson Packers,L,OT,83,87,5,14,L 1,,,,False,WAT,1950
20,"Wed, Dec 14, 1949",,Box Score,,Philadelphia Warriors,L,,70,73,5,15,L 2,,,,False,WAT,1950
21,"Fri, Dec 16, 1949",,Box Score,N,Baltimore Bullets,W,,77,75,6,15,W 1,,,"at Philadelphia, PA",False,WAT,1950
22,"Sat, Dec 17, 1949",,Box Score,N,Philadelphia Warriors,L,,72,81,6,16,L 1,,,"at New York, NY",False,WAT,1950
23,"Tue, Dec 20, 1949",,Box Score,,Syracuse Nationals,L,,70,95,6,17,L 2,,,,False,WAT,1950
24,"Wed, Dec 21, 1949",,Box Score,N,Chicago Stags,L,,70,78,6,18,L 3,,,"at St. Louis, MO",False,WAT,1950
25,"Thu, Dec 22, 1949",,Box Score,@,Anderson Packers,L,,84,101,6,19,L 4,,,,False,WAT,1950
26,"Sun, Dec 25, 1949",,Box Score,,Indianapolis Olympians,W,OT,97,93,7,19,W 1,,,,False,WAT,1950
27,"Wed, Dec 28, 1949",,Box Score,,Chicago Stags,L,,80,87,7,20,L 1,,,,False,WAT,1950
28,"Thu, Dec 29, 1949",,Box Score,@,Sheboygan Red Skins,L,,92,94,7,21,L 2,,,,False,WAT,1950
29,"Sat, Dec 31, 1949",,Box Score,,Minneapolis Lakers,L,,68,86,7,22,L 3,,,,False,WAT,1950
