G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,Unnamed: 2,Unnamed: 6,team,season
1,"Fri, Oct 25, 1985",,,Box Score,@,Atlanta Hawks,W,,100,91,1,0,W 1,10129,2:06,,False,,,WSB,1986
2,"Tue, Oct 29, 1985",,,Box Score,@,Cleveland Cavaliers,W,,97,90,2,0,W 2,7557,2:08,,False,,,WSB,1986
3,"Thu, Oct 31, 1985",,,Box Score,,Cleveland Cavaliers,L,,107,114,2,1,L 1,7146,2:03,,False,,,WSB,1986
4,"Sat, Nov 2, 1985",,,Box Score,,Boston Celtics,L,,73,88,2,2,L 2,17488,1:58,,False,,,WSB,1986
5,"Tue, Nov 5, 1985",7:42p,,Box Score,@,New Jersey Nets,L,,106,112,2,3,L 3,8649,2:08,,False,,,WSB,1986
6,"Wed, Nov 6, 1985",,,Box Score,,San Antonio Spurs,L,,80,81,2,4,L 4,4254,2:02,,False,,,WSB,1986
7,"Fri, Nov 8, 1985",,,Box Score,,Detroit Pistons,L,,110,117,2,5,L 5,10311,2:07,,False,,,WSB,1986
8,"Tue, Nov 12, 1985",,,Box Score,@,Detroit Pistons,L,OT,122,124,2,6,L 6,9379,2:34,,False,,,WSB,1986
9,"Fri, Nov 15, 1985",,,Box Score,@,Boston Celtics,L,,114,118,2,7,L 7,14890,2:05,,False,,,WSB,1986
10,"Sat, Nov 16, 1985",,,Box Score,,Philadelphia 76ers,W,,118,97,3,7,W 1,11984,2:09,,False,,,WSB,1986
11,"Tue, Nov 19, 1985",,,Box Score,@,New York Knicks,L,,94,98,3,8,L 1,13901,2:17,,False,,,WSB,1986
12,"Wed, Nov 20, 1985",,,Box Score,,Cleveland Cavaliers,W,,101,98,4,8,W 1,4873,1:57,,False,,,WSB,1986
13,"Fri, Nov 22, 1985",,,Box Score,,New York Knicks,W,,102,94,5,8,W 2,13439,2:14,,False,,,WSB,1986
14,"Sun, Nov 24, 1985",,,Box Score,,Chicago Bulls,W,,115,106,6,8,W 3,6720,2:10,,False,,,WSB,1986
15,"Tue, Nov 26, 1985",,,Box Score,@,Dallas Mavericks,L,,99,112,6,9,L 1,17007,1:59,,False,,,WSB,1986
16,"Wed, Nov 27, 1985",,,Box Score,@,San Antonio Spurs,L,,97,104,6,10,L 2,7742,2:13,,False,,,WSB,1986
17,"Sat, Nov 30, 1985",,,Box Score,,Detroit Pistons,W,,133,119,7,10,W 1,7836,1:55,,False,,,WSB,1986
18,"Tue, Dec 3, 1985",,,Box Score,,Portland Trail Blazers,W,,118,115,8,10,W 2,4685,2:06,,False,,,WSB,1986
19,"Wed, Dec 4, 1985",,,Box Score,@,Philadelphia 76ers,L,OT,110,115,8,11,L 1,10898,2:26,,False,,,WSB,1986
20,"Fri, Dec 6, 1985",,,Box Score,,Seattle SuperSonics,W,,115,109,9,11,W 1,11031,2:19,,False,,,WSB,1986
21,"Sun, Dec 8, 1985",,,Box Score,,Sacramento Kings,W,,111,89,10,11,W 2,4553,1:51,,False,,,WSB,1986
22,"Wed, Dec 11, 1985",,,Box Score,@,Detroit Pistons,W,,108,100,11,11,W 3,8314,2:04,,False,,,WSB,1986
23,"Thu, Dec 12, 1985",,,Box Score,,Milwaukee Bucks,W,OT,110,108,12,11,W 4,4643,2:35,,False,,,WSB,1986
24,"Tue, Dec 17, 1985",,,Box Score,,Utah Jazz,L,,98,106,12,12,L 1,4981,2:05,,False,,,WSB,1986
25,"Thu, Dec 19, 1985",,,Box Score,@,Chicago Bulls,W,,98,92,13,12,W 1,9279,2:01,,False,,,WSB,1986
26,"Sat, Dec 21, 1985",,,Box Score,,Los Angeles Lakers,L,,84,96,13,13,L 1,19123,1:51,,False,,,WSB,1986
27,"Sun, Dec 22, 1985",,,Box Score,,New York Knicks,L,,93,100,13,14,L 2,11341,2:06,,False,,,WSB,1986
28,"Fri, Dec 27, 1985",,,Box Score,,Atlanta Hawks,W,,111,109,14,14,W 1,8176,2:22,,False,,,WSB,1986
29,"Sat, Dec 28, 1985",9:40p,,Box Score,@,New Jersey Nets,W,,98,93,15,14,W 2,10381,2:08,,False,,,WSB,1986
30,"Mon, Dec 30, 1985",,,Box Score,,Indiana Pacers,L,,80,97,15,15,L 1,4303,1:59,,False,,,WSB,1986
31,"Thu, Jan 2, 1986",,,Box Score,@,New York Knicks,W,,115,109,16,15,W 1,13128,2:04,,False,,,WSB,1986
32,"Fri, Jan 3, 1986",,,Box Score,,Milwaukee Bucks,L,,100,107,16,16,L 1,8856,2:05,,False,,,WSB,1986
33,"Sun, Jan 5, 1986",,,Box Score,@,Los Angeles Lakers,L,,88,118,16,17,L 2,17505,1:46,,False,,,WSB,1986
34,"Mon, Jan 6, 1986",,,Box Score,@,Sacramento Kings,L,,87,106,16,18,L 3,10333,2:04,,False,,,WSB,1986
35,"Wed, Jan 8, 1986",,,Box Score,@,Phoenix Suns,L,,97,109,16,19,L 4,11181,2:03,,False,,,WSB,1986
36,"Thu, Jan 9, 1986",,,Box Score,@,Utah Jazz,W,,95,89,17,19,W 1,12201,2:04,,False,,,WSB,1986
37,"Sat, Jan 11, 1986",,,Box Score,@,Houston Rockets,L,,86,87,17,20,L 1,16016,2:04,,False,,,WSB,1986
38,"Mon, Jan 13, 1986",,,Box Score,,Los Angeles Clippers,W,,90,77,18,20,W 1,5109,1:58,,False,,,WSB,1986
39,"Tue, Jan 14, 1986",,,Box Score,@,Chicago Bulls,W,,117,113,19,20,W 2,7238,2:15,,False,,,WSB,1986
40,"Thu, Jan 16, 1986",,,Box Score,@,Milwaukee Bucks,L,,98,114,19,21,L 1,11052,2:05,,False,,,WSB,1986
41,"Fri, Jan 17, 1986",,,Box Score,,New Jersey Nets,W,,116,96,20,21,W 1,7201,1:57,,False,,,WSB,1986
42,"Sun, Jan 19, 1986",,,Box Score,,Chicago Bulls,W,,112,98,21,21,W 2,17781,2:01,,False,,,WSB,1986
43,"Thu, Jan 23, 1986",,,Box Score,,Phoenix Suns,W,,114,112,22,21,W 3,4973,2:14,,False,,,WSB,1986
44,"Sat, Jan 25, 1986",,,Box Score,,Atlanta Hawks,W,,111,103,23,21,W 4,7038,2:12,,False,,,WSB,1986
45,"Wed, Jan 29, 1986",,,Box Score,@,Indiana Pacers,L,,88,92,23,22,L 1,7232,2:04,,False,,,WSB,1986
46,"Fri, Jan 31, 1986",,,Box Score,,Boston Celtics,L,,88,97,23,23,L 2,19123,1:51,,False,,,WSB,1986
47,"Sat, Feb 1, 1986",,,Box Score,@,Detroit Pistons,L,,101,116,23,24,L 3,20449,1:53,,False,,,WSB,1986
48,"Wed, Feb 5, 1986",,,Box Score,@,Boston Celtics,L,,88,103,23,25,L 4,14890,1:56,,False,,,WSB,1986
49,"Thu, Feb 6, 1986",,,Box Score,,Detroit Pistons,L,OT,109,111,23,26,L 5,7159,2:31,,False,,,WSB,1986
50,"Tue, Feb 11, 1986",,,Box Score,@,Portland Trail Blazers,W,,124,116,24,26,W 1,12666,2:09,,False,,,WSB,1986
51,"Thu, Feb 13, 1986",,,Box Score,@,Golden State Warriors,L,,105,109,24,27,L 1,10125,2:05,,False,,,WSB,1986
52,"Sat, Feb 15, 1986",,,Box Score,@,Seattle SuperSonics,L,,106,112,24,28,L 2,11738,2:16,,False,,,WSB,1986
53,"Mon, Feb 17, 1986",,,Box Score,@,Los Angeles Clippers,W,,96,94,25,28,W 1,10414,2:06,,False,,,WSB,1986
54,"Tue, Feb 18, 1986",,,Box Score,@,Denver Nuggets,L,,90,101,25,29,L 1,14728,2:00,,False,,,WSB,1986
55,"Fri, Feb 21, 1986",,,Box Score,@,Philadelphia 76ers,L,,87,97,25,30,L 2,17189,2:05,,False,,,WSB,1986
56,"Sat, Feb 22, 1986",,,Box Score,@,Cleveland Cavaliers,W,,110,102,26,30,W 1,17070,2:00,,False,,,WSB,1986
57,"Mon, Feb 24, 1986",,,Box Score,,New Jersey Nets,W,,99,89,27,30,W 2,4340,2:05,,False,,,WSB,1986
58,"Tue, Feb 25, 1986",,,Box Score,@,Indiana Pacers,L,,87,100,27,31,L 1,9365,2:00,,False,,,WSB,1986
59,"Thu, Feb 27, 1986",,,Box Score,,Golden State Warriors,W,,114,102,28,31,W 1,8125,2:02,,False,,,WSB,1986
60,"Fri, Feb 28, 1986",,,Box Score,@,Milwaukee Bucks,L,,84,102,28,32,L 1,11052,1:53,,False,,,WSB,1986
61,"Sun, Mar 2, 1986",,,Box Score,,Milwaukee Bucks,W,,125,104,29,32,W 1,10089,2:02,,False,,,WSB,1986
62,"Tue, Mar 4, 1986",,,Box Score,@,New York Knicks,L,,83,119,29,33,L 1,12161,1:57,,False,,,WSB,1986
63,"Thu, Mar 6, 1986",,,Box Score,,New York Knicks,W,OT,113,111,30,33,W 1,11830,2:41,,False,,,WSB,1986
64,"Sat, Mar 8, 1986",,,Box Score,,Boston Celtics,W,OT,110,108,31,33,W 2,19123,2:20,,False,,,WSB,1986
65,"Wed, Mar 12, 1986",,,Box Score,@,Cleveland Cavaliers,W,,128,114,32,33,W 3,10707,1:59,,False,,,WSB,1986
66,"Fri, Mar 14, 1986",,,Box Score,,Denver Nuggets,L,,91,101,32,34,L 1,6579,1:50,,False,,,WSB,1986
67,"Sat, Mar 15, 1986",,,Box Score,@,Indiana Pacers,L,,100,105,32,35,L 2,11426,2:06,,False,,,WSB,1986
68,"Mon, Mar 17, 1986",,,Box Score,,New Jersey Nets,L,,102,130,32,36,L 3,4201,1:56,,False,,,WSB,1986
69,"Tue, Mar 18, 1986",,,Box Score,@,Milwaukee Bucks,L,,87,116,32,37,L 4,11052,1:51,,False,,,WSB,1986
70,"Fri, Mar 21, 1986",,,Box Score,@,Philadelphia 76ers,L,,105,112,32,38,L 5,16198,2:11,,False,,,WSB,1986
71,"Sat, Mar 22, 1986",,,Box Score,,Indiana Pacers,W,,111,110,33,38,W 1,7865,2:14,,False,,,WSB,1986
72,"Mon, Mar 24, 1986",,,Box Score,,Philadelphia 76ers,W,,100,93,34,38,W 2,11834,2:04,,False,,,WSB,1986
73,"Wed, Mar 26, 1986",,,Box Score,,Dallas Mavericks,W,,120,112,35,38,W 3,7582,1:57,,False,,,WSB,1986
74,"Fri, Mar 28, 1986",,,Box Score,@,Boston Celtics,L,,97,116,35,39,L 1,14890,1:56,,False,,,WSB,1986
75,"Sat, Mar 29, 1986",,,Box Score,,Houston Rockets,L,,109,114,35,40,L 2,13123,2:06,,False,,,WSB,1986
76,"Tue, Apr 1, 1986",,,Box Score,@,Atlanta Hawks,L,,91,107,35,41,L 3,6835,2:00,,False,,,WSB,1986
77,"Thu, Apr 3, 1986",7:42p,,Box Score,@,New Jersey Nets,W,,120,108,36,41,W 1,14378,2:09,,False,,,WSB,1986
78,"Fri, Apr 4, 1986",,,Box Score,,Atlanta Hawks,W,OT,135,129,37,41,W 2,9113,2:30,,False,,,WSB,1986
79,"Sun, Apr 6, 1986",,,Box Score,,Cleveland Cavaliers,W,,106,95,38,41,W 3,5586,1:56,,False,,,WSB,1986
80,"Tue, Apr 8, 1986",,,Box Score,,Indiana Pacers,L,,104,111,38,42,L 1,4043,2:02,,False,,,WSB,1986
81,"Fri, Apr 11, 1986",,,Box Score,@,Chicago Bulls,L,,103,105,38,43,L 2,18869,2:04,,False,,,WSB,1986
82,"Sun, Apr 13, 1986",,,Box Score,,Philadelphia 76ers,W,,98,97,39,43,W 1,16242,2:16,,False,,,WSB,1986
1,"Fri, Apr 18, 1986",,Box Score,@,,Philadelphia 76ers,,,95,94,1,0,W 1,9148,2:30,,True,,W,WSB,1986
2,"Sun, Apr 20, 1986",,Box Score,@,,Philadelphia 76ers,,,97,102,1,1,L 1,9057,2:16,,True,,L,WSB,1986
3,"Tue, Apr 22, 1986",,Box Score,,,Philadelphia 76ers,,,86,91,1,2,L 2,17137,2:10,,True,,L,WSB,1986
