G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
1,"Fri, Nov 6, 1987",,Box Score,@,Atlanta Hawks,L,,97,114,0,1,L 1,16064,,,False,WSB,1988
2,"Sat, Nov 7, 1987",,Box Score,,Boston Celtics,L,2OT,139,140,0,2,L 2,18643,2:58,,False,WSB,1988
3,"Tue, Nov 10, 1987",,Box Score,@,Milwaukee Bucks,L,,100,115,0,3,L 3,10586,,,False,WSB,1988
4,"Fri, Nov 13, 1987",,Box Score,,New York Knicks,W,,108,101,1,3,W 1,9731,,,False,WSB,1988
5,"Sun, Nov 15, 1987",,Box Score,@,New Jersey Nets,W,,113,109,2,3,W 2,8336,,,False,WSB,1988
6,"Tue, Nov 17, 1987",,Box Score,@,Chicago Bulls,L,,101,105,2,4,L 1,17081,,,False,WSB,1988
7,"Wed, Nov 18, 1987",,Box Score,,Chicago Bulls,L,,82,84,2,5,L 2,13721,,,False,WSB,1988
8,"Fri, Nov 20, 1987",,Box Score,@,Portland Trail Blazers,L,,101,120,2,6,L 3,12666,,,False,WSB,1988
9,"Sat, Nov 21, 1987",,Box Score,@,Seattle SuperSonics,L,,103,124,2,7,L 4,13437,,,False,WSB,1988
10,"Tue, Nov 24, 1987",,Box Score,@,Utah Jazz,L,,83,100,2,8,L 5,12212,,,False,WSB,1988
11,"Wed, Nov 25, 1987",,Box Score,@,Los Angeles Clippers,W,,101,96,3,8,W 1,6852,,,False,WSB,1988
12,"Sat, Nov 28, 1987",,Box Score,,Detroit Pistons,W,,124,102,4,8,W 2,13028,,,False,WSB,1988
13,"Wed, Dec 2, 1987",,Box Score,@,Indiana Pacers,L,,102,108,4,9,L 1,8220,,,False,WSB,1988
14,"Thu, Dec 3, 1987",,Box Score,,Atlanta Hawks,L,,94,102,4,10,L 2,6464,,,False,WSB,1988
15,"Sat, Dec 5, 1987",,Box Score,,Seattle SuperSonics,L,,99,115,4,11,L 3,11604,,,False,WSB,1988
16,"Tue, Dec 8, 1987",,Box Score,@,New York Knicks,L,,92,116,4,12,L 4,12931,,,False,WSB,1988
17,"Wed, Dec 9, 1987",,Box Score,,Los Angeles Lakers,W,OT,120,112,5,12,W 1,18643,,,False,WSB,1988
18,"Fri, Dec 11, 1987",,Box Score,@,Detroit Pistons,L,,108,114,5,13,L 1,17884,,,False,WSB,1988
19,"Sat, Dec 12, 1987",,Box Score,@,New Jersey Nets,W,,122,107,6,13,W 1,11746,,,False,WSB,1988
20,"Tue, Dec 15, 1987",,Box Score,,Boston Celtics,L,,102,122,6,14,L 1,15896,2:06,,False,WSB,1988
21,"Thu, Dec 17, 1987",,Box Score,,Indiana Pacers,W,OT,115,111,7,14,W 1,5433,,,False,WSB,1988
22,"Sat, Dec 19, 1987",,Box Score,,Chicago Bulls,W,,109,96,8,14,W 2,14353,,,False,WSB,1988
23,"Tue, Dec 22, 1987",,Box Score,,Cleveland Cavaliers,L,,102,106,8,15,L 1,4464,,,False,WSB,1988
24,"Sat, Dec 26, 1987",,Box Score,@,Milwaukee Bucks,L,,97,102,8,16,L 2,11052,,,False,WSB,1988
25,"Wed, Dec 30, 1987",,Box Score,,Portland Trail Blazers,L,,112,117,8,17,L 3,6338,,,False,WSB,1988
26,"Fri, Jan 1, 1988",,Box Score,,Denver Nuggets,L,,109,124,8,18,L 4,5326,,,False,WSB,1988
27,"Sat, Jan 2, 1988",,Box Score,,Houston Rockets,L,,100,111,8,19,L 5,12769,,,False,WSB,1988
28,"Tue, Jan 5, 1988",,Box Score,,New Jersey Nets,W,,101,97,9,19,W 1,6173,,,False,WSB,1988
29,"Fri, Jan 8, 1988",,Box Score,@,Boston Celtics,L,,109,125,9,20,L 1,14890,2:04,,False,WSB,1988
30,"Sat, Jan 9, 1988",,Box Score,,Los Angeles Clippers,W,,108,76,10,20,W 1,6213,,,False,WSB,1988
31,"Thu, Jan 14, 1988",,Box Score,,Milwaukee Bucks,W,,136,107,11,20,W 2,8316,,,False,WSB,1988
32,"Sun, Jan 17, 1988",,Box Score,,Sacramento Kings,W,,130,113,12,20,W 3,3863,,,False,WSB,1988
33,"Mon, Jan 18, 1988",,Box Score,@,Chicago Bulls,L,,103,117,12,21,L 1,17767,,,False,WSB,1988
34,"Wed, Jan 20, 1988",,Box Score,@,Philadelphia 76ers,W,,110,98,13,21,W 1,13885,,,False,WSB,1988
35,"Fri, Jan 22, 1988",,Box Score,,Golden State Warriors,W,,115,91,14,21,W 2,12713,,,False,WSB,1988
36,"Sun, Jan 24, 1988",,Box Score,,Philadelphia 76ers,W,,131,99,15,21,W 3,13321,,,False,WSB,1988
37,"Mon, Jan 25, 1988",,Box Score,,Philadelphia 76ers,W,OT,118,117,16,21,W 4,4007,,,False,WSB,1988
38,"Wed, Jan 27, 1988",,Box Score,@,Boston Celtics,L,,100,106,16,22,L 1,14890,2:03,,False,WSB,1988
39,"Thu, Jan 28, 1988",,Box Score,,New York Knicks,W,,104,90,17,22,W 1,8059,,,False,WSB,1988
40,"Sat, Jan 30, 1988",,Box Score,@,Cleveland Cavaliers,L,OT,126,128,17,23,L 1,18749,,,False,WSB,1988
41,"Tue, Feb 2, 1988",,Box Score,@,New York Knicks,L,,106,110,17,24,L 2,14269,,,False,WSB,1988
42,"Wed, Feb 3, 1988",,Box Score,,Cleveland Cavaliers,L,,106,107,17,25,L 3,6806,,,False,WSB,1988
43,"Tue, Feb 9, 1988",,Box Score,,New Jersey Nets,W,OT,126,117,18,25,W 1,6431,,,False,WSB,1988
44,"Wed, Feb 10, 1988",,Box Score,@,Cleveland Cavaliers,L,,102,118,18,26,L 1,9179,,,False,WSB,1988
45,"Sat, Feb 13, 1988",,Box Score,@,Atlanta Hawks,L,,103,105,18,27,L 2,16451,,,False,WSB,1988
46,"Mon, Feb 15, 1988",,Box Score,,Milwaukee Bucks,L,,110,114,18,28,L 3,9564,,,False,WSB,1988
47,"Wed, Feb 17, 1988",,Box Score,@,Dallas Mavericks,L,,108,123,18,29,L 4,17007,,,False,WSB,1988
48,"Fri, Feb 19, 1988",,Box Score,@,San Antonio Spurs,W,,106,102,19,29,W 1,8147,,,False,WSB,1988
49,"Sat, Feb 20, 1988",,Box Score,@,Houston Rockets,L,,109,115,19,30,L 1,16611,,,False,WSB,1988
50,"Mon, Feb 22, 1988",,Box Score,@,Denver Nuggets,L,,87,100,19,31,L 2,10053,,,False,WSB,1988
51,"Tue, Feb 23, 1988",,Box Score,@,Los Angeles Lakers,L,,100,111,19,32,L 3,17505,,,False,WSB,1988
52,"Thu, Feb 25, 1988",,Box Score,@,Sacramento Kings,W,,129,110,20,32,W 1,10333,,,False,WSB,1988
53,"Sat, Feb 27, 1988",,Box Score,@,Phoenix Suns,W,,116,106,21,32,W 2,14296,,,False,WSB,1988
54,"Mon, Feb 29, 1988",,Box Score,@,Golden State Warriors,W,,110,105,22,32,W 3,11361,,,False,WSB,1988
55,"Wed, Mar 2, 1988",,Box Score,,Indiana Pacers,W,,111,102,23,32,W 4,6129,,,False,WSB,1988
56,"Fri, Mar 4, 1988",,Box Score,@,Indiana Pacers,W,,95,88,24,32,W 5,10429,,,False,WSB,1988
57,"Sat, Mar 5, 1988",,Box Score,,Detroit Pistons,W,,101,97,25,32,W 6,15656,,,False,WSB,1988
58,"Wed, Mar 9, 1988",,Box Score,,Phoenix Suns,W,,115,111,26,32,W 7,8122,,,False,WSB,1988
59,"Fri, Mar 11, 1988",,Box Score,,Utah Jazz,L,,107,109,26,33,L 1,10775,,,False,WSB,1988
60,"Sun, Mar 13, 1988",,Box Score,@,Philadelphia 76ers,L,,96,104,26,34,L 2,15586,,,False,WSB,1988
61,"Mon, Mar 14, 1988",,Box Score,,San Antonio Spurs,W,,112,106,27,34,W 1,5236,,,False,WSB,1988
62,"Wed, Mar 16, 1988",,Box Score,,Chicago Bulls,W,,106,103,28,34,W 2,16515,,,False,WSB,1988
63,"Thu, Mar 17, 1988",,Box Score,@,Indiana Pacers,L,,95,99,28,35,L 1,10445,,,False,WSB,1988
64,"Sat, Mar 19, 1988",,Box Score,,Philadelphia 76ers,L,,89,94,28,36,L 2,10550,,,False,WSB,1988
65,"Sun, Mar 20, 1988",,Box Score,@,Detroit Pistons,L,,110,118,28,37,L 3,22075,,,False,WSB,1988
66,"Wed, Mar 23, 1988",,Box Score,@,Boston Celtics,L,,89,104,28,38,L 4,14890,1:48,,False,WSB,1988
67,"Thu, Mar 24, 1988",,Box Score,,Atlanta Hawks,W,,94,91,29,38,W 1,13629,,,False,WSB,1988
68,"Sat, Mar 26, 1988",,Box Score,,New Jersey Nets,W,,99,88,30,38,W 2,10724,,,False,WSB,1988
69,"Wed, Mar 30, 1988",,Box Score,,Cleveland Cavaliers,L,,96,107,30,39,L 1,8387,,,False,WSB,1988
70,"Fri, Apr 1, 1988",,Box Score,,Dallas Mavericks,W,,118,103,31,39,W 1,13783,,,False,WSB,1988
71,"Sun, Apr 3, 1988",,Box Score,@,New Jersey Nets,W,,105,103,32,39,W 2,8558,,,False,WSB,1988
72,"Tue, Apr 5, 1988",,Box Score,@,Chicago Bulls,W,,105,94,33,39,W 3,17700,,,False,WSB,1988
73,"Wed, Apr 6, 1988",,Box Score,@,Cleveland Cavaliers,L,,87,98,33,40,L 1,10165,,,False,WSB,1988
74,"Fri, Apr 8, 1988",,Box Score,,Indiana Pacers,W,,107,100,34,40,W 1,12236,,,False,WSB,1988
75,"Sun, Apr 10, 1988",,Box Score,,New York Knicks,L,,98,118,34,41,L 1,13761,,,False,WSB,1988
76,"Mon, Apr 11, 1988",,Box Score,@,Atlanta Hawks,W,,86,85,35,41,W 1,10473,,,False,WSB,1988
77,"Wed, Apr 13, 1988",,Box Score,@,Philadelphia 76ers,L,OT,97,98,35,42,L 1,,,,False,WSB,1988
78,"Fri, Apr 15, 1988",,Box Score,@,New York Knicks,W,,106,97,36,42,W 1,17631,,,False,WSB,1988
79,"Sun, Apr 17, 1988",,Box Score,,Boston Celtics,W,,98,92,37,42,W 2,18643,2:00,,False,WSB,1988
80,"Wed, Apr 20, 1988",,Box Score,@,Milwaukee Bucks,L,,94,132,37,43,L 1,11052,,,False,WSB,1988
81,"Thu, Apr 21, 1988",,Box Score,,Detroit Pistons,L,,87,99,37,44,L 2,11713,,,False,WSB,1988
82,"Sat, Apr 23, 1988",,Box Score,,Atlanta Hawks,W,,106,96,38,44,W 1,15638,,,False,WSB,1988
1,"Thu, Apr 28, 1988",,Box Score,@,Detroit Pistons,L,,87,96,0,1,L 1,17356,2:13,,True,WSB,1988
2,"Sat, Apr 30, 1988",,Box Score,@,Detroit Pistons,L,,101,102,0,2,L 2,18293,2:23,,True,WSB,1988
3,"Mon, May 2, 1988",,Box Score,,Detroit Pistons,W,OT,114,106,1,2,W 1,9673,2:35,,True,WSB,1988
4,"Wed, May 4, 1988",,Box Score,,Detroit Pistons,W,,106,103,2,2,W 2,10513,2:15,,True,WSB,1988
5,"Sun, May 8, 1988",,Box Score,@,Detroit Pistons,L,,78,99,2,3,L 1,18403,2:14,,True,WSB,1988
