G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,is_playoff,team,season
17,"Thu, Jun 5, 2025",8:30p,,Box Score,,Indiana Pacers,L,,110,111,12,5,L 1,18203,2:30,,True,OKC,2025
18,"Sun, Jun 8, 2025",8:00p,,Box Score,,Indiana Pacers,W,,123,107,13,5,W 1,18203,2:29,,True,OKC,2025
19,"Wed, Jun 11, 2025",8:30p,,Box Score,@,Indiana Pacers,L,,107,116,13,6,L 1,17274,2:36,,True,OKC,2025
20,"Fri, Jun 13, 2025",8:30p,,Box Score,@,Indiana Pacers,W,,111,104,14,6,W 1,17274,2:49,,True,OKC,2025
21,"Mon, Jun 16, 2025",8:30p,,Box Score,,Indiana Pacers,W,,120,109,15,6,W 2,18203,2:36,,True,OKC,2025
22,"Thu, Jun 19, 2025",8:30p,,Box Score,@,Indiana Pacers,L,,91,108,15,7,L 1,17274,2:30,,True,OKC,2025
23,"Sun, Jun 22, 2025",8:00p,,Box Score,,Indiana Pacers,W,,103,91,16,7,W 1,18203,2:40,,True,OKC,2025






