operation_type,team_from,team_to,asset_type,asset_name,pick_year,pick_round,pick_original_team,has_trade_exception,trade_id,date
trade,Washington Capitols,BOS,player,Sonny Hertzberg,,,,False,0,1949-09-28
trade,Washington Capitols,BOS,player,Chick Halbert,,,,False,1,1949-09-28
trade,Washington Capitols,Chicago Stags,player,Kleggie Hermsen,,,,False,2,1949-10-04
trade,Washington Capitols,Chicago Stags,player,Chuck Gilmur,,,,False,3,1949-10-04
trade,Tri-Cities Blackhawks,Fort Wayne Pistons,player,Jack Kerris,,,,False,4,1949-11-09
trade,Tri-Cities Blackhawks,Fort Wayne Pistons,player,John Mahnken,,,,False,5,1949-11-09
trade,St. Louis Bombers,Tri-Cities Blackhawks,player,Mike Todorovich,,,,False,6,1949-11-28
trade,St. Louis Bombers,Tri-Cities Blackhawks,player,Mac Otten,,,,False,7,1949-11-28
trade,Philadelphia Warriors,Baltimore Bullets,player,Ed Sadowski,,,,False,8,1949-12-07
trade,Tri-Cities Blackhawks,Chicago Stags,player,George Nostrand,,,,False,9,1949-12-20
trade,Tri-Cities Blackhawks,Chicago Stags,player,Gene Vance,,,,False,10,1949-12-20
trade,Anderson Packers,Tri-Cities Blackhawks,player,Walt Kirk,,,,False,11,1949-12-30
trade,Anderson Packers,Tri-Cities Blackhawks,player,Red Owens,,,,False,12,1949-12-30
trade,Anderson Packers,Fort Wayne Pistons,player,Ralph Johnson,,,,False,13,1950-01-18
trade,Anderson Packers,Fort Wayne Pistons,player,Howie Schultz,,,,False,14,1950-01-18
trade,Anderson Packers,Fort Wayne Pistons,player,Charlie Black,,,,False,15,1950-01-18
trade,Anderson Packers,Fort Wayne Pistons,player,Richie Niemiera,,,,False,16,1950-01-18
trade,Tri-Cities Blackhawks,BOS,player,John Mahnken,,,,False,17,1950-01-29
trade,Tri-Cities Blackhawks,BOS,player,Gene Englund,,,,False,18,1950-01-29
trade,Tri-Cities Blackhawks,Washington Capitols,player,Don Otten,,,,False,19,1950-02-10
trade,Tri-Cities Blackhawks,Washington Capitols,player,Jack Nichols,,,,False,20,1950-02-10
trade,Chicago Stags,Tri-Cities Blackhawks,player,Frankie Brian,,,,False,21,1950-05-21
trade,Chicago Stags,Tri-Cities Blackhawks,player,Bob Cousy,,,,False,22,1950-05-21
trade,NYK,Rochester Royals,player,Paul Noel,,,,False,23,1950-08-10
trade,NYK,Rochester Royals,player,Ray Ellefson,,,,False,24,1950-08-10
trade,Baltimore Bullets,BOS,player,Dick Mehen,,,,False,25,1950-12-01
trade,Baltimore Bullets,BOS,player,Kenny Sailors,,,,False,26,1950-12-01
