team,season,reached_playoffs,reached_conf_finals,champion
WSC,1950,1,0,0
INO,1950,1,0,0
FTW,1950,1,0,0
MNL,1950,1,0,0
CHS,1950,1,0,0
ROC,1950,1,0,0
SHE,1950,1,0,0
TRI,1950,1,0,0
AND,1950,1,0,1
SYR,1950,1,0,0
NYK,1950,1,0,0
PHW,1950,1,0,0
INO,1951,1,0,0
FTW,1951,1,0,0
MNL,1951,1,0,0
ROC,1951,1,0,1
BOS,1951,1,0,0
SYR,1951,1,0,0
NYK,1951,1,0,0
PHW,1951,1,0,0
INO,1952,1,0,0
FTW,1952,1,0,0
MNL,1952,1,0,1
ROC,1952,1,0,0
BOS,1952,1,0,0
SYR,1952,1,0,0
NYK,1952,1,0,0
PHW,1952,1,0,0
INO,1953,1,0,0
FTW,1953,1,0,0
MNL,1953,1,0,1
ROC,1953,1,0,0
BOS,1953,1,0,0
BLB,1953,1,0,0
SYR,1953,1,0,0
NYK,1953,1,0,0
ROC,1954,1,0,0
SYR,1954,1,0,0
BOS,1954,1,0,0
MNL,1954,1,0,1
FTW,1955,1,0,1
MNL,1955,1,0,0
ROC,1955,1,0,0
BOS,1955,1,0,0
SYR,1955,1,0,0
NYK,1955,1,0,0
STL,1956,1,0,0
FTW,1956,1,0,1
MNL,1956,1,0,0
BOS,1956,1,0,0
SYR,1956,1,0,0
NYK,1956,1,0,0
PHW,1956,1,0,0
STL,1957,1,0,1
FTW,1957,1,0,0
MNL,1957,1,0,0
BOS,1957,1,0,0
SYR,1957,1,0,0
PHW,1957,1,0,0
CIN,1958,1,0,0
STL,1958,1,0,1
DET,1958,1,0,0
BOS,1958,1,0,0
SYR,1958,1,0,0
PHW,1958,1,0,0
STL,1959,1,0,0
MNL,1959,1,0,1
DET,1959,1,0,0
BOS,1959,1,0,0
SYR,1959,1,0,0
NYK,1959,1,0,0
STL,1960,1,0,1
MNL,1960,1,0,0
DET,1960,1,0,0
BOS,1960,1,0,0
SYR,1960,1,0,0
PHW,1960,1,0,0
STL,1961,1,0,1
LAL,1961,1,0,0
DET,1961,1,0,0
BOS,1961,1,0,0
SYR,1961,1,0,0
PHW,1961,1,0,0
CIN,1962,1,0,0
LAL,1962,1,0,1
DET,1962,1,0,0
BOS,1962,1,0,0
SYR,1962,1,0,0
PHW,1962,1,0,0
CIN,1963,1,0,0
STL,1963,1,0,0
LAL,1963,1,0,1
DET,1963,1,0,0
BOS,1963,1,0,0
SYR,1963,1,0,0
CIN,1964,1,0,0
STL,1964,1,0,0
LAL,1964,1,0,0
BOS,1964,1,0,0
SFW,1964,1,0,1
PHI,1964,1,0,0
BAL,1965,1,0,0
CIN,1965,1,0,0
STL,1965,1,0,0
LAL,1965,1,0,1
BOS,1965,1,0,0
PHI,1965,1,0,0
BAL,1966,1,0,0
CIN,1966,1,0,0
STL,1966,1,0,0
LAL,1966,1,0,1
BOS,1966,1,0,0
PHI,1966,1,0,0
CIN,1967,1,0,0
STL,1967,1,0,0
LAL,1967,1,0,0
PHI,1967,1,0,0
BOS,1967,1,0,0
SFW,1967,1,0,1
NYK,1967,1,0,0
CHI,1967,1,0,0
STL,1968,1,0,0
LAL,1968,1,0,1
PHI,1968,1,0,0
DET,1968,1,0,0
BOS,1968,1,0,0
SFW,1968,1,0,0
NYK,1968,1,0,0
CHI,1968,1,0,0
BAL,1969,1,0,0
ATL,1969,1,0,0
LAL,1969,1,0,1
SDR,1969,1,0,0
BOS,1969,1,0,0
SFW,1969,1,0,0
NYK,1969,1,0,0
PHI,1969,1,0,0
MIL,1970,1,0,0
BAL,1970,1,0,0
ATL,1970,1,0,0
LAL,1970,1,0,1
PHI,1970,1,0,0
PHO,1970,1,0,0
NYK,1970,1,0,0
CHI,1970,1,0,0
MIL,1971,1,1,1
BAL,1971,1,1,0
ATL,1971,1,0,0
LAL,1971,1,1,0
PHI,1971,1,0,0
SFW,1971,1,0,0
NYK,1971,1,1,0
CHI,1971,1,0,0
MIL,1972,1,1,0
BAL,1972,1,0,0
GSW,1972,1,0,0
ATL,1972,1,0,0
LAL,1972,1,1,1
BOS,1972,1,1,0
NYK,1972,1,1,0
CHI,1972,1,0,0
MIL,1973,1,0,0
BAL,1973,1,0,0
GSW,1973,1,1,0
ATL,1973,1,0,0
LAL,1973,1,1,0
BOS,1973,1,1,0
NYK,1973,1,1,1
CHI,1973,1,0,0
MIL,1974,1,1,0
LAL,1974,1,0,0
DET,1974,1,0,0
CAP,1974,1,0,0
BUF,1974,1,0,0
BOS,1974,1,1,1
NYK,1974,1,1,0
CHI,1974,1,1,0
SEA,1975,1,0,0
GSW,1975,1,1,1
DET,1975,1,0,0
WSB,1975,1,1,0
BUF,1975,1,0,0
BOS,1975,1,1,0
KCO,1975,1,0,0
HOU,1975,1,0,0
NYK,1975,1,0,0
CHI,1975,1,1,0
MIL,1976,1,0,0
SEA,1976,1,0,0
GSW,1976,1,1,0
DET,1976,1,0,0
WSB,1976,1,0,0
CLE,1976,1,1,0
BUF,1976,1,0,0
BOS,1976,1,1,1
PHO,1976,1,1,0
PHI,1976,1,0,0
SAS,1977,1,0,0
POR,1977,1,1,1
GSW,1977,1,0,0
LAL,1977,1,1,0
PHI,1977,1,1,0
DET,1977,1,0,0
WSB,1977,1,0,0
CLE,1977,1,0,0
BOS,1977,1,0,0
DEN,1977,1,0,0
HOU,1977,1,1,0
CHI,1977,1,0,0
MIL,1978,1,0,0
SAS,1978,1,0,0
SEA,1978,1,1,0
POR,1978,1,0,0
ATL,1978,1,0,0
LAL,1978,1,0,0
WSB,1978,1,1,1
CLE,1978,1,0,0
PHO,1978,1,0,0
DEN,1978,1,1,0
NYK,1978,1,0,0
PHI,1978,1,1,0
SAS,1979,1,1,0
SEA,1979,1,1,1
POR,1979,1,0,0
KCK,1979,1,0,0
ATL,1979,1,0,0
NJN,1979,1,0,0
LAL,1979,1,0,0
WSB,1979,1,1,0
PHO,1979,1,1,0
DEN,1979,1,0,0
HOU,1979,1,0,0
PHI,1979,1,0,0
MIL,1980,1,0,0
SAS,1980,1,0,0
SEA,1980,1,1,0
POR,1980,1,0,0
KCK,1980,1,0,0
ATL,1980,1,0,0
LAL,1980,1,1,1
WSB,1980,1,0,0
BOS,1980,1,1,0
PHO,1980,1,0,0
HOU,1980,1,0,0
PHI,1980,1,1,0
MIL,1981,1,0,0
SAS,1981,1,0,0
POR,1981,1,0,0
KCK,1981,1,1,0
LAL,1981,1,0,0
PHI,1981,1,1,0
BOS,1981,1,1,1
PHO,1981,1,0,0
NYK,1981,1,0,0
HOU,1981,1,1,0
IND,1981,1,0,0
CHI,1981,1,0,0
MIL,1982,1,0,0
SAS,1982,1,1,0
SEA,1982,1,0,0
ATL,1982,1,0,0
NJN,1982,1,0,0
LAL,1982,1,1,1
WSB,1982,1,0,0
BOS,1982,1,1,0
PHO,1982,1,0,0
DEN,1982,1,0,0
HOU,1982,1,0,0
PHI,1982,1,1,0
MIL,1983,1,1,0
SAS,1983,1,1,0
SEA,1983,1,0,0
POR,1983,1,0,0
ATL,1983,1,0,0
NJN,1983,1,0,0
LAL,1983,1,1,0
BOS,1983,1,0,0
PHO,1983,1,0,0
DEN,1983,1,0,0
NYK,1983,1,0,0
PHI,1983,1,1,1
MIL,1984,1,1,0
SEA,1984,1,0,0
DAL,1984,1,0,0
POR,1984,1,0,0
KCK,1984,1,0,0
ATL,1984,1,0,0
NJN,1984,1,0,0
LAL,1984,1,1,0
DET,1984,1,0,0
WSB,1984,1,0,0
BOS,1984,1,1,1
PHO,1984,1,1,0
DEN,1984,1,0,0
NYK,1984,1,0,0
PHI,1984,1,0,0
UTA,1984,1,0,0
MIL,1985,1,0,0
SAS,1985,1,0,0
DAL,1985,1,0,0
POR,1985,1,0,0
NJN,1985,1,0,0
LAL,1985,1,1,1
PHI,1985,1,1,0
DET,1985,1,0,0
WSB,1985,1,0,0
CLE,1985,1,0,0
BOS,1985,1,1,0
DEN,1985,1,1,0
PHO,1985,1,0,0
HOU,1985,1,0,0
CHI,1985,1,0,0
UTA,1985,1,0,0
MIL,1986,1,1,0
SAS,1986,1,0,0
DAL,1986,1,0,0
POR,1986,1,0,0
ATL,1986,1,0,0
NJN,1986,1,0,0
LAL,1986,1,1,0
PHI,1986,1,0,0
DET,1986,1,0,0
WSB,1986,1,0,0
BOS,1986,1,1,1
DEN,1986,1,0,0
SAC,1986,1,0,0
HOU,1986,1,1,0
CHI,1986,1,0,0
UTA,1986,1,0,0
MIL,1987,1,0,0
SEA,1987,1,1,0
DAL,1987,1,0,0
POR,1987,1,0,0
GSW,1987,1,0,0
ATL,1987,1,0,0
LAL,1987,1,1,1
PHI,1987,1,0,0
DET,1987,1,1,0
WSB,1987,1,0,0
BOS,1987,1,1,0
DEN,1987,1,0,0
HOU,1987,1,0,0
IND,1987,1,0,0
CHI,1987,1,0,0
UTA,1987,1,0,0
MIL,1988,1,0,0
SAS,1988,1,0,0
SEA,1988,1,0,0
DAL,1988,1,1,0
POR,1988,1,0,0
ATL,1988,1,0,0
LAL,1988,1,1,1
DET,1988,1,1,0
WSB,1988,1,0,0
CLE,1988,1,0,0
BOS,1988,1,1,0
DEN,1988,1,0,0
HOU,1988,1,0,0
NYK,1988,1,0,0
CHI,1988,1,0,0
UTA,1988,1,0,0
MIL,1989,1,0,0
SEA,1989,1,0,0
POR,1989,1,0,0
GSW,1989,1,0,0
ATL,1989,1,0,0
LAL,1989,1,1,0
PHI,1989,1,0,0
DET,1989,1,1,1
CLE,1989,1,0,0
BOS,1989,1,0,0
DEN,1989,1,0,0
PHO,1989,1,1,0
HOU,1989,1,0,0
NYK,1989,1,0,0
CHI,1989,1,1,0
UTA,1989,1,0,0
MIL,1990,1,0,0
SAS,1990,1,0,0
DAL,1990,1,0,0
POR,1990,1,1,0
LAL,1990,1,0,0
PHI,1990,1,0,0
NYK,1990,1,0,0
DET,1990,1,1,1
CLE,1990,1,0,0
BOS,1990,1,0,0
DEN,1990,1,0,0
PHO,1990,1,1,0
HOU,1990,1,0,0
IND,1990,1,0,0
CHI,1990,1,1,0
UTA,1990,1,0,0
MIL,1991,1,0,0
SAS,1991,1,0,0
SEA,1991,1,0,0
POR,1991,1,1,0
GSW,1991,1,0,0
ATL,1991,1,0,0
LAL,1991,1,1,0
PHI,1991,1,0,0
DET,1991,1,1,0
BOS,1991,1,0,0
PHO,1991,1,0,0
NYK,1991,1,0,0
HOU,1991,1,0,0
IND,1991,1,0,0
CHI,1991,1,1,1
UTA,1991,1,0,0
MIA,1992,1,0,0
SAS,1992,1,0,0
SEA,1992,1,0,0
POR,1992,1,1,0
GSW,1992,1,0,0
LAC,1992,1,0,0
NJN,1992,1,0,0
LAL,1992,1,0,0
DET,1992,1,0,0
CLE,1992,1,1,0
BOS,1992,1,0,0
PHO,1992,1,0,0
NYK,1992,1,0,0
IND,1992,1,0,0
CHI,1992,1,1,1
UTA,1992,1,1,0
SAS,1993,1,0,0
SEA,1993,1,1,0
CHH,1993,1,0,0
POR,1993,1,0,0
LAC,1993,1,0,0
ATL,1993,1,0,0
NJN,1993,1,0,0
LAL,1993,1,0,0
CLE,1993,1,0,0
BOS,1993,1,0,0
PHO,1993,1,1,0
NYK,1993,1,1,0
HOU,1993,1,0,0
IND,1993,1,0,0
CHI,1993,1,1,1
UTA,1993,1,0,0
MIA,1994,1,0,0
SAS,1994,1,0,0
SEA,1994,1,0,0
POR,1994,1,0,0
GSW,1994,1,0,0
ATL,1994,1,0,0
NJN,1994,1,0,0
NYK,1994,1,1,0
CLE,1994,1,0,0
PHO,1994,1,0,0
DEN,1994,1,0,0
HOU,1994,1,1,1
IND,1994,1,1,0
ORL,1994,1,0,0
CHI,1994,1,0,0
UTA,1994,1,1,0
SAS,1995,1,1,0
SEA,1995,1,0,0
CHH,1995,1,0,0
POR,1995,1,0,0
ATL,1995,1,0,0
LAL,1995,1,0,0
NYK,1995,1,0,0
CLE,1995,1,0,0
BOS,1995,1,0,0
PHO,1995,1,0,0
DEN,1995,1,0,0
HOU,1995,1,1,1
IND,1995,1,1,0
ORL,1995,1,1,0
CHI,1995,1,0,0
UTA,1995,1,0,0
MIA,1996,1,0,0
SAS,1996,1,0,0
SEA,1996,1,1,0
POR,1996,1,0,0
ATL,1996,1,0,0
LAL,1996,1,0,0
DET,1996,1,0,0
CLE,1996,1,0,0
PHO,1996,1,0,0
NYK,1996,1,0,0
SAC,1996,1,0,0
HOU,1996,1,0,0
IND,1996,1,0,0
ORL,1996,1,1,0
CHI,1996,1,1,1
UTA,1996,1,1,0
MIA,1997,1,1,0
SEA,1997,1,0,0
CHH,1997,1,0,0
POR,1997,1,0,0
LAC,1997,1,0,0
ATL,1997,1,0,0
MIN,1997,1,0,0
LAL,1997,1,0,0
DET,1997,1,0,0
WSB,1997,1,0,0
PHO,1997,1,0,0
HOU,1997,1,1,0
NYK,1997,1,0,0
ORL,1997,1,0,0
CHI,1997,1,1,1
UTA,1997,1,1,0
MIA,1998,1,0,0
SAS,1998,1,0,0
SEA,1998,1,0,0
CHH,1998,1,0,0
POR,1998,1,0,0
ATL,1998,1,0,0
NJN,1998,1,0,0
MIN,1998,1,0,0
LAL,1998,1,1,0
CLE,1998,1,0,0
PHO,1998,1,0,0
NYK,1998,1,0,0
HOU,1998,1,0,0
IND,1998,1,1,0
CHI,1998,1,1,1
UTA,1998,1,1,0
MIL,1999,1,0,0
MIA,1999,1,0,0
SAS,1999,1,1,1
POR,1999,1,1,0
ATL,1999,1,0,0
MIN,1999,1,0,0
LAL,1999,1,0,0
SAC,1999,1,0,0
DET,1999,1,0,0
PHO,1999,1,0,0
NYK,1999,1,1,0
HOU,1999,1,0,0
IND,1999,1,1,0
ORL,1999,1,0,0
PHI,1999,1,0,0
UTA,1999,1,0,0
MIL,2000,1,0,0
MIA,2000,1,0,0
SAS,2000,1,0,0
SEA,2000,1,0,0
CHH,2000,1,0,0
POR,2000,1,1,0
MIN,2000,1,0,0
LAL,2000,1,1,1
DET,2000,1,0,0
PHO,2000,1,0,0
NYK,2000,1,1,0
SAC,2000,1,0,0
IND,2000,1,1,0
TOR,2000,1,0,0
PHI,2000,1,0,0
UTA,2000,1,0,0
MIL,2001,1,1,0
MIA,2001,1,0,0
SAS,2001,1,1,0
CHH,2001,1,0,0
DAL,2001,1,0,0
POR,2001,1,0,0
ORL,2001,1,0,0
MIN,2001,1,0,0
LAL,2001,1,1,1
PHO,2001,1,0,0
NYK,2001,1,0,0
SAC,2001,1,0,0
IND,2001,1,0,0
TOR,2001,1,0,0
PHI,2001,1,1,0
UTA,2001,1,0,0
SAS,2002,1,0,0
SEA,2002,1,0,0
DAL,2002,1,0,0
POR,2002,1,0,0
ORL,2002,1,0,0
NJN,2002,1,1,0
CHH,2002,1,0,0
MIN,2002,1,0,0
LAL,2002,1,1,1
DET,2002,1,0,0
BOS,2002,1,1,0
SAC,2002,1,1,0
IND,2002,1,0,0
TOR,2002,1,0,0
PHI,2002,1,0,0
UTA,2002,1,0,0
IND,2003,1,0,0
MIL,2003,1,0,0
SAS,2003,1,1,1
DAL,2003,1,1,0
POR,2003,1,0,0
NJN,2003,1,1,0
MIN,2003,1,0,0
LAL,2003,1,0,0
DET,2003,1,1,0
