operation_type,team_from,team_to,asset_type,asset_name,pick_year,pick_round,pick_original_team,has_trade_exception,trade_id,date
trade,IND,TOR,player,Antonio Davis,,,,False,3380,1999-08-01
trade,IND,TOR,player,Jonathan Bender,,,,False,3381,1999-08-01
trade,ATL,POR,player,Ed Gray,,,,False,3382,1999-08-02
trade,ATL,POR,player,Steve Smith,,,,False,3383,1999-08-02
trade,ATL,POR,player,Jim Jackson,,,,False,3384,1999-08-02
trade,ATL,POR,player,Isaiah Rider,,,,False,3385,1999-08-02
trade,ORL,SAC,player,Nick Anderson,,,,False,3386,1999-08-03
trade,ORL,SAC,player,Tariq Abdul-Wahad,,,,False,3387,1999-08-03
trade,ORL,SAC,player,Kendrick Perkins,,,,False,3388,1999-08-03
trade,ORL,SAC,pick,2003 1st round draft pick,,,,False,3389,1999-08-03
trade,BOS,DEN,player,Popeye Jones,,,,False,3390,1999-08-03
trade,BOS,DEN,player,Ron Mercer,,,,False,3391,1999-08-03
trade,BOS,DEN,player,Dwayne Schintzius,,,,False,3392,1999-08-03
trade,BOS,DEN,player,Danny Fortson,,,,False,3393,1999-08-03
trade,BOS,DEN,player,Eric Washington,,,,False,3394,1999-08-03
trade,BOS,DEN,player,Eric Williams,,,,False,3395,1999-08-03
trade,BOS,DEN,player,Kedrick Brown,,,,False,3396,1999-08-03
trade,BOS,DEN,pick,2001 1st round draft pick,,,,False,3397,1999-08-03
trade,CLE,LAC,player,Derek Anderson,,,,False,3398,1999-08-04
trade,CLE,LAC,player,Johnny Newman,,,,False,3399,1999-08-04
trade,CLE,LAC,player,Lamond Murray,,,,False,3400,1999-08-04
trade,ORL,PHO,player,Anfernee Hardaway,,,,False,3401,1999-08-05
trade,ORL,PHO,player,Pat Garrity,,,,False,3402,1999-08-05
trade,ORL,PHO,player,Danny Manning,,,,False,3403,1999-08-05
trade,ORL,PHO,player,Jason Collins,,,,False,3404,1999-08-05
trade,ORL,PHO,player,Amar'e Stoudemire,,,,False,3405,1999-08-05
trade,ORL,PHO,pick,2001 1st round draft pick,,,,False,3406,1999-08-05
trade,ORL,PHO,pick,2002 1st round draft pick,,,,False,3407,1999-08-05
trade,ATL,LAC,player,Quentin Richardson,,,,False,3408,1999-08-08
trade,ATL,LAC,player,Chris Wilcox,,,,False,3409,1999-08-08
trade,ATL,LAC,pick,2000 1st round draft pick,,,,False,3410,1999-08-08
trade,ATL,LAC,pick,2002 1st round draft pick,,,,False,3411,1999-08-08
trade,ORL,WAS,player,Isaac Austin,,,,False,3412,1999-08-11
trade,ORL,WAS,player,Terry Davis,,,,False,3413,1999-08-11
trade,ORL,WAS,player,Tim Legler,,,,False,3414,1999-08-11
trade,ORL,WAS,player,Jeff McInnis,,,,False,3415,1999-08-11
trade,ORL,WAS,player,Ben Wallace,,,,False,3416,1999-08-11
trade,CHI,Seattle SuperSonics,player,Brent Barry,,,,False,3417,1999-08-12
trade,CHI,Seattle SuperSonics,player,James Cotton,,,,False,3418,1999-08-12
trade,CHI,Seattle SuperSonics,player,Hersey Hawkins,,,,False,3419,1999-08-12
trade,ORL,PHI,player,Billy Owens,,,,False,3420,1999-08-13
trade,ORL,PHI,player,Harvey Grant,,,,False,3421,1999-08-13
trade,ORL,PHI,player,Anthony Parker,,,,False,3422,1999-08-13
trade,MIL,ORL,player,Chris Gatling,,,,False,3423,1999-08-19
trade,MIL,ORL,player,Armen Gilliam,,,,False,3424,1999-08-19
trade,MIL,ORL,player,Dale Ellis,,,,False,3425,1999-08-19
trade,MIL,ORL,player,Danny Manning,,,,False,3426,1999-08-19
trade,HOU,Vancouver Grizzlies,player,Antoine Carr,,,,False,3427,1999-08-27
trade,HOU,Vancouver Grizzlies,player,Michael Dickerson,,,,False,3428,1999-08-27
trade,HOU,Vancouver Grizzlies,player,Othella Harrington,,,,False,3429,1999-08-27
trade,HOU,Vancouver Grizzlies,player,Brent Price,,,,False,3430,1999-08-27
trade,HOU,Vancouver Grizzlies,player,Marcus Banks,,,,False,3431,1999-08-27
trade,HOU,Vancouver Grizzlies,pick,2003 1st round draft pick,,,,False,3432,1999-08-27
trade,ORL,HOU,player,Don MacLean,,,,False,3433,1999-08-27
trade,ORL,HOU,player,Jason Collins,,,,False,3434,1999-08-27
trade,ORL,HOU,pick,2001 1st round draft pick,,,,False,3435,1999-08-27
trade,ORL,Vancouver Grizzlies,player,Matt Barnes,,,,False,3436,1999-08-27
trade,ORL,Vancouver Grizzlies,pick,2002 2nd round draft pick,,,,False,3437,1999-08-27
